"ATTR_DATA_ID","OBJ_ID","VER_NBR","ROLE_MBR_ID","KIM_TYP_ID","KIM_ATTR_DEFN_ID","ATTR_VAL"
"KFS2692","KFS2692","1","KFS898","36","4","KFS-CG"
"KFS2693","KFS2693","1","KFS898","36","22","BL"
"KFS2694","KFS2694","1","KFS898","36","24","PSY"
"KFS2695","KFS2695","1","KFS899","36","4","KFS-FP"
"KFS2696","KFS2696","1","KFS899","36","22","BL"
"KFS2697","KFS2697","1","KFS899","36","24","ARSD"
"KFS2698","KFS2698","1","KFS900","36","4","KFS-CG"
"KFS2699","KFS2699","1","KFS900","36","22","UA"
"KFS2700","KFS2700","1","KFS900","36","24","PUR"
"KFS2701","KFS2701","1","KFS901","36","4","KFS-FP"
"KFS2702","KFS2702","1","KFS901","36","22","BL"
"KFS2703","KFS2703","1","KFS901","36","24","ANTH"
"KFS2704","KFS2704","1","KFS902","36","4","KFS-CG"
"KFS2705","KFS2705","1","KFS902","36","22","BL"
"KFS2706","KFS2706","1","KFS902","36","24","VPGA"
"KFS2707","KFS2707","1","KFS903","36","4","KFS-FP"
"KFS2708","KFS2708","1","KFS903","36","22","BL"
"KFS2709","KFS2709","1","KFS903","36","24","ARSD"
"KFS2710","KFS2710","1","KFS904","28","25","N"
"KFS2711","KFS2711","1","KFS904","28","22","UA"
"KFS2712","KFS2712","1","KFS904","28","24","PUR"
"KFS2713","KFS2713","1","KFS905","28","25","Y"
"KFS2714","KFS2714","1","KFS905","28","22","UA"
"KFS2715","KFS2715","1","KFS905","28","24","PUR"
"KFS2716","KFS2716","1","KFS906","28","25","N"
"KFS2717","KFS2717","1","KFS906","28","22","BL"
"KFS2718","KFS2718","1","KFS906","28","24","ARSC"
"KFS2719","KFS2719","1","KFS907","28","25","Y"
"KFS2720","KFS2720","1","KFS907","28","22","BL"
"KFS2721","KFS2721","1","KFS907","28","24","ARSC"
"KFS2722","KFS2722","1","KFS908","28","25","N"
"KFS2723","KFS2723","1","KFS908","28","22","UA"
"KFS2724","KFS2724","1","KFS908","28","24","PUR"
"KFS2725","KFS2725","1","KFS909","28","25","N"
"KFS2726","KFS2726","1","KFS909","28","22","BL"
"KFS2727","KFS2727","1","KFS909","28","24","CHEM"
"KFS2728","KFS2728","1","KFS910","28","25","N"
"KFS2729","KFS2729","1","KFS910","28","22","IN"
"KFS2730","KFS2730","1","KFS910","28","24","PSYC"
"KFS2732","KFS2732","1","KFS911","27","22","EA"
"KFS2733","KFS2733","1","KFS911","27","24","BURS"
"KFS2735","KFS2735","1","KFS912","27","22","IN"
"KFS2736","KFS2736","1","KFS912","27","24","ACCT"
"KFS2738","KFS2738","1","KFS913","27","22","UA"
"KFS2739","KFS2739","1","KFS913","27","24","VPIT"
"KFS2740","KFS2740","1","KFS915","17","12","BL"
"KFS2741","KFS2741","1","KFS914","27","22","IN"
"KFS2742","KFS2742","1","KFS914","27","24","ACCT"
"KFS2743","KFS2743","1","KFS916","17","12","BL"
"KFS2744","KFS2744","1","KFS917","17","12","EA"
"KFS2745","KFS2745","1","KFS918","17","12","EA"
"KFS2746","KFS2746","1","KFS919","17","12","FW"
"KFS2747","KFS2747","1","KFS920","17","12","FW"
"KFS2748","KFS2748","1","KFS921","17","12","IN"
"KFS2749","KFS2749","1","KFS922","17","12","IN"
"KFS2750","KFS2750","1","KFS923","17","12","KO"
"KFS2751","KFS2751","1","KFS924","17","12","KO"
"KFS2752","KFS2752","1","KFS925","17","12","NW"
"KFS2753","KFS2753","1","KFS926","17","12","NW"
"KFS2754","KFS2754","1","KFS927","17","12","SB"
"KFS2755","KFS2755","1","KFS928","17","12","SB"
"KFS2756","KFS2756","1","KFS929","17","12","SE"
"KFS2757","KFS2757","1","KFS930","17","12","SE"
"KFS2758","KFS2758","1","KFS931","17","12","BL"
"KFS2759","KFS2759","1","KFS932","17","12","BL"
"KFS2760","KFS2760","1","KFS933","17","12","EA"
"KFS2761","KFS2761","1","KFS934","17","12","IN"
"KFS2762","KFS2762","1","KFS935","17","12","IN"
"KFS2763","KFS2763","1","KFS936","17","12","KO"
"KFS2764","KFS2764","1","KFS937","17","12","KO"
"KFS2765","KFS2765","1","KFS938","17","12","NW"
"KFS2766","KFS2766","1","KFS939","17","12","NW"
"KFS2767","KFS2767","1","KFS940","17","12","SB"
"KFS2768","KFS2768","1","KFS941","17","12","SB"
"KFS2769","KFS2769","1","KFS942","17","12","SE"
"KFS2770","KFS2770","1","KFS943","17","12","SE"
"KFS2771","KFS2771","1","KFS944","17","12","BL"
"KFS2772","KFS2772","1","KFS945","17","12","EA"
"KFS2773","KFS2773","1","KFS946","17","12","IN"
"KFS2774","KFS2774","1","KFS947","17","12","IN"
"KFS2775","KFS2775","1","KFS948","17","12","KO"
"KFS2776","KFS2776","1","KFS949","17","12","NW"
"KFS2777","KFS2777","1","KFS950","17","12","SB"
"KFS2778","KFS2778","1","KFS951","17","12","SB"
"KFS2779","KFS2779","1","KFS952","17","12","SE"
"KFS2780","KFS2780","1","KFS953","17","12","BL"
"KFS2781","KFS2781","1","KFS954","17","12","BL"
"KFS2782","KFS2782","1","KFS955","17","12","IN"
"KFS2783","KFS2783","1","KFS956","17","12","IN"
"KFS2784","KFS2784","1","KFS1186","26","22","BL"
"KFS2785","KFS2785","1","KFS1186","26","23","1031400"
"KFS2786","KFS2786","1","KFS1187","26","22","BL"
"KFS2787","KFS2787","1","KFS1187","26","23","1031400"
"KFS2788","KFS2788","1","KFS1188","26","22","BA"
"KFS2789","KFS2789","1","KFS1188","26","23","6044900"
"KFS2790","KFS2790","1","KFS1189","26","22","BA"
"KFS2791","KFS2791","1","KFS1189","26","23","6044906"
"KFS2800","KFS2800","1","KFS1190","32","33","10000016"
"KFS2801","KFS2801","1","KFS1191","32","33","10000017"
"KFS2802","KFS2802","1","KFS1192","32","33","10000018"
"KFS2803","KFS2803","1","KFS1193","32","33","10000019"
"KFS2804","KFS2804","1","KFS1194","32","33","10000020"
"KFS2805","KFS2805","1","KFS1196","32","33","10000022"
"KFS2806","KFS2806","1","KFS1197","32","33","10000023"
"KFS2807","KFS2807","1","KFS1198","32","33","10000024"
"KFS2808","KFS2808","1","KFS1199","34","32","99"
"KFS2809","KFS2809","1","KFS1200","34","32","10"
"KFS2810","KFS2810","1","KFS1201","34","32","12"
"KFS2811","KFS2811","1","KFS1202","34","32","14"
"KFS2812","KFS2812","1","KFS1203","34","32","16"
"KFS2813","KFS2813","1","KFS1204","34","32","83"
"KFS2814","KFS2814","1","KFS1205","34","32","60"
"KFS2815","KFS2815","1","KFS1206","34","32","61"
"KFS2816","KFS2816","1","KFS1207","34","32","62"
"KFS2817","KFS2817","1","KFS1208","34","32","63"
"KFS2818","KFS2818","1","KFS1209","34","32","64"
"KFS2819","KFS2819","1","KFS1210","34","32","30"
"KFS2820","KFS2820","1","KFS1211","34","32","31"
"KFS2821","KFS2821","1","KFS1212","34","32","32"
"KFS2822","KFS2822","1","KFS1213","34","32","33"
"KFS2823","KFS2823","1","KFS1214","34","32","34"
"KFS2824","KFS2824","1","KFS1215","34","32","40"
"KFS2825","KFS2825","1","KFS1216","34","32","41"
"KFS2826","KFS2826","1","KFS1217","34","32","42"
"KFS2827","KFS2827","1","KFS1218","34","32","43"
"KFS2828","KFS2828","1","KFS1219","34","32","44"
"KFS2829","KFS2829","1","KFS1220","34","32","20"
"KFS2830","KFS2830","1","KFS1221","34","32","21"
"KFS2831","KFS2831","1","KFS1222","34","32","22"
"KFS2832","KFS2832","1","KFS1223","34","32","23"
"KFS2833","KFS2833","1","KFS1224","34","32","24"
"KFS2834","KFS2834","1","KFS1225","34","32","70"
"KFS2835","KFS2835","1","KFS1226","34","32","71"
"KFS2836","KFS2836","1","KFS1227","34","32","72"
"KFS2837","KFS2837","1","KFS1228","34","32","73"
"KFS2838","KFS2838","1","KFS1229","34","32","74"
"KFS2839","KFS2839","1","KFS1230","34","32","80"
"KFS2840","KFS2840","1","KFS1231","34","32","81"
"KFS2841","KFS2841","1","KFS1232","34","32","82"
"KFS2842","KFS2842","1","KFS1233","34","32","84"
"KFS2843","KFS2843","1","KFS1234","34","32","50"
"KFS2844","KFS2844","1","KFS1235","34","32","52"
"KFS2845","KFS2845","1","KFS1236","34","32","51"
"KFS2846","KFS2846","1","KFS1237","34","32","53"
"KFS2847","KFS2847","1","KFS1238","34","32","54"
"KFS2848","KFS2848","1","KFS1239","35","35","ANIM"
"KFS2849","KFS2849","1","KFS1240","35","35","ANIM"
"KFS2850","KFS2850","1","KFS1241","25","22","BA"
"KFS2851","KFS2851","1","KFS1242","25","22","BL"
"KFS2852","KFS2852","1","KFS1243","25","22","EA"
"KFS2853","KFS2853","1","KFS1244","25","22","FW"
"KFS2854","KFS2854","1","KFS1245","25","22","HO"
"KFS2855","KFS2855","1","KFS1246","25","22","IA"
"KFS2856","KFS2856","1","KFS1247","25","22","IN"
"KFS2857","KFS2857","1","KFS1248","25","22","IU"
"KFS2858","KFS2858","1","KFS1249","25","22","KO"
"KFS2859","KFS2859","1","KFS1250","25","22","NW"
"KFS2860","KFS2860","1","KFS1251","25","22","SB"
"KFS2861","KFS2861","1","KFS1252","25","22","SE"
"KFS2862","KFS2862","1","KFS1253","25","22","UA"
"KFS2864","KFS2864","1","KFS1255","23","29","1"
"KFS2865","KFS2865","1","KFS1256","23","29","1"
"KFS2866","KFS2866","1","KFS1257","23","29","2"
"KFS2867","KFS2867","1","KFS1258","23","29","2"
"KFS2868","KFS2868","1","KFS1259","23","29","2"
"KFS2869","KFS2869","1","KFS1260","23","29","2"
"KFS2870","KFS2870","1","KFS1261","23","29","3"
