"ROLE_RSP_ID","OBJ_ID","VER_NBR","ROLE_ID","RSP_ID","ACTV_IND"
"1000","KFS1000","1","11","44","Y"
"1001","KFS1001","1","12","46","Y"
"1002","KFS1002","1","15","50","Y"
"1003","KFS1003","1","16","10","Y"
"1004","KFS1004","1","22","71","Y"
"1005","KFS1005","1","62","73","Y"
"1006","KFS1006","1","22","81","Y"
"1007","KFS1007","1","23","6","Y"
"1008","KFS1008","1","24","3","Y"
"1009","KFS1009","1","25","78","Y"
"1010","KFS1010","1","26","17","Y"
"1011","KFS1011","1","26","48","Y"
"1012","KFS1012","1","28","4","Y"
"1014","KFS1014","1","30","11","Y"
"1015","KFS1015","1","37","26","Y"
"1017","KFS1017","1","9","29","Y"
"1024","KFS1024","1","39","31","Y"
"1037","KFS1037","1","41","12","Y"
"1040","KFS1040","1","35","18","Y"
"1062","KFS1062","1","44","87","Y"
"1063","KFS1063","1","48","7","Y"
"1064","KFS1064","1","5","16","Y"
"1065","KFS1065","1","50","49","Y"
"1066","KFS1066","1","50","74","Y"
"1067","KFS1067","1","50","80","Y"
"1068","KFS1068","1","53","26","Y"
"1070","KFS1070","1","41","29","Y"
"1077","KFS1077","1","55","85","Y"
"1078","KFS1078","1","56","92","Y"
"1079","KFS1079","1","60","91","Y"
"1082","KFS1082","1","7","1","Y"
"1083","KFS1083","1","70","51","Y"
"1084","KFS1084","1","71","24","Y"
"1085","KFS1085","1","72","41","Y"
"1087","KFS1087","1","74","22","Y"
"1088","KFS1088","1","26","75","Y"
"1089","KFS1089","1","79","76","Y"
"1090","KFS1090","1","8","5","Y"
"1091","KFS1091","1","9","19","Y"
"1092","KFS1092","1","68","83","Y"
"1093","KFS1093","1","62","94","Y"
"1094","KFS1094","1","38","95","Y"
"1097","KFS1097","1","76","97","Y"
"1099","KFS1099","1","41","99","Y"
"1100","KFS1100","1","3","100","Y"
"1101","KFS1101","1","3","101","Y"
"1107","KFS1107","1","41","107","Y"
"1108","KFS1108","1","41","108","Y"
"1109","KFS1109","1","22","109","Y"
"1111","KFS1111","1","62","111","Y"
"1112","KFS1112","1","39","112","Y"
"1113","KFS1113","1","60","113","Y"
"1114","KFS1114","1","91","114","Y"
"1115","KFS1115","1","34","16","Y"
"1116","KFS1116","1","60","115","Y"
"1117","KFS1117","1","30","116","Y"
"1118","KFS1118","1","7","117","Y"
"1119","KFS1119","1","60","118","Y"
"1120","KFS1120","1","76","119","Y"
"1121","KFS1121","1","41","120","Y"
"1122","KFS1122","1","28","121","Y"
"1123","KFS1123","1","28","122","Y"
"1124","KFS1124","1","7","123","Y"
"1125","KFS1125","1","41","124","Y"
