"ROLE_RSP_ACTN_ID","OBJ_ID","ACTN_TYP_CD","PRIORITY_NBR","ACTN_PLCY_CD","ROLE_MBR_ID","ROLE_RSP_ID","FRC_ACTN"
"KFS101","KFS101","A","1","F","*","KFS1004","Y"
"KFS103","KFS103","A","1","F","*","KFS1005","Y"
"KFS104","KFS104","A","1","F","*","KFS1066","Y"
"KFS105","KFS105","A","1","F","*","KFS1088","N"
"KFS106","KFS106","A","1","F","*","KFS1089","Y"
"KFS108","KFS108","A","1","F","*","KFS1009","N"
"KFS11","KFS11","A","1","F","KFS1291","*","N"
"KFS110","KFS110","A","1","F","*","KFS1067","Y"
"KFS111","KFS111","F","1","F","*","KFS1006","Y"
"KFS113","KFS113","A","1","F","*","KFS1077","Y"
"KFS114","KFS114","A","1","F","*","KFS1062","N"
"KFS115","KFS115","F","1","F","*","KFS1079","Y"
"KFS116","KFS116","A","1","F","*","KFS1078","Y"
"KFS118","KFS118","A","1","F","*","KFS1093","N"
"KFS119","KFS119","A","1","F","*","KFS1094","N"
"KFS122","KFS122","A","1","F","*","KFS1097","N"
"KFS124","KFS124","A","1","A","*","KFS1099","N"
"KFS125","KFS125","A","1","F","*","KFS1100","N"
"KFS126","KFS126","A","1","F","*","KFS1101","N"
"KFS13","KFS13","A","1","F","KFS1339","*","N"
"KFS132","KFS132","F","1","A","*","KFS1107","Y"
"KFS133","KFS133","F","1","A","*","KFS1108","Y"
"KFS134","KFS134","A","1","F","*","KFS1109","Y"
"KFS136","KFS136","A","1","F","*","KFS1111","N"
"KFS137","KFS137","F","1","F","*","KFS1112","Y"
"KFS138","KFS138","A","1","F","*","KFS1113","Y"
"KFS139","KFS139","A","1","F","*","KFS1114","N"
"KFS140","KFS140","A","1","F","KFS1678","KFS1008","N"
"KFS141","KFS141","A","1","F","KFS1679","KFS1008","N"
"KFS142","KFS142","A","1","F","KFS1680","KFS1008","N"
"KFS143","KFS143","A","1","F","KFS1681","KFS1008","N"
"KFS144","KFS144","A","1","F","KFS1682","KFS1008","N"
"KFS145","KFS145","A","1","F","KFS1683","*","N"
"KFS146","KFS146","K","2","F","KFS1684","*","N"
"KFS147","KFS147","A","1","F","KFS1685","*","N"
"KFS148","KFS148","A","1","F","KFS1686","*","N"
"KFS149","KFS149","A","1","F","KFS1687","*","N"
"KFS150","KFS150","A","1","F","KFS1688","*","N"
"KFS151","KFS151","A","1","F","KFS1689","*","N"
"KFS152","KFS152","A","1","F","KFS1690","*","N"
"KFS153","KFS153","K","1","F","KFS1691","*","N"
"KFS154","KFS154","A","1","F","KFS1692","*","N"
"KFS155","KFS155","K","1","F","KFS1693","KFS1092","N"
"KFS156","KFS156","A","1","F","KFS1694","KFS1092","N"
"KFS157","KFS157","A","1","F","KFS1695","KFS1092","N"
"KFS158","KFS158","A","1","F","KFS1696","KFS1092","N"
"KFS159","KFS159","A","1","F","KFS1697","KFS1092","N"
"KFS160","KFS160","A","1","F","KFS1698","KFS1092","N"
"KFS161","KFS161","A","1","F","KFS1699","KFS1092","N"
"KFS162","KFS162","K","1","F","KFS1700","KFS1092","N"
"KFS163","KFS163","A","1","F","KFS1701","KFS1092","N"
"KFS164","KFS164","A","2","F","*","KFS1115","N"
"KFS165","KFS165","A","1","F","*","KFS1116","Y"
"KFS166","KFS166","A","1","F","*","KFS1117","N"
"KFS167","KFS167","A","1","F","*","KFS1119","Y"
"KFS168","KFS168","A","1","F","*","KFS1120","N"
"KFS169","KFS169","A","1","A","*","KFS1121","Y"
"KFS170","KFS170","A","2","F","KFS1705","*","N"
"KFS171","KFS171","F","1","F","KFS1707","KFS1122","N"
"KFS172","KFS172","F","1","F","KFS1708","KFS1123","N"
"KFS19","KFS19","K","1","F","KFS1292","*","N"
"KFS20","KFS20","F","1","F","KFS41","KFS1090","N"
"KFS200","KFS200","A","1","F","KFS1706","*","N"
"KFS201","KFS201","F","1","A","*","KFS1125","Y"
"KFS21","KFS21","F","1","F","KFS1293","KFS1090","N"
"KFS22","KFS22","F","1","F","KFS1294","KFS1090","N"
"KFS23","KFS23","F","1","F","KFS1295","KFS1090","N"
"KFS24","KFS24","A","1","F","KFS1296","KFS1007","N"
"KFS25","KFS25","A","1","F","KFS1297","KFS1007","N"
"KFS26","KFS26","A","1","F","KFS1298","KFS1007","N"
"KFS27","KFS27","A","1","F","KFS1299","KFS1007","N"
"KFS28","KFS28","A","1","F","KFS1300","KFS1063","N"
"KFS3","KFS3","K","1","F","KFS1285","*","N"
"KFS30","KFS30","K","1","F","KFS1302","KFS1063","N"
"KFS32","KFS32","F","1","F","*","KFS1003","N"
"KFS33","KFS33","A","1","F","*","KFS1014","Y"
"KFS34","KFS34","A","1","A","*","KFS1037","N"
"KFS38","KFS38","F","1","F","*","KFS1064","N"
"KFS39","KFS39","A","1","F","*","KFS1010","N"
"KFS4","KFS4","K","1","F","KFS1286","*","N"
"KFS40","KFS40","A","1","F","*","KFS1040","N"
"KFS41","KFS41","A","1","F","*","KFS1091","N"
"KFS44","KFS44","A","1","F","*","KFS1087","N"
"KFS45","KFS45","A","1","F","*","KFS1084","N"
"KFS47","KFS47","A","1","F","*","KFS1015","N"
"KFS48","KFS48","A","2","F","*","KFS1068","N"
"KFS5","KFS5","A","1","F","KFS1287","*","N"
"KFS52","KFS52","F","1","F","*","KFS1017","N"
"KFS53","KFS53","A","2","A","*","KFS1070","N"
"KFS56","KFS56","A","1","F","*","KFS1024","N"
"KFS6","KFS6","F","1","F","KFS1288","*","N"
"KFS7","KFS7","A","1","F","KFS1289","KFS1008","Y"
"KFS71","KFS71","A","1","F","*","KFS1085","Y"
"KFS74","KFS74","A","1","F","*","KFS1000","N"
"KFS76","KFS76","A","1","F","*","KFS1001","N"
"KFS78","KFS78","A","1","F","*","KFS1011","N"
"KFS79","KFS79","A","1","F","*","KFS1065","N"
"KFS8","KFS8","A","1","F","KFS1290","KFS1008","N"
"KFS80","KFS80","A","1","F","*","KFS1002","N"
"KFS81","KFS81","A","1","F","*","KFS1083","N"
