"ROLE_PERM_ID","OBJ_ID","VER_NBR","ROLE_ID","PERM_ID","ACTV_IND"
"KFS1","KFS1","1","30","1","Y"
"KFS10","KFS10","1","49","10","Y"
"KFS100","KFS100","1","45","77","Y"
"KFS101","KFS101","1","44","78","Y"
"KFS102","KFS102","1","45","79","Y"
"KFS103","KFS103","1","20","80","Y"
"KFS104","KFS104","1","45","81","Y"
"KFS105","KFS105","1","19","82","Y"
"KFS106","KFS106","1","20","83","Y"
"KFS107","KFS107","1","19","84","Y"
"KFS109","KFS109","1","19","86","Y"
"KFS11","KFS11","1","2","11","Y"
"KFS110","KFS110","1","50","87","Y"
"KFS1106","KFS1106","1","62","1100","Y"
"KFS1107","KFS1107","1","55","1100","Y"
"KFS113","KFS113","1","19","89","Y"
"KFS114","KFS114","1","18","89","Y"
"KFS115","KFS115","1","18","90","Y"
"KFS116","KFS116","1","44","91","Y"
"KFS117","KFS117","1","62","91","Y"
"KFS118","KFS118","1","32","92","Y"
"KFS119","KFS119","1","54","92","Y"
"KFS12","KFS12","1","2","12","Y"
"KFS121","KFS121","1","26","93","Y"
"KFS123","KFS123","1","26","94","Y"
"KFS124","KFS124","1","62","94","Y"
"KFS125","KFS125","1","32","95","Y"
"KFS126","KFS126","1","54","95","Y"
"KFS127","KFS127","1","32","96","Y"
"KFS128","KFS128","1","54","96","Y"
"KFS129","KFS129","1","22","97","Y"
"KFS130","KFS130","1","32","98","Y"
"KFS131","KFS131","1","54","98","Y"
"KFS132","KFS132","1","62","99","Y"
"KFS133","KFS133","1","32","100","Y"
"KFS134","KFS134","1","54","100","Y"
"KFS136","KFS136","1","26","101","Y"
"KFS137","KFS137","1","22","102","Y"
"KFS138","KFS138","1","32","103","Y"
"KFS139","KFS139","1","54","103","Y"
"KFS143","KFS143","1","16","107","Y"
"KFS144","KFS144","1","95","108","Y"
"KFS15","KFS15","1","35","15","Y"
"KFS151","KFS151","1","55","113","Y"
"KFS152","KFS152","1","44","114","Y"
"KFS153","KFS153","1","54","115","Y"
"KFS154","KFS154","1","44","116","Y"
"KFS155","KFS155","1","45","117","Y"
"KFS157","KFS157","1","44","119","Y"
"KFS158","KFS158","1","44","120","Y"
"KFS159","KFS159","1","44","121","Y"
"KFS16","KFS16","1","35","16","Y"
"KFS160","KFS160","1","54","122","Y"
"KFS167","KFS167","1","45","128","Y"
"KFS168","KFS168","1","32","129","Y"
"KFS169","KFS169","1","54","129","Y"
"KFS17","KFS17","1","5","17","Y"
"KFS170","KFS170","1","32","130","Y"
"KFS171","KFS171","1","54","130","Y"
"KFS172","KFS172","1","44","131","Y"
"KFS173","KFS173","1","45","132","Y"
"KFS174","KFS174","1","54","133","Y"
"KFS175","KFS175","1","61","133","Y"
"KFS176","KFS176","1","44","134","Y"
"KFS177","KFS177","1","32","136","Y"
"KFS178","KFS178","1","54","136","Y"
"KFS179","KFS179","1","49","137","Y"
"KFS18","KFS18","1","6","18","Y"
"KFS180","KFS180","1","49","138","Y"
"KFS182","KFS182","1","26","139","Y"
"KFS19","KFS19","1","6","19","Y"
"KFS192","KFS192","1","55","148","Y"
"KFS20","KFS20","1","35","20","Y"
"KFS209","KFS209","1","44","163","Y"
"KFS21","KFS21","1","5","21","Y"
"KFS214","KFS214","1","66","169","Y"
"KFS215","KFS215","1","62","169","Y"
"KFS22","KFS22","1","35","22","Y"
"KFS23","KFS23","1","46","23","Y"
"KFS230","KFS230","1","44","183","Y"
"KFS232","KFS232","1","26","184","Y"
"KFS233","KFS233","1","11","185","Y"
"KFS235","KFS235","1","49","187","Y"
"KFS236","KFS236","1","19","87","Y"
"KFS237","KFS237","1","41","188","Y"
"KFS238","KFS238","1","41","200","Y"
"KFS239","KFS239","1","13","189","Y"
"KFS24","KFS24","1","35","24","Y"
"KFS240","KFS240","1","41","190","Y"
"KFS241","KFS241","1","41","191","Y"
"KFS242","KFS242","1","66","192","Y"
"KFS243","KFS243","1","66","193","Y"
"KFS244","KFS244","1","66","194","Y"
"KFS245","KFS245","1","66","195","Y"
"KFS246","KFS246","1","41","196","Y"
"KFS247","KFS247","1","39","197","Y"
"KFS248","KFS248","1","41","198","Y"
"KFS249","KFS249","1","41","199","Y"
"KFS25","KFS25","1","5","24","Y"
"KFS250","KFS250","1","62","5","Y"
"KFS251","KFS251","1","62","6","Y"
"KFS254","KFS254","1","44","201","Y"
"KFS255","KFS255","1","62","201","Y"
"KFS256","KFS256","1","62","65","Y"
"KFS257","KFS257","1","54","202","Y"
"KFS258","KFS258","1","62","202","Y"
"KFS26","KFS26","1","34","25","Y"
"KFS263","KFS263","1","55","205","Y"
"KFS264","KFS264","1","62","205","Y"
"KFS265","KFS265","1","41","206","Y"
"KFS266","KFS266","1","28","206","Y"
"KFS267","KFS267","1","38","206","Y"
"KFS268","KFS268","1","40","207","Y"
"KFS27","KFS27","1","46","25","Y"
"KFS270","KFS270","1","50","209","Y"
"KFS271","KFS271","1","70","210","Y"
"KFS272","KFS272","1","70","211","Y"
"KFS273","KFS273","1","15","212","Y"
"KFS28","KFS28","1","5","26","Y"
"KFS280","KFS280","1","22","217","Y"
"KFS284","KFS284","1","16","220","Y"
"KFS29","KFS29","1","34","27","Y"
"KFS291","KFS291","1","75","225","Y"
"KFS294","KFS294","1","81","228","Y"
"KFS295","KFS295","1","81","229","Y"
"KFS296","KFS296","1","38","230","Y"
"KFS299","KFS299","1","44","233","Y"
"KFS3","KFS3","1","2","3","Y"
"KFS30","KFS30","1","46","27","Y"
"KFS300","KFS300","1","19","234","Y"
"KFS301","KFS301","1","45","235","Y"
"KFS302","KFS302","1","19","236","Y"
"KFS304","KFS304","1","54","52","Y"
"KFS305","KFS305","1","66","239","Y"
"KFS306","KFS306","1","66","240","Y"
"KFS307","KFS307","1","66","241","Y"
"KFS308","KFS308","1","66","242","Y"
"KFS309","KFS309","1","66","243","Y"
"KFS31","KFS31","1","35","28","Y"
"KFS310","KFS310","1","66","244","Y"
"KFS311","KFS311","1","66","238","Y"
"KFS312","KFS312","1","2","245","Y"
"KFS313","KFS313","1","62","245","Y"
"KFS314","KFS314","1","2","246","Y"
"KFS315","KFS315","1","62","246","Y"
"KFS316","KFS316","1","45","73","Y"
"KFS317","KFS317","1","62","247","Y"
"KFS318","KFS318","1","4","248","Y"
"KFS319","KFS319","1","2","249","Y"
"KFS32","KFS32","1","35","29","Y"
"KFS320","KFS320","1","6","250","Y"
"KFS321","KFS321","1","41","212","Y"
"KFS33","KFS33","1","46","29","Y"
"KFS36","KFS36","1","34","32","Y"
"KFS37","KFS37","1","34","33","Y"
"KFS38","KFS38","1","34","34","Y"
"KFS39","KFS39","1","34","35","Y"
"KFS40","KFS40","1","46","35","Y"
"KFS41","KFS41","1","34","36","Y"
"KFS42","KFS42","1","46","36","Y"
"KFS43","KFS43","1","34","37","Y"
"KFS44","KFS44","1","46","37","Y"
"KFS45","KFS45","1","34","38","Y"
"KFS46","KFS46","1","46","38","Y"
"KFS47","KFS47","1","34","39","Y"
"KFS48","KFS48","1","46","39","Y"
"KFS49","KFS49","1","34","40","Y"
"KFS5","KFS5","1","4","5","Y"
"KFS50","KFS50","1","46","40","Y"
"KFS502","KFS502","1","80","225","Y"
"KFS503","KFS503","1","54","251","Y"
"KFS508","KFS508","1","82","256","Y"
"KFS509","KFS509","1","54","257","Y"
"KFS510","KFS510","1","32","257","Y"
"KFS511","KFS511","1","22","258","Y"
"KFS513","KFS513","1","22","260","Y"
"KFS514","KFS514","1","26","260","Y"
"KFS518","KFS518","1","44","263","Y"
"KFS522","KFS522","1","75","266","Y"
"KFS524","KFS524","1","22","268","Y"
"KFS525","KFS525","1","59","268","Y"
"KFS526","KFS526","1","84","269","Y"
"KFS527","KFS527","1","26","270","Y"
"KFS528","KFS528","1","30","271","Y"
"KFS529","KFS529","1","16","271","Y"
"KFS53","KFS53","1","5","42","Y"
"KFS530","KFS530","1","26","272","Y"
"KFS531","KFS531","1","89","272","Y"
"KFS532","KFS532","1","26","273","Y"
"KFS533","KFS533","1","26","274","Y"
"KFS534","KFS534","1","47","275","Y"
"KFS535","KFS535","1","59","276","Y"
"KFS536","KFS536","1","86","277","Y"
"KFS537","KFS537","1","29","277","Y"
"KFS539","KFS539","1","60","279","Y"
"KFS54","KFS54","1","35","43","Y"
"KFS540","KFS540","1","66","280","Y"
"KFS541","KFS541","1","66","281","Y"
"KFS542","KFS542","1","29","282","Y"
"KFS543","KFS543","1","22","283","Y"
"KFS544","KFS544","1","26","284","Y"
"KFS545","KFS545","1","20","285","Y"
"KFS546","KFS546","1","22","286","Y"
"KFS547","KFS547","1","59","286","Y"
"KFS549","KFS549","1","54","287","Y"
"KFS55","KFS55","1","5","43","Y"
"KFS551","KFS551","1","60","101","Y"
"KFS554","KFS554","1","22","291","Y"
"KFS555","KFS555","1","62","136","Y"
"KFS556","KFS556","1","22","292","Y"
"KFS557","KFS557","1","22","293","Y"
"KFS558","KFS558","1","29","294","Y"
"KFS559","KFS559","1","86","294","Y"
"KFS56","KFS56","1","35","44","Y"
"KFS560","KFS560","1","75","296","Y"
"KFS561","KFS561","1","80","297","Y"
"KFS562","KFS562","1","81","295","Y"
