kemid|corpus_val_hist_dt|corpus_val|ver_nbr|obj_id|
037A014184|20070630000000|13220.0|1.0|8529CD484EE1060AE0404F8189D81C0B|
037A014184|20080630000000|13420.0|1.0|8529CD484F03060AE0404F8189D81C0B|
037A014184|20090630000000|13620.0|1.0|8529CD484F26060AE0404F8189D81C0B|
037A017013|20070630000000|1.54186189E7|1.0|8529CD484EE2060AE0404F8189D81C0B|
037A017013|20080630000000|1.521982361E7|1.0|8529CD484F04060AE0404F8189D81C0B|
037A017013|20090630000000|1.495773782E7|1.0|8529CD484F27060AE0404F8189D81C0B|
037AS12302|20070630000000|250000.0|1.0|8529CD484EE3060AE0404F8189D81C0B|
037AS12302|20080630000000|250700.0|1.0|8529CD484F05060AE0404F8189D81C0B|
037AS12302|20090630000000|301300.0|1.0|8529CD484F28060AE0404F8189D81C0B|
037AS34082|20070630000000|132328.57|1.0|8529CD484EE4060AE0404F8189D81C0B|
037AS34082|20080630000000|140388.57|1.0|8529CD484F06060AE0404F8189D81C0B|
037AS34082|20090630000000|140388.57|1.0|8529CD484F29060AE0404F8189D81C0B|
037AS35022|20070630000000|5250.0|1.0|8529CD484EE5060AE0404F8189D81C0B|
037AS35022|20080630000000|5250.0|1.0|8529CD484F07060AE0404F8189D81C0B|
037AS35022|20090630000000|5250.0|1.0|8529CD484F2A060AE0404F8189D81C0B|
037AS36012|20070630000000|3171.19|1.0|8529CD484EE6060AE0404F8189D81C0B|
037AS36012|20080630000000|3171.19|1.0|8529CD484F08060AE0404F8189D81C0B|
037AS36012|20090630000000|3171.19|1.0|8529CD484F2B060AE0404F8189D81C0B|
037AS38026|20070630000000|900000.0|1.0|8529CD484EE7060AE0404F8189D81C0B|
037AS38026|20080630000000|900000.0|1.0|8529CD484F09060AE0404F8189D81C0B|
037AS38026|20090630000000|900000.0|1.0|8529CD484F2C060AE0404F8189D81C0B|
037AS54239|20080630000000|50000.0|1.0|8529CD484F0A060AE0404F8189D81C0B|
037AS54239|20090630000000|50000.0|1.0|8529CD484F2D060AE0404F8189D81C0B|
037B011AG1|20070630000000|7412.99|1.0|8529CD484EE8060AE0404F8189D81C0B|
037B011AG1|20080630000000|7782.12|1.0|8529CD484F0B060AE0404F8189D81C0B|
037B011AG1|20090630000000|8199.08|1.0|8529CD484F2E060AE0404F8189D81C0B|
037B012161|20070630000000|600000.0|1.0|8529CD484EE9060AE0404F8189D81C0B|
037B012161|20080630000000|600000.0|1.0|8529CD484F0C060AE0404F8189D81C0B|
037B012161|20090630000000|600000.0|1.0|8529CD484F2F060AE0404F8189D81C0B|
037E009701|20070630000000|16130.0|1.0|8529CD484EEA060AE0404F8189D81C0B|
037E009701|20080630000000|18839.6|1.0|8529CD484F0D060AE0404F8189D81C0B|
037E009701|20090630000000|20014.6|1.0|8529CD484F30060AE0404F8189D81C0B|
037E009727|20090630000000|102606.45|1.0|8529CD484F31060AE0404F8189D81C0B|
037F002010|20070630000000|15932.74|1.0|8529CD484EEB060AE0404F8189D81C0B|
037F002010|20080630000000|15932.74|1.0|8529CD484F0E060AE0404F8189D81C0B|
037F002010|20090630000000|15932.74|1.0|8529CD484F32060AE0404F8189D81C0B|
037G003785|20070630000000|480594.53|1.0|8529CD484EEC060AE0404F8189D81C0B|
037G003785|20080630000000|480594.53|1.0|8529CD484F0F060AE0404F8189D81C0B|
037G003785|20090630000000|480594.53|1.0|8529CD484F33060AE0404F8189D81C0B|
037G003BD9|20070630000000|11774.08|1.0|8529CD484EFF060AE0404F8189D81C0B|
037G003BD9|20080630000000|12064.08|1.0|8529CD484F22060AE0404F8189D81C0B|
037G030812|20090630000000|12375.08|1.0|8529CD484F34060AE0404F8189D81C0B|
037H004261|20070630000000|18978.61|1.0|8529CD484EED060AE0404F8189D81C0B|
037H004261|20080630000000|22387.99|1.0|8529CD484F10060AE0404F8189D81C0B|
037H004261|20090630000000|26274.31|1.0|8529CD484F35060AE0404F8189D81C0B|
037I002512|20070630000000|48019.33|1.0|8529CD484EEE060AE0404F8189D81C0B|
037I002512|20080630000000|52028.59|1.0|8529CD484F11060AE0404F8189D81C0B|
037I002512|20090630000000|56565.97|1.0|8529CD484F36060AE0404F8189D81C0B|
037K008284|20070630000000|211087.64|1.0|8529CD484EEF060AE0404F8189D81C0B|
037K008284|20080630000000|216287.64|1.0|8529CD484F12060AE0404F8189D81C0B|
037K008284|20090630000000|226537.64|1.0|8529CD484F37060AE0404F8189D81C0B|
037L006493|20070630000000|130137.42|1.0|8529CD484EF0060AE0404F8189D81C0B|
037L006493|20080630000000|130137.42|1.0|8529CD484F13060AE0404F8189D81C0B|
037L006493|20090630000000|130137.42|1.0|8529CD484F38060AE0404F8189D81C0B|
037L006709|20070630000000|99384.35|1.0|8529CD484EF1060AE0404F8189D81C0B|
037L006709|20080630000000|108749.51|1.0|8529CD484F14060AE0404F8189D81C0B|
037L006709|20090630000000|117040.02|1.0|8529CD484F39060AE0404F8189D81C0B|
037MDER022|20070630000000|305663.42|1.0|8529CD484EF2060AE0404F8189D81C0B|
037MDER022|20080630000000|330928.21|1.0|8529CD484F15060AE0404F8189D81C0B|
037MDER022|20090630000000|361828.55|1.0|8529CD484F3A060AE0404F8189D81C0B|
