me_dt_id|me_dt|obj_id|ver_nbr|
1.0|20070630000000|8529CD485129060AE0404F8189D81C0B|1.0|
2.0|20070731000000|8529CD48512A060AE0404F8189D81C0B|1.0|
3.0|20070831000000|8529CD48512B060AE0404F8189D81C0B|1.0|
4.0|20070930000000|8529CD48512C060AE0404F8189D81C0B|1.0|
5.0|20071031000000|8529CD48512D060AE0404F8189D81C0B|1.0|
6.0|20071130000000|8529CD48512E060AE0404F8189D81C0B|1.0|
7.0|20071231000000|8529CD48512F060AE0404F8189D81C0B|1.0|
8.0|20080131000000|8529CD485130060AE0404F8189D81C0B|1.0|
9.0|20080229000000|8529CD485131060AE0404F8189D81C0B|1.0|
10.0|20080331000000|8529CD485132060AE0404F8189D81C0B|1.0|
11.0|20080430000000|8529CD485133060AE0404F8189D81C0B|1.0|
12.0|20080531000000|8529CD485134060AE0404F8189D81C0B|1.0|
13.0|20080630000000|8529CD485135060AE0404F8189D81C0B|1.0|
14.0|20080731000000|8529CD485136060AE0404F8189D81C0B|1.0|
15.0|20080831000000|8529CD485137060AE0404F8189D81C0B|1.0|
16.0|20080930000000|8529CD485138060AE0404F8189D81C0B|1.0|
17.0|20081031000000|8529CD485139060AE0404F8189D81C0B|1.0|
18.0|20081130000000|8529CD48513A060AE0404F8189D81C0B|1.0|
19.0|20081231000000|8529CD48513B060AE0404F8189D81C0B|1.0|
20.0|20090131000000|8529CD48513C060AE0404F8189D81C0B|1.0|
21.0|20090228000000|8529CD48513D060AE0404F8189D81C0B|1.0|
22.0|20090331000000|8529CD48513E060AE0404F8189D81C0B|1.0|
23.0|20090430000000|8529CD48513F060AE0404F8189D81C0B|1.0|
24.0|20090531000000|8529CD485140060AE0404F8189D81C0B|1.0|
25.0|20090630000000|8529CD485141060AE0404F8189D81C0B|1.0|
26.0|20090731000000|8529CD485142060AE0404F8189D81C0B|1.0|
27.0|20090831000000|8529CD485143060AE0404F8189D81C0B|1.0|
28.0|20090930000000|8529CD485144060AE0404F8189D81C0B|1.0|
29.0|20091031000000|8529CD485145060AE0404F8189D81C0B|1.0|
30.0|20091130000000|8529CD485146060AE0404F8189D81C0B|1.0|
31.0|20091231000000|8529CD485147060AE0404F8189D81C0B|1.0|
