kemid|kemid_fnd_src_seq|fnd_src_cd|opnd_frm_kemid|fnd_hist|fnd_src_adtnl_dta|row_actv_ind|ver_nbr|obj_id|
032A017014|1.0|MULT||||Y|1.0|8529CD484C17060AE0404F8189D81C0B|
032AS06149|1.0|DONOR||37AS06296||Y|1.0|8529CD484C18060AE0404F8189D81C0B|
032AS06198|1.0|MULT||||Y|1.0|8529CD484C19060AE0404F8189D81C0B|
032AS08053|1.0|MULT||32-11273||Y|1.0|8529CD484C1A060AE0404F8189D81C0B|
032AS11040|1.0|MULT||||Y|1.0|8529CD484C1B060AE0404F8189D81C0B|
032B011354|1.0|MULT||32-60007||Y|1.0|8529CD484C1C060AE0404F8189D81C0B|
032D008242|1.0|DONOR||||Y|1.0|8529CD484C1D060AE0404F8189D81C0B|
032L006015|1.0|MULT||35-54610||Y|1.0|8529CD484C1E060AE0404F8189D81C0B|
032L006098|1.0|MULT||35-56757||Y|1.0|8529CD484C1F060AE0404F8189D81C0B|
032P002085|1.0|MULT||||Y|1.0|8529CD484C20060AE0404F8189D81C0B|
032P002101|1.0|MULT||||Y|1.0|8529CD484C21060AE0404F8189D81C0B|
032P011045|1.0|DONOR||35-50730||Y|1.0|8529CD484C22060AE0404F8189D81C0B|
032P011094|1.0|MULT||32-14872||Y|1.0|8529CD484C23060AE0404F8189D81C0B|
037A014184|1.0|MULT||"37-19218, 35-59218"||Y|1.0|8529CD484C24060AE0404F8189D81C0B|
037A017013|1.0|MULT||"37-17600, 38-57600, 35-57600"||Y|1.0|8529CD484C25060AE0404F8189D81C0B|
037AS12302|1.0|DONOR||||Y|1.0|8529CD484C26060AE0404F8189D81C0B|
037AS34082|1.0|DONOR||||Y|1.0|8529CD484C27060AE0404F8189D81C0B|
037AS35022|1.0|DONOR||"32-11723, 37-11723"||Y|1.0|8529CD484C28060AE0404F8189D81C0B|
037AS36012|1.0|DONOR||"32-11164, 37-11164"||Y|1.0|8529CD484C29060AE0404F8189D81C0B|
037AS38026|1.0|DONOR||37AS26013||Y|1.0|8529CD484C2A060AE0404F8189D81C0B|
037AS54239|1.0|DONOR||||Y|1.0|8529CD484C2B060AE0404F8189D81C0B|
037B011AG1|1.0|DONOR||"35-56653, 38-36653, 38B011088"||Y|1.0|8529CD484C2C060AE0404F8189D81C0B|
037B012161|1.0|DONOR||||Y|1.0|8529CD484C2D060AE0404F8189D81C0B|
037E009701|1.0|MULT||||Y|1.0|8529CD484C2E060AE0404F8189D81C0B|
037E009727|1.0|DONOR||||Y|1.0|8529CD484C2F060AE0404F8189D81C0B|
037F002010|1.0|DONOR||"37-14701, 32-14701"||Y|1.0|8529CD484C30060AE0404F8189D81C0B|
037G003785|1.0|DONOR||||Y|1.0|8529CD484C31060AE0404F8189D81C0B|
037G003BD9|1.0|MULT||||Y|1.0|8529CD484C32060AE0404F8189D81C0B|
037G030812|1.0|KEMID|037G003BD9|||Y|1.0|8529CD484C33060AE0404F8189D81C0B|
037H004261|1.0|DONOR||||Y|1.0|8529CD484C34060AE0404F8189D81C0B|
037I002512|1.0|DONOR||||Y|1.0|8529CD484C35060AE0404F8189D81C0B|
037K008284|1.0|DONOR||"38-32170, 35-52170, 38K008084"||Y|1.0|8529CD484C36060AE0404F8189D81C0B|
037L006493|1.0|MULT||"38-33590, 32-13590, 38L006061"||Y|1.0|8529CD484C37060AE0404F8189D81C0B|
037L006709|1.0|MULT||||Y|1.0|8529CD484C38060AE0404F8189D81C0B|
037MDER022|1.0|DONOR||||Y|1.0|8529CD484C39060AE0404F8189D81C0B|
037MDSL103|1.0|DONOR||"37-14492, 38-34492, 35-54492"||Y|1.0|8529CD484C3A060AE0404F8189D81C0B|
037MMED197|1.0|MULT||||Y|1.0|8529CD484C3B060AE0404F8189D81C0B|
037MPHC132|1.0|MULT||||Y|1.0|8529CD484C3C060AE0404F8189D81C0B|
037O009148|1.0|MULT||||Y|1.0|8529CD484C3D060AE0404F8189D81C0B|
037P003108|1.0|DONOR||||Y|1.0|8529CD484C3E060AE0404F8189D81C0B|
037P004148|1.0|MULT||||Y|1.0|8529CD484C3F060AE0404F8189D81C0B|
037P011291|1.0|MULT||||Y|1.0|8529CD484C40060AE0404F8189D81C0B|
037RQ04222|1.0|DONOR||"37-60310, 35-60310"||Y|1.0|8529CD484C41060AE0404F8189D81C0B|
037RT04333|1.0|DONOR||||Y|1.0|8529CD484C42060AE0404F8189D81C0B|
037S012056|1.0|MULT||||Y|1.0|8529CD484C43060AE0404F8189D81C0B|
037SC00501|1.0|DONOR||||Y|1.0|8529CD484C44060AE0404F8189D81C0B|
037V009140|1.0|DONOR||||Y|1.0|8529CD484C45060AE0404F8189D81C0B|
037V010080|1.0|DONOR||||Y|1.0|8529CD484C46060AE0404F8189D81C0B|
037WHMM024|1.0|DONOR||"37-11712, 32-11712"||Y|1.0|8529CD484C47060AE0404F8189D81C0B|
037X002044|1.0|DONOR||"37-14649, 32-14649"||Y|1.0|8529CD484C48060AE0404F8189D81C0B|
038A017011|1.0|EARN||"38-37600, 32-37600, 38A010016"||Y|1.0|8529CD484C49060AE0404F8189D81C0B|
038AS00057|1.0|MULT||"38-31575, 32-11575"||Y|1.0|8529CD484C4A060AE0404F8189D81C0B|
038AS06237|1.0|DONOR||||Y|1.0|8529CD484C4B060AE0404F8189D81C0B|
038AS17028|1.0|MULT||"38-33090, 32-13090"||Y|1.0|8529CD484C4C060AE0404F8189D81C0B|
038AS53023|1.0|MULT||"38-30781, 32-10781"||Y|1.0|8529CD484C4D060AE0404F8189D81C0B|
038B011179|1.0|DONOR||"32-15224, 38-35224, 046G007CD0"||Y|1.0|8529CD484C4E060AE0404F8189D81C0B|
038CC00118|1.0|DONOR||||Y|1.0|8529CD484C4F060AE0404F8189D81C0B|
038D008041|1.0|MULT||"38-36351, 35-56350"||Y|1.0|8529CD484C50060AE0404F8189D81C0B|
038E009022|1.0|MULT||"38-32200, 32-12200 "||Y|1.0|8529CD484C51060AE0404F8189D81C0B|
038F002075|1.0|DONOR||||Y|1.0|8529CD484C52060AE0404F8189D81C0B|
038G003452|1.0|MULT||42G007331||Y|1.0|8529CD484C53060AE0404F8189D81C0B|
038IU09022|1.0|MULT||"38-39090, 32-19090"||Y|1.0|8529CD484C54060AE0404F8189D81C0B|
038K008027|1.0|MULT||"38-24612, 32-24612"||Y|1.0|8529CD484C55060AE0404F8189D81C0B|
038L006228|1.0|MULT||||Y|1.0|8529CD484C56060AE0404F8189D81C0B|
038MCCC134|1.0|DONOR||||Y|1.0|8529CD484C57060AE0404F8189D81C0B|
038MDSL325|1.0|MULT||||Y|1.0|8529CD484C58060AE0404F8189D81C0B|
038MPHC072|1.0|DONOR||||Y|1.0|8529CD484C59060AE0404F8189D81C0B|
038MSCI011|1.0|MULT||"38-38250, 35-58250"||Y|1.0|8529CD484C5A060AE0404F8189D81C0B|
038N008222|1.0|DONOR||32N008324||Y|1.0|8529CD484C5B060AE0404F8189D81C0B|
038P003213|1.0|MULT||32P003190||Y|1.0|8529CD484C5C060AE0404F8189D81C0B|
