prps_cd|prps_desc|row_actv_ind|obj_id|ver_nbr|
A|Award|Y|8529CD4849A0060AE0404F8189D81C0B|1.0|
AF|Faculty Award|Y|8529CD4849A1060AE0404F8189D81C0B|1.0|
AFR|Faculty Award With Some Restriction|Y|8529CD4849A2060AE0404F8189D81C0B|1.0|
AR|Award With Some Restriction|Y|8529CD4849A3060AE0404F8189D81C0B|1.0|
AS|Student Award|Y|8529CD4849A4060AE0404F8189D81C0B|1.0|
ASR|Student Award With Some Restriction|Y|8529CD4849A5060AE0404F8189D81C0B|1.0|
C|Construction|Y|8529CD4849A6060AE0404F8189D81C0B|1.0|
CI|Capital Improvement|Y|8529CD4849A7060AE0404F8189D81C0B|1.0|
CID|Capital Improvement With Restriction to Department, School or Program|Y|8529CD4849A8060AE0404F8189D81C0B|1.0|
CIR|Capital Improvement With Some Restriction|Y|8529CD4849A9060AE0404F8189D81C0B|1.0|
CR|Construction With Some Restriction|Y|8529CD4849AA060AE0404F8189D81C0B|1.0|
D|Curatorship|Y|8529CD4849AB060AE0404F8189D81C0B|1.0|
D3|Curatorship - Presidents Match Participant|Y|8529CD4849AC060AE0404F8189D81C0B|1.0|
DR|Curatorship - With Some Restriction|Y|8529CD4849AD060AE0404F8189D81C0B|1.0|
DR3|Curatorship - With Some Restriction - Presidents Match Participant|Y|8529CD4849AE060AE0404F8189D81C0B|1.0|
E|Internships|Y|8529CD4849AF060AE0404F8189D81C0B|1.0|
ER|Internships With Some Restriction|Y|8529CD4849B0060AE0404F8189D81C0B|1.0|
F|Graduate Fellowship|Y|8529CD4849B1060AE0404F8189D81C0B|1.0|
F3|Graduate Fellowship - Presidents Match Participant|Y|8529CD4849B2060AE0404F8189D81C0B|1.0|
FF|Faculty Fellowship|Y|8529CD4849B3060AE0404F8189D81C0B|1.0|
FF3|Faculty Fellowship - Presidents Match Participant|Y|8529CD4849B4060AE0404F8189D81C0B|1.0|
FFR|Faculty Fellowship With Some Restriction|Y|8529CD4849B5060AE0404F8189D81C0B|1.0|
FR|Graduate Fellowship With Some Restriction|Y|8529CD4849B6060AE0404F8189D81C0B|1.0|
FR3|Graduate Fellowship With Some Restriction - Presidents Match Participant|Y|8529CD4849B7060AE0404F8189D81C0B|1.0|
I|Internal IUF Accounts|Y|8529CD4849B8060AE0404F8189D81C0B|1.0|
IR|Internal IUF Accounts With Some Restriction|Y|8529CD4849B9060AE0404F8189D81C0B|1.0|
L|Lectureship|Y|8529CD4849BA060AE0404F8189D81C0B|1.0|
LR|Lectureship With Some Restriction|Y|8529CD4849BB060AE0404F8189D81C0B|1.0|
M|General Endowment - Multi Use Account|Y|8529CD4849BC060AE0404F8189D81C0B|1.0|
M3|General Endowment - Multi Use Account - Presidents Match Participant|Y|8529CD4849BD060AE0404F8189D81C0B|1.0|
MD|General Endowment - Multi Use Account With Restriction to Department, School or Program|Y|8529CD4849BE060AE0404F8189D81C0B|1.0|
MD3|General Endowment - Multi Use Account With Restriction to Department|Y|8529CD4849BF060AE0404F8189D81C0B|1.0|
MPP|General Endowment - Multi Use Account - Medical School Practice Plan Account|Y|8529CD4849C0060AE0404F8189D81C0B|1.0|
MR|General Endowment - Multi Use Account With Some Restriction|Y|8529CD4849C1060AE0404F8189D81C0B|1.0|
MR3|General Endowment - Multi Use Account With Some Restriction - Presidents Match Participant|Y|8529CD4849C2060AE0404F8189D81C0B|1.0|
N|Loan|Y|8529CD4849C3060AE0404F8189D81C0B|1.0|
NR|Loan With Some Restriction|Y|8529CD4849C4060AE0404F8189D81C0B|1.0|
O|Operating Account|Y|8529CD4849C5060AE0404F8189D81C0B|1.0|
OD|Operating Account With Restriction to Department, School or Program|Y|8529CD4849C6060AE0404F8189D81C0B|1.0|
OD3|Operating Account With Restriction to Department, School or Program - Presidents Match Participant|Y|8529CD4849C7060AE0404F8189D81C0B|1.0|
OPP|Operating Account - Medical School Practice Plan Account|Y|8529CD4849C8060AE0404F8189D81C0B|1.0|
OR|Operating Account With Some Restriction|Y|8529CD4849C9060AE0404F8189D81C0B|1.0|
OR3|Operating Account With Restriction - Presidents Match Participant|Y|8529CD4849CA060AE0404F8189D81C0B|1.0|
