"PERM_ID","OBJ_ID","VER_NBR","PERM_TMPL_ID","NMSPC_CD","NM","DESC_TXT","ACTV_IND"
"1","1","1","7","KFS-AR","Claim Electronic Payment CTRL","Allows access to the Electronic Fund Transfer interface for the claiming of electronic funds using the Cash Control Document (CTRL).","Y"
"10","10","1","26","KFS-AR","Modify Maintenance Document Field Customer customerTaxNbr","Allows modification of the Customer Tax Number field on the Customer document.","Y"
"100","100","1","16","KFS-PURAP","Edit Document REQS PreRoute","Edit permission for the Requisition document prior to the document being submitted.","Y"
"101","101","1","16","KFS-PURAP","Edit Document PO PreRoute","Edit permission for the Purchase Order document prior to the document being submitted.","Y"
"102","102","1","16","KFS-PURAP","Edit Document AP PreRoute","Edit permission for Accounts Payable Transactional documents prior to the document being submitted.","Y"
"103","103","1","16","KFS-PURAP","Edit Document RCV PreRoute","Edit permission for Receiving Transactional documents prior to the document being submitted.","Y"
"107","107","1","7","KFS-SYS","Claim Electronic Payment","Allows access to the Electronic Fund Transfer interface for the claiming of electronic funds.","Y"
"108","108","1","6","KFS-SYS","Error Correct Document KFST","Allows access to the Error Correction button on KFS Transactional documents.","Y"
"11","11","1","33","KFS-AR","Upload Batch Input File(s) customerLoadInputFileType","Allows access to the Customer Upload Batch Upload page.","Y"
"1100","1100","1","3","KFS-SYS","Administer Routing for Document KFST","Allows users to open Financial System Documents via the Super search option in Document Search and take Administrative workflow actions on them (such as approving the document, approving individual requests, or sending the document to a specified route node).","Y"
"113","113","1","3","KFS-SYS","Administer Routing for Document KFS","Allows users to open KFS documents via the Super search option in Document Search and take Administrative workflow actions on them (such as approving the document, approving individual requests, or sending the document to a specified route node).","Y"
"114","114","1","4","KFS-SYS","Blanket Approve Document KFS","Allows access to the Blanket Approval button on KFS Financial System Documents.","Y"
"115","115","1","10","KFS-SYS","Initiate Document KFS","Authorizes the initiation of Financial System Documents.","Y"
"116","116","1","10","KFS-SYS","Initiate Document FSSM","Authorizes the initiation of Financial System Simple Maintenance documents.","Y"
"117","117","1","10","KFS-SYS","Initiate Document BANK","Authorizes the initiation of the Bank Maintenance Document.","Y"
"119","119","1","35","KFS-SYS","Assign Role KFS*","Authorizes users to modify the information on the Assignees Tab of the Role Document and the Roles section of the Membership Tab on the Person Document for roles with a Module Code beginning with KFS.","Y"
"12","12","1","29","KFS-AR","Use Screen KFS-AR","Allows users access to screens in the KFS-AR module that are not documents, lookups, inquiries, or batch uploads, i.e. this primarily provides access to AR reports","Y"
"120","120","1","36","KFS-SYS","Grant Permission KFS*","Authorizes users to modify the information on the Permissions tab of the Role Document for roles with a module code beginning with KFS.","Y"
"121","121","1","37","KFS-SYS","Grant Responsibility KFS*","Authorizes users to modify the information on the Responsibility tab of the Role Document for roles with a Module Code that begins with KFS.","Y"
"122","122","1","38","KFS-SYS","Populate Group KFS*","Authorizes users to modify the information on the Assignees Tab of the Group Document and the Group section of the Membership Tab on the Person Document for groups with namespaces beginning with KFS.","Y"
"128","128","1","27","KFS-SYS","Full Unmask Field Bank bankAccountNumber","Authorizes users to view the entire bank account number on the Bank document and Inquiry.","Y"
