kim_typ_attr_id|obj_id|ver_nbr|sort_cd|kim_typ_id|kim_attr_defn_id|actv_ind|
1|5ADF18B6D4AD7954E0404F8189D85002|1.0|a|3|13|Y|
10|5ADF18B6D4C87954E0404F8189D85002|1.0|c|8|15|Y|
101|603B735FA6BBFE21E0404F8189D8083B|1.0|a|56|13|Y|
102|603B735FA6C2FE21E0404F8189D8083B|1.0|b|56|7|Y|
103|603B735FA6BEFE21E0404F8189D8083B|1.0|a|57|5|Y|
104|603B735FA6BFFE21E0404F8189D8083B|1.0|b|57|44|Y|
107|60432A73A6A39F65E0404F8189D86AA4|1.0|a|54|13|Y|
108|606763510FBD96D3E0404F8189D857A2|1.0|a|59|13|Y|
109|606763510FBE96D3E0404F8189D857A2|1.0|b|59|8|Y|
11|5ADF18B6D4C97954E0404F8189D85002|1.0|b|8|16|Y|
111|67F145466E909160E0404F8189D86771|1.0|a|67|4|Y|
112|67F145466E959160E0404F8189D86771|1.0|b|14|13|Y|
113|B7DBFABEFD3F8CBFE0402E0AA9D757C9|1.0|a|68|47|Y|
114|B7DBFABEFD408CBFE0402E0AA9D757C9|1.0|a|69|47|Y|
115|B7DBFABEFD418CBFE0402E0AA9D757C9|1.0|b|69|10|Y|
116|B7DBFABEFD428CBFE0402E0AA9D757C9|1.0|a|70|47|Y|
117|B7DBFABEFD438CBFE0402E0AA9D757C9|1.0|b|70|50|Y|
118|B7DBFABEFD448CBFE0402E0AA9D757C9|1.0|c|70|6|Y|
119|B7DBFABEFD458CBFE0402E0AA9D757C9|1.0|a|71|47|Y|
12|5ADF18B6D4CE7954E0404F8189D85002|1.0|a|9|13|Y|
120|B7DBFABEFD468CBFE0402E0AA9D757C9|1.0|b|71|51|Y|
121|B7DBFABEFD478CBFE0402E0AA9D757C9|1.0|c|71|50|Y|
122|B7DBFABEFD488CBFE0402E0AA9D757C9|1.0|a|72|47|Y|
123|B7DBFABEFD498CBFE0402E0AA9D757C9|1.0|b|72|52|Y|
124|B7DBFABEFD4A8CBFE0402E0AA9D757C9|1.0|a|73|47|Y|
125|B7DBFABEFD4B8CBFE0402E0AA9D757C9|1.0|b|73|53|Y|
126|B7DBFABEFD4C8CBFE0402E0AA9D757C9|1.0|c|73|48|Y|
127|B7DBFABEFD4D8CBFE0402E0AA9D757C9|1.0|a|74|47|Y|
128|B7DBFABEFD4E8CBFE0402E0AA9D757C9|1.0|b|74|51|Y|
129|B7DBFABEFD4F8CBFE0402E0AA9D757C9|1.0|c|74|49|Y|
130|B7DBFABEFD508CBFE0402E0AA9D757C9|1.0|d|74|50|Y|
131|B7DBFABEFD518CBFE0402E0AA9D757C9|1.0|e|74|6|Y|
132|B7DBFABEFD528CBFE0402E0AA9D757C9|1.0|a|75|47|Y|
133|B7DBFABEFD538CBFE0402E0AA9D757C9|1.0|b|75|51|Y|
134|B7DBFABEFD548CBFE0402E0AA9D757C9|1.0|c|75|49|Y|
135|B7DBFABEFD558CBFE0402E0AA9D757C9|1.0|d|75|53|Y|
136|B7DBFABEFD568CBFE0402E0AA9D757C9|1.0|e|75|48|Y|
137|BC5444677C23328CE0402E0AA9D77D80|1.0|a|8|54|Y|
138|69FA55ACC2EE2598E0404F8189D86880|1.0|e|7|46|Y|
14|5ADF18B6D4D07954E0404F8189D85002|1.0|b|9|9|Y|
15|5ADF18B6D4D87954E0404F8189D85002|1.0|a|10|4|Y|
16|5ADF18B6D4D97954E0404F8189D85002|1.0|b|10|5|Y|
17|5ADF18B6D4DD7954E0404F8189D85002|1.0|a|11|5|Y|
18|5ADF18B6D4DE7954E0404F8189D85002|1.0|b|11|6|Y|
19|5ADF18B6D4E47954E0404F8189D85002|1.0|a|12|4|Y|
2|5ADF18B6D4B67954E0404F8189D85002|1.0|a|4|14|Y|
20|5ADF18B6D4E57954E0404F8189D85002|1.0|b|12|2|Y|
21|5ADF18B6D4E87954E0404F8189D85002|1.0|a|13|3|Y|
22|5ADF18B6D4EB7954E0404F8189D85002|1.0|a|14|10|Y|
23|5ADF18B6D4EE7954E0404F8189D85002|1.0|a|15|4|Y|
24|5ADF18B6D4EF7954E0404F8189D85002|1.0|b|15|1|Y|
25|5ADF18B6D4F37954E0404F8189D85002|1.0|a|16|4|Y|
26|5ADF18B6D4F47954E0404F8189D85002|1.0|b|16|5|Y|
27|5ADF18B6D4F57954E0404F8189D85002|1.0|c|16|11|Y|
28|5ADF18B6D4F87954E0404F8189D85002|1.0|a|17|12|Y|
29|5ADF18B6D4FA7954E0404F8189D85002|1.0|a|18|4|Y|
3|5ADF18B6D4B97954E0404F8189D85002|1.0|a|5|13|Y|
30|5ADF18B6D4FB7954E0404F8189D85002|1.0|b|18|18|Y|
31|5ADF18B6D4FE7954E0404F8189D85002|1.0|a|19|4|Y|
32|5ADF18B6D4FF7954E0404F8189D85002|1.0|b|19|19|Y|
33|5ADF18B6D5027954E0404F8189D85002|1.0|a|20|4|Y|
34|5ADF18B6D5037954E0404F8189D85002|1.0|b|20|20|Y|
35|5ADF18B6D5067954E0404F8189D85002|1.0|a|21|4|Y|
36|5ADF18B6D5077954E0404F8189D85002|1.0|b|21|21|Y|
4|5ADF18B6D4BA7954E0404F8189D85002|1.0|b|5|14|Y|
7|5ADF18B6D4C17954E0404F8189D85002|1.0|a|7|13|Y|
8|5ADF18B6D4C27954E0404F8189D85002|1.0|b|7|16|Y|
80|5C4970B2B2E18277E0404F8189D80B30|1.0|c|7|40|Y|
81|5C4970B2B2E28277E0404F8189D80B30|1.0|d|7|41|Y|
89|5C7D997640695002E0404F8189D86F11|1.0|a|42|42|Y|
9|5ADF18B6D4C77954E0404F8189D85002|1.0|a|8|13|Y|
91|5C7D9976406B5002E0404F8189D86F11|1.0|a|43|42|Y|
95|5C997D14EAC3FE40E0404F8189D87DC5|1.0|a|52|13|Y|
96|5C997D14EAC4FE40E0404F8189D87DC5|1.0|b|52|16|Y|
97|5C997D14EAC5FE40E0404F8189D87DC5|1.0|c|52|6|Y|
KR1000|CBA9C0DFF600E80EE040F90A05B97BE4|1.0|a|KR1000|13|Y|
KR1001|CBA9C0DFF601E80EE040F90A05B97BE4|1.0|b|KR1000|16|Y|
KR1002|CBA9C0DFF602E80EE040F90A05B97BE4|1.0|c|KR1000|15|Y|
KR1003|CEA27C3715278653E040F90A05B924A3|1.0|A|KR1001|KR1000|Y|
KR1004|CEA27C37152A8653E040F90A05B924A3|1.0|b|21|KR1001|Y|
