kim_attr_defn_id|obj_id|ver_nbr|nm|lbl|actv_ind|nmspc_cd|cmpnt_nm|
1|5ADF18B6D4887954E0404F8189D85002|1.0|beanName||Y|KR-SYS|org.kuali.rice.kim.bo.impl.KimAttributes|
10|5ADF18B6D4917954E0404F8189D85002|1.0|editMode||Y|KR-NS|org.kuali.rice.kim.bo.impl.KimAttributes|
11|5ADF18B6D4927954E0404F8189D85002|1.0|parameterName||Y|KR-NS|org.kuali.rice.kim.bo.impl.KimAttributes|
12|5ADF18B6D4937954E0404F8189D85002|1.0|campusCode||Y|KR-NS|org.kuali.rice.kim.bo.impl.KimAttributes|
13|5ADF18B6D4947954E0404F8189D85002|1.0|documentTypeName||Y|KR-WKFLW|org.kuali.rice.kim.bo.impl.KimAttributes|
14|5ADF18B6D4957954E0404F8189D85002|1.0|actionRequestCd||Y|KR-WKFLW|org.kuali.rice.kim.bo.impl.KimAttributes|
15|5ADF18B6D4967954E0404F8189D85002|1.0|routeStatusCode||Y|KR-WKFLW|org.kuali.rice.kim.bo.impl.KimAttributes|
16|5ADF18B6D4977954E0404F8189D85002|1.0|routeNodeName||Y|KR-WKFLW|org.kuali.rice.kim.bo.impl.KimAttributes|
18|5ADF18B6D4997954E0404F8189D85002|1.0|roleName||Y|KR-IDM|org.kuali.rice.kim.bo.impl.KimAttributes|
19|5ADF18B6D49A7954E0404F8189D85002|1.0|permissionName||Y|KR-IDM|org.kuali.rice.kim.bo.impl.KimAttributes|
2|5ADF18B6D4897954E0404F8189D85002|1.0|actionClass||Y|KR-SYS|org.kuali.rice.kim.bo.impl.KimAttributes|
20|5ADF18B6D49B7954E0404F8189D85002|1.0|responsibilityName||Y|KR-IDM|org.kuali.rice.kim.bo.impl.KimAttributes|
21|5ADF18B6D49C7954E0404F8189D85002|1.0|groupName||Y|KR-IDM|org.kuali.rice.kim.bo.impl.KimAttributes|
3|5ADF18B6D48A7954E0404F8189D85002|1.0|buttonName||Y|KR-SYS|org.kuali.rice.kim.bo.impl.KimAttributes|
4|5ADF18B6D48B7954E0404F8189D85002|1.0|namespaceCode||Y|KR-NS|org.kuali.rice.kim.bo.impl.KimAttributes|
40|5C4970B2B2DF8277E0404F8189D80B30|1.0|required||Y|KR-WKFLW|org.kuali.rice.kim.bo.impl.KimAttributes|
41|5C4970B2B2E08277E0404F8189D80B30|1.0|actionDetailsAtRoleMemberLevel||Y|KR-WKFLW|org.kuali.rice.kim.bo.impl.KimAttributes|
42|5C7D997640635002E0404F8189D86F11|1.0|documentNumber||Y|KR-NS|org.kuali.rice.kim.bo.impl.KimAttributes|
44|603B735FA6BCFE21E0404F8189D8083B|1.0|sectionId||Y|KR-NS|org.kuali.rice.kim.bo.impl.KimAttributes|
46|69FA55ACC2EE2598E0404F8189D86880|1.0|qualifierResolverProvidedIdentifier||Y|KR-IDM|org.kuali.rice.kim.bo.impl.KimAttributes|
47|B7DBFABEFD308CBFE0402E0AA9D757C9|1.0|viewId||Y|KR-KRAD|org.kuali.rice.kim.bo.impl.KimAttributes|
48|B7DBFABEFD318CBFE0402E0AA9D757C9|1.0|actionEvent||Y|KR-KRAD|org.kuali.rice.kim.bo.impl.KimAttributes|
49|B7DBFABEFD328CBFE0402E0AA9D757C9|1.0|collectionPropertyName||Y|KR-KRAD|org.kuali.rice.kim.bo.impl.KimAttributes|
5|5ADF18B6D48C7954E0404F8189D85002|1.0|componentName||Y|KR-NS|org.kuali.rice.kim.bo.impl.KimAttributes|
50|B7DBFABEFD338CBFE0402E0AA9D757C9|1.0|fieldId||Y|KR-KRAD|org.kuali.rice.kim.bo.impl.KimAttributes|
51|B7DBFABEFD348CBFE0402E0AA9D757C9|1.0|groupId||Y|KR-KRAD|org.kuali.rice.kim.bo.impl.KimAttributes|
52|B7DBFABEFD358CBFE0402E0AA9D757C9|1.0|widgetId||Y|KR-KRAD|org.kuali.rice.kim.bo.impl.KimAttributes|
53|B7DBFABEFD368CBFE0402E0AA9D757C9|1.0|actionId||Y|KR-KRAD|org.kuali.rice.kim.bo.impl.KimAttributes|
54|BC5444677C22328CE0402E0AA9D77D80|1.0|appDocStatus||Y|KR-WKFLW|org.kuali.rice.kim.bo.impl.KimAttributes|
6|5ADF18B6D48D7954E0404F8189D85002|1.0|propertyName||Y|KR-NS|org.kuali.rice.kim.bo.impl.KimAttributes|
7|603B735FA6BAFE21E0404F8189D8083B|1.0|existingRecordsOnly||Y|KR-NS|org.kuali.rice.kim.bo.impl.KimAttributes|
8|5ADF18B6D48F7954E0404F8189D85002|1.0|createdBySelfOnly||Y|KR-NS|org.kuali.rice.kim.bo.impl.KimAttributes|
9|5ADF18B6D4907954E0404F8189D85002|1.0|attachmentTypeCode||Y|KR-NS|org.kuali.rice.kim.bo.impl.KimAttributes|
KR1000|CEA27C3715268653E040F90A05B924A3|1.0|appCode|Application Code|Y|KR-SYS|org.kuali.rice.kim.bo.impl.KimAttributes|
KR1001|CEA27C3715298653E040F90A05B924A3|1.0|kimTypeName|Kim Type Name|Y|KR-IDM|org.kuali.rice.kim.bo.impl.KimAttributes|
