entity_id|obj_id|ver_nbr|actv_ind|last_updt_dt|
1|5B1B6B919CC96496E0404F8189D822F2|1.0|Y|20081107094902|
1100|5B97C50B03946110E0404F8189D85213|1.0|Y|20081113140635|
1101|5B97C50B03956110E0404F8189D85213|1.0|Y|20081113140636|
1102|5B97C50B03966110E0404F8189D85213|1.0|Y|20081113140636|
1103|5B97C50B03976110E0404F8189D85213|1.0|Y|20081113140636|
1104|5B97C50B03986110E0404F8189D85213|1.0|Y|20081113140636|
1105|5B97C50B03996110E0404F8189D85213|1.0|Y|20081113140636|
1106|5B97C50B039A6110E0404F8189D85213|1.0|Y|20081113140636|
1107|5B97C50B039B6110E0404F8189D85213|1.0|Y|20081113140637|
1108|5B97C50B039C6110E0404F8189D85213|1.0|Y|20081113140637|
1109|5B97C50B039D6110E0404F8189D85213|1.0|Y|20081113140637|
1110|5B97C50B039E6110E0404F8189D85213|1.0|Y|20081113140637|
1111|5B97C50B039F6110E0404F8189D85213|1.0|Y|20081113140637|
1112|5B97C50B03A06110E0404F8189D85213|1.0|Y|20081113140637|
1113|5B97C50B03A16110E0404F8189D85213|1.0|Y|20081113140638|
1114|5B97C50B03A26110E0404F8189D85213|1.0|Y|20081113140638|
1115|5B97C50B03A36110E0404F8189D85213|1.0|Y|20081113140638|
1116|5B97C50B03A46110E0404F8189D85213|1.0|Y|20081113140638|
1117|5B97C50B03A56110E0404F8189D85213|1.0|Y|20081113140638|
1118|5B97C50B03A66110E0404F8189D85213|1.0|Y|20081113140638|
1119|5B97C50B03A76110E0404F8189D85213|1.0|Y|20081113140638|
1120|5B97C50B03A86110E0404F8189D85213|1.0|Y|20081113140639|
1121|5B97C50B03A96110E0404F8189D85213|1.0|Y|20081113140639|
1122|5B97C50B03AA6110E0404F8189D85213|1.0|Y|20081113140639|
1123|5B97C50B03AB6110E0404F8189D85213|1.0|Y|20081113140639|
1124|5B97C50B03AC6110E0404F8189D85213|1.0|Y|20081113140639|
1125|5B97C50B03AD6110E0404F8189D85213|1.0|Y|20081113140639|
1126|5B97C50B03AE6110E0404F8189D85213|1.0|Y|20081113140640|
1127|5B97C50B03AF6110E0404F8189D85213|1.0|Y|20081113140640|
1128|5B97C50B03B06110E0404F8189D85213|1.0|Y|20081113140640|
1129|5B97C50B03B16110E0404F8189D85213|1.0|Y|20081113140640|
1130|5B97C50B03B26110E0404F8189D85213|1.0|Y|20081113140640|
1131|5B97C50B03B36110E0404F8189D85213|1.0|Y|20081113140640|
1132|5B97C50B03B46110E0404F8189D85213|1.0|Y|20081113140641|
1133|5B97C50B03B56110E0404F8189D85213|1.0|Y|20081113140641|
1134|5B97C50B03B66110E0404F8189D85213|1.0|Y|20081113140641|
1135|5B97C50B03B76110E0404F8189D85213|1.0|Y|20081113140641|
1136|5B97C50B03B86110E0404F8189D85213|1.0|Y|20081113140641|
1137|5B97C50B03B96110E0404F8189D85213|1.0|Y|20081113140641|
