postal_state_cd|postal_cntry_cd|obj_id|ver_nbr|postal_state_nm|actv_ind|
--|US|56908AA37A06661BE0404F8189D81F46|1.0|OUT OF COUNTRY|Y|
AA|US|56908AA37A3B661BE0404F8189D81F46|1.0|ARMED FORCES AMERICAS (EXCEPT CANADA)|Y|
AE|US|56908AA37A3C661BE0404F8189D81F46|1.0|ARMED FORCES EURO/CANADA/AFRICA/MID EAST|Y|
AK|US|56908AA37A07661BE0404F8189D81F46|1.0|ALASKA|Y|
AL|US|56908AA37A08661BE0404F8189D81F46|1.0|ALABAMA|Y|
AP|US|56908AA37A3D661BE0404F8189D81F46|1.0|ARMED FORCES PACIFIC|Y|
AR|US|56908AA37A09661BE0404F8189D81F46|1.0|ARKANSAS|Y|
AS|US|56908AA37A3E661BE0404F8189D81F46|1.0|AMERICAN SAMOA|Y|
AZ|US|56908AA37A0A661BE0404F8189D81F46|1.0|ARIZONA|Y|
CA|US|56908AA37A0B661BE0404F8189D81F46|1.0|CALIFORNIA|Y|
CO|US|56908AA37A0C661BE0404F8189D81F46|1.0|COLORADO|Y|
CT|US|56908AA37A0D661BE0404F8189D81F46|1.0|CONNECTICUT|Y|
DC|US|56908AA37A0E661BE0404F8189D81F46|1.0|DISTRICT OF COLUMBIA|Y|
DE|US|56908AA37A0F661BE0404F8189D81F46|1.0|DELAWARE|Y|
FL|US|56908AA37A10661BE0404F8189D81F46|1.0|FLORIDA|Y|
FM|US|56908AA37A3F661BE0404F8189D81F46|1.0|FEDERATED STATES OF MICRONESIA|Y|
GA|US|56908AA37A11661BE0404F8189D81F46|1.0|GEORGIA|Y|
GU|US|56908AA37A40661BE0404F8189D81F46|1.0|GUAM|Y|
HI|US|56908AA37A12661BE0404F8189D81F46|1.0|HAWAII|Y|
IA|US|56908AA37A13661BE0404F8189D81F46|1.0|IOWA|Y|
ID|US|56908AA37A14661BE0404F8189D81F46|1.0|IDAHO|Y|
IL|US|56908AA37A15661BE0404F8189D81F46|1.0|ILLINOIS|Y|
IN|US|56908AA37A16661BE0404F8189D81F46|1.0|INDIANA|Y|
KS|US|56908AA37A17661BE0404F8189D81F46|1.0|KANSAS|Y|
KY|US|56908AA37A18661BE0404F8189D81F46|1.0|KENTUCKY|Y|
LA|US|56908AA37A19661BE0404F8189D81F46|1.0|LOUISIANA|Y|
MA|US|56908AA37A1A661BE0404F8189D81F46|1.0|MASSACHUSETTS|Y|
MD|US|56908AA37A1B661BE0404F8189D81F46|1.0|MARYLAND|Y|
ME|US|56908AA37A1C661BE0404F8189D81F46|1.0|MAINE|Y|
MH|US|56908AA37A41661BE0404F8189D81F46|1.0|MARSHALL ISLANDS|Y|
MI|US|56908AA37A1D661BE0404F8189D81F46|1.0|MICHIGAN|Y|
MN|US|56908AA37A1E661BE0404F8189D81F46|1.0|MINNESOTA|Y|
MO|US|56908AA37A1F661BE0404F8189D81F46|1.0|MISSOURI|Y|
MP|US|56908AA37A42661BE0404F8189D81F46|1.0|NORTHERN MARIANA ISLANDS|Y|
MS|US|56908AA37A20661BE0404F8189D81F46|1.0|MISSISSIPPI|Y|
MT|US|56908AA37A21661BE0404F8189D81F46|1.0|MONTANA|Y|
NC|US|56908AA37A22661BE0404F8189D81F46|1.0|NORTH CAROLINA|Y|
ND|US|56908AA37A23661BE0404F8189D81F46|1.0|NORTH DAKOTA|Y|
NE|US|56908AA37A24661BE0404F8189D81F46|1.0|NEBRASKA|Y|
NH|US|56908AA37A25661BE0404F8189D81F46|1.0|NEW HAMPSHIRE|Y|
NJ|US|56908AA37A26661BE0404F8189D81F46|1.0|NEW JERSEY|Y|
NM|US|56908AA37A27661BE0404F8189D81F46|1.0|NEW MEXICO|Y|
NV|US|56908AA37A28661BE0404F8189D81F46|1.0|NEVADA|Y|
NY|US|56908AA37A29661BE0404F8189D81F46|1.0|NEW YORK|Y|
OH|US|56908AA37A2A661BE0404F8189D81F46|1.0|OHIO|Y|
OK|US|56908AA37A2B661BE0404F8189D81F46|1.0|OKLAHOMA|Y|
OR|US|56908AA37A2C661BE0404F8189D81F46|1.0|OREGON|Y|
PA|US|56908AA37A2D661BE0404F8189D81F46|1.0|PENNSYLVANIA|Y|
PR|US|56908AA37A2E661BE0404F8189D81F46|1.0|PUERTO RICO|Y|
PW|US|56908AA37A43661BE0404F8189D81F46|1.0|PALAU|Y|
RI|US|56908AA37A2F661BE0404F8189D81F46|1.0|RHODE ISLAND|Y|
SC|US|56908AA37A30661BE0404F8189D81F46|1.0|SOUTH CAROLINA|Y|
SD|US|56908AA37A31661BE0404F8189D81F46|1.0|SOUTH DAKOTA|Y|
TN|US|56908AA37A32661BE0404F8189D81F46|1.0|TENNESSEE|Y|
TX|US|56908AA37A33661BE0404F8189D81F46|1.0|TEXAS|Y|
UT|US|56908AA37A34661BE0404F8189D81F46|1.0|UTAH|Y|
VA|US|56908AA37A35661BE0404F8189D81F46|1.0|VIRGINIA|Y|
VI|US|56908AA37A44661BE0404F8189D81F46|1.0|VIRGIN ISLANDS|Y|
VT|US|56908AA37A36661BE0404F8189D81F46|1.0|VERMONT|Y|
WA|US|56908AA37A37661BE0404F8189D81F46|1.0|WASHINGTON|Y|
WI|US|56908AA37A38661BE0404F8189D81F46|1.0|WISCONSIN|Y|
WV|US|56908AA37A39661BE0404F8189D81F46|1.0|WEST VIRGINIA|Y|
WY|US|56908AA37A3A661BE0404F8189D81F46|1.0|WYOMING|Y|
