perm_tmpl_id|obj_id|ver_nbr|nmspc_cd|nm|desc_txt|kim_typ_id|actv_ind|
1|5ADF18B6D4857954E0404F8189D85002|1.0|KUALI|Default||1|Y|
10|5ADF18B6D4BF7954E0404F8189D85002|1.0|KR-SYS|Initiate Document||3|Y|
14|5ADF18B6D4CA7954E0404F8189D85002|1.0|KR-WKFLW|Cancel Document||8|Y|
15|5ADF18B6D4CB7954E0404F8189D85002|1.0|KR-WKFLW|Save Document||8|Y|
16|5ADF18B6D4CC7954E0404F8189D85002|1.0|KR-NS|Edit Document||8|Y|
2|5ADF18B6D4AF7954E0404F8189D85002|1.0|KR-NS|Copy Document||3|Y|
23|5ADF18B6D4DA7954E0404F8189D85002|1.0|KR-NS|Look Up Records||10|Y|
24|5ADF18B6D4DB7954E0404F8189D85002|1.0|KR-NS|Inquire Into Records||10|Y|
25|5ADF18B6D4DF7954E0404F8189D85002|1.0|KR-NS|View Inquiry or Maintenance Document Field||11|Y|
26|5ADF18B6D4E07954E0404F8189D85002|1.0|KR-NS|Modify Maintenance Document Field||11|Y|
27|5ADF18B6D4E17954E0404F8189D85002|1.0|KR-NS|Full Unmask Field||11|Y|
28|5ADF18B6D4E27954E0404F8189D85002|1.0|KR-NS|Partial Unmask Field||11|Y|
29|5ADF18B6D4E67954E0404F8189D85002|1.0|KR-NS|Use Screen||12|Y|
3|5ADF18B6D4B07954E0404F8189D85002|1.0|KR-WKFLW|Administer Routing for Document||3|Y|
30|5ADF18B6D4E97954E0404F8189D85002|1.0|KR-NS|Perform Custom Maintenance Document Function||13|Y|
31|5ADF18B6D4EC7954E0404F8189D85002|1.0|KR-NS|Use Transactional Document||14|Y|
32|5ADF18B6D4F07954E0404F8189D85002|1.0|KR-NS|Modify Batch Job||15|Y|
33|5ADF18B6D4F17954E0404F8189D85002|1.0|KR-NS|Upload Batch Input File(s)||15|Y|
34|5ADF18B6D4F67954E0404F8189D85002|1.0|KR-NS|Maintain System Parameter||16|Y|
