rte_brch_st_id|rte_brch_id|key_cd|val|ver_nbr|
2074|2071|System.PostProcessorProcessed|true|2.0|
2075|2071|System.PostProcessorFinal|true|1.0|
2103|2100|System.PostProcessorProcessed|true|2.0|
2104|2100|System.PostProcessorFinal|true|1.0|
2167|2164|System.PostProcessorProcessed|true|2.0|
2168|2164|System.PostProcessorFinal|true|1.0|
2175|2169|System.PostProcessorProcessed|true|1.0|
2223|2220|System.PostProcessorProcessed|true|2.0|
2224|2220|System.PostProcessorFinal|true|1.0|
2265|2262|System.PostProcessorProcessed|true|2.0|
2266|2262|System.PostProcessorFinal|true|1.0|
2270|2267|System.PostProcessorProcessed|true|2.0|
2271|2267|System.PostProcessorFinal|true|1.0|
2323|2320|System.PostProcessorProcessed|true|2.0|
2324|2320|System.PostProcessorFinal|true|1.0|
2450|2448|System.PostProcessorProcessed|true|2.0|
2451|2448|System.PostProcessorFinal|true|1.0|
2474|2472|System.PostProcessorProcessed|true|2.0|
2475|2472|System.PostProcessorFinal|true|1.0|
2481|2479|System.PostProcessorProcessed|true|2.0|
2482|2479|System.PostProcessorFinal|true|1.0|
2530|2524|System.PostProcessorProcessed|true|1.0|
2533|2531|System.PostProcessorProcessed|true|2.0|
2534|2531|System.PostProcessorFinal|true|1.0|
2543|2535|System.PostProcessorProcessed|true|1.0|
2548|2546|System.PostProcessorProcessed|true|2.0|
2549|2546|System.PostProcessorFinal|true|1.0|
2636|2630|System.PostProcessorProcessed|true|1.0|
2643|2637|System.PostProcessorProcessed|true|1.0|
2650|2644|System.PostProcessorProcessed|true|1.0|
2671|2665|System.PostProcessorProcessed|true|1.0|
2690|2684|System.PostProcessorProcessed|true|1.0|
2806|2800|System.PostProcessorProcessed|true|1.0|
2880|2874|System.PostProcessorProcessed|true|1.0|
2887|2885|System.PostProcessorProcessed|true|2.0|
2888|2885|System.PostProcessorFinal|true|1.0|
