grp_mbr_id|ver_nbr|obj_id|grp_id|mbr_id|mbr_typ_cd|actv_frm_dt|actv_to_dt|last_updt_dt|
1100|1.0|5B97C50B04B56110E0404F8189D85213|2001|testuser1|P|||20081208124957|
1101|1.0|5B97C50B04B66110E0404F8189D85213|2001|testuser2|P|||20081208124957|
1102|1.0|5B97C50B04B76110E0404F8189D85213|2002|testuser2|P|||20081208124957|
1103|1.0|5B97C50B04B86110E0404F8189D85213|2002|testuser3|P|||20081208124957|
1104|1.0|5B97C50B04B96110E0404F8189D85213|2003|testuser1|P|||20081208124957|
1105|1.0|5B97C50B04BA6110E0404F8189D85213|2003|testuser2|P|||20081208124957|
1106|1.0|5B97C50B04BB6110E0404F8189D85213|2003|testuser6|P|||20081208124957|
1107|1.0|5B97C50B04BC6110E0404F8189D85213|2003|testuser4|P|||20081208124957|
1108|1.0|5B97C50B04BD6110E0404F8189D85213|2003|testuser5|P|||20081208124957|
1109|1.0|5B97C50B04BE6110E0404F8189D85213|2003|quickstart|P|||20081208124957|
1110|1.0|5B97C50B04BF6110E0404F8189D85213|2004|quickstart|P|||20081208124957|
1111|1.0|5B97C50B04C06110E0404F8189D85213|2004|user1|P|||20081208124957|
1112|1.0|5B97C50B04C16110E0404F8189D85213|2004|user2|P|||20081208124957|
1113|1.0|5B97C50B04C26110E0404F8189D85213|2005|user3|P|||20081208124957|
1114|1.0|5B97C50B04C36110E0404F8189D85213|2006|user2|P|||20081208124957|
1115|1.0|5B97C50B04C46110E0404F8189D85213|2007|idm1|P|||20081208124957|
1116|1.0|5B97C50B04C56110E0404F8189D85213|2007|idm2|P|||20081208124957|
1117|1.0|5B97C50B04C66110E0404F8189D85213|2007|idm3|P|||20081208124957|
1118|1.0|5B97C50B04C76110E0404F8189D85213|2008|admin1|P|||20081208124957|
1119|1.0|5B97C50B04C86110E0404F8189D85213|2008|admin2|P|||20081208124957|
1120|1.0|5B97C50B04C96110E0404F8189D85213|2009|dev1|P|||20081208124957|
1121|1.0|5B97C50B04CA6110E0404F8189D85213|2009|dev2|P|||20081208124957|
1122|1.0|5B97C50B04CB6110E0404F8189D85213|2000|notsysadm|P|||20081208124957|
1123|1.0|5B97C50B04CC6110E0404F8189D85213|1|admin|P|||20081208124957|
1124|1.0|5B97C50B04CD6110E0404F8189D85213|1|notsys|P|||20081208124957|
1130|1.0|5B97C50B04D36110E0404F8189D85213|2200|user1|P|||20081208124957|
1131|1.0|5B97C50B04D46110E0404F8189D85213|2200|user3|P|||20081208124957|
1132|1.0|5B97C50B04D56110E0404F8189D85213|2201|user2|P|||20081208124957|
1133|1.0|5B97C50B04D66110E0404F8189D85213|2201|user4|P|||20081208124957|
1134|1.0|5B97C50B04D76110E0404F8189D85213|2202|user1|P|||20081208124957|
1135|1.0|5B97C50B04D86110E0404F8189D85213|2202|user2|P|||20081208124957|
1136|1.0|5B97C50B04D96110E0404F8189D85213|2203|user3|P|||20081208124957|
1137|1.0|5B97C50B04DA6110E0404F8189D85213|2203|user4|P|||20081208124957|
1200|1.0|B64D2DB6-0985-764A-5E91-54BB144910B6|9997|fred|P|||20090515122155|
1201|1.0|EC0A39A7-5DC2-90FE-F404-C8978F55C4E4|9997|fran|P|||20090515122155|
1202|1.0|4AC6FA43-9979-0FBB-EA90-23BAC017EC78|9997|frank|P|||20090515122155|
1203|1.0|A03D25AA-447F-0C4F-3A59-34E4B5C8B373|9998|user4|P|||20090515122156|
1204|1.0|14374618-61BF-2F53-F50E-06C86B53CF62|9998|director|P|||20090515122156|
1205|1.0|66236DC2-1780-E315-3217-CB963BA68533|9999|user2|P|||20090515122156|
1206|1.0|1E2DC1FE-38AD-6EB3-39F4-9A525780F33E|9999|user3|P|||20090515122156|
1207|1.0|6798B3E6C3C49827AE62E5F7A275A1A3|2000|admin|P|||20090811085907|
