fin_obj_typ_cd|obj_id|ver_nbr|fin_obj_typ_nm|fin_objtyp_dbcr_cd|fin_obj_typ_icr_cd|fund_balance_cd|fin_report_sort_cd|acctg_ctgry_cd|row_actv_ind|
AS|014F3DAF6EDBA448E043814FD28EA448|1.0|ASSET|D|N|N|C1|AS|Y|
CH|014F3DAF6EDCA448E043814FD28EA448|1.0|CASH NOT INCOME|C|N|N|A3|IN|Y|
EE|014F3DAF6EDDA448E043814FD28EA448|1.0|EXPENDITURE NOT EXPENSE|D|Y|N|B2|EX|Y|
ES|014F3DAF6EDEA448E043814FD28EA448|1.0|EXPENSE NOT EXPENDITURE|D|N|N|B3|EX|Y|
EX|014F3DAF6EDFA448E043814FD28EA448|1.0|EXPENSE EXPENDITURE|D|Y|N|B1|EX|Y|
FB|014F3DAF6EE0A448E043814FD28EA448|1.0|FUND BALANCE|C|N|Y|F1|FB|Y|
IC|014F3DAF6EE1A448E043814FD28EA448|1.0|INCOME NOT CASH|C|N|N|A2|IN|Y|
IN|014F3DAF6EE2A448E043814FD28EA448|1.0|INCOME-CASH|C|N|N|A1|IN|Y|
LI|014F3DAF6EE3A448E043814FD28EA448|1.0|LIABILITY|C|N|N|D1|LI|Y|
TE|014F3DAF6EE4A448E043814FD28EA448|1.0|TRANSFER OF FUNDS - EXPENSE|D|N|N|B4|EX|Y|
TI|014F3DAF6EE5A448E043814FD28EA448|1.0|TRANSFER OF FUNDS - INCOME|C|N|N|A4|IN|Y|
