reqs_stat_cd|obj_id|ver_nbr|reqs_stat_desc|
ACHA|EB12B8C1-F28A-DAB9-468A-AE50F75F985F|3.0|Awaiting Base Org Review|
ACMR|E0488EB1-E3A6-15B8-B07C-F8A7755B31D8|2.0|Awaiting Contract Manager Assignment|
ACNT|A9AF21E4-663D-A7BB-EA8F-59652C110BDA|2.0|Awaiting Content Approval|
AFIS|36C6B9C0-7E69-19E8-6762-B3C5285C96F4|2.0|Awaiting Fiscal Officer|
AHAL|62AF782FE655C822E0404F8189D8721E|1.0|Awaiting Accounting Lines|
ASOD|24E32AED-1A25-AC3D-7499-AA555596FA3A|2.0|Awaiting Separation of Duties|
ASUB|4815B09B-57C8-7924-9224-6156D21BEAC5|2.0|Awaiting Sub Account|
CANC|7D7E827E-26FC-3C34-E3BC-F47474DC932B|2.0|Cancelled|
CLOS|824AF337-F30E-D6FB-827A-A1504C920E17|2.0|Closed|
DCHA|5832B161-9CE7-17EB-5F15-2300B4FB5D11|2.0|Disapproved - Base Org Review|
DCNT|425DB016-9E8D-210B-6D52-747ED106FDD5|3.0|Disapproved - Content|
DCOM|4A726628A0E23555E0404F8189D8234B|1.0|Disapproved - Commodity Code|
DFIS|01F920D6-B474-2C0A-D5E8-918518854D00|3.0|Disapproved - Fiscal|
DHAL|62AF782FE656C822E0404F8189D8721E|1.0|Disapproved - Accounting Lines|
DSOD|0D1E5578-E091-D137-3D17-F47C0FB9C1C8|2.0|Disapproved - Separation of Duties|
DSUB|B17508B4-0F66-BCD4-9323-57482CBD71ED|2.0|Disapproved - Sub Account|
INPR|C7A53E47-A2EE-9A1C-1730-219AD75754C7|2.0|In Process|
WCOM|4A726628A0E13555E0404F8189D8234B|1.0|Awaiting Commodity Code|
