univ_fiscal_yr|fin_coa_cd|pos_benefit_typ_cd|obj_id|ver_nbr|pos_frng_bene_pct|pos_frngben_obj_cd|actv_ind|lbr_ben_rt_cat_cd|offset_fin_object_cd|offset_account_nbr|
2009.0|BA|B|AE4FFB69-8127-DFD5-D078-708B6EDDC6AD|1.0|8.82|5773|Y|--|||
2009.0|BA|E|510615DD-542F-85B5-28F8-ABCE0AB2F1EC|1.0|12.19|5772|Y|--|||
2009.0|BA|F|08A4D511-E633-BAC6-FCE5-4C42326A3142|1.0|7.0|5760|Y|--|||
2009.0|BA|G|955EB349-E377-8BE2-FFB0-DC7EB6B8FE76|1.0|13.08|5625|Y|--|||
2009.0|BA|N|19155045-1D63-B321-01BA-FD8DC38307F1|1.0|0.0|5760|Y|--|||
2009.0|BA|R|7D404807-BA1B-FA6B-8FE3-7CFF821E29C7|1.0|18.66|5772|Y|--|||
2009.0|BL|B|BEBED311-E7BF-3805-E532-1C466C5D1CB0|1.0|8.82|5773|Y|--|||
2009.0|BL|E|A9D2E12B-185B-4CF4-CA50-749B3BC001BE|1.0|12.19|5772|Y|--|||
2009.0|BL|F|9C5595B0-673F-06B6-F4DD-A1525440A6F5|1.0|7.0|5760|Y|--|||
2009.0|BL|G|BAE77333-68EB-CC78-FF5B-9DC97DDA3991|1.0|13.08|5625|Y|--|||
2009.0|BL|N|0C16C501-D6BD-6269-523E-8FDD8562C6BF|1.0|0.0|5760|Y|--|||
2009.0|BL|R|F5F97264-E256-0AFE-B8AF-1011A6ED16C7|1.0|18.66|5772|Y|--|||
2009.0|EA|B|E36325BA-125B-098F-218E-084468477247|1.0|8.82|5773|Y|--|||
2009.0|EA|E|D034DD7A-A647-C90E-CD6D-A62BADD01DA4|1.0|12.19|5772|Y|--|||
2009.0|EA|F|03D6E030-1252-AD7D-220C-F957564FCDEC|1.0|7.0|5760|Y|--|||
2009.0|EA|G|B409DEB0-2FF3-7020-23AB-923BBB9D179D|1.0|13.08|5625|Y|--|||
2009.0|EA|N|3BDA3D4C-BEB0-3DF8-56D1-691B335B9CE1|1.0|0.0|5760|Y|--|||
2009.0|EA|R|4CACAAFC-1B24-226C-5FE7-3056288989E8|1.0|18.66|5772|Y|--|||
2009.0|FW|B|0642DE5F-6548-DD96-9FD8-935F15202594|1.0|8.82|5773|Y|--|||
2009.0|FW|E|ADF7D039-E7F7-C4FA-4285-7F2B73179A51|1.0|12.19|5772|Y|--|||
2009.0|FW|F|FC003FCC-D8CA-D19A-207E-11CAB2F72D5B|1.0|7.0|5760|Y|--|||
2009.0|FW|G|8F9F3EC6-5098-88BC-6244-E8ED3D88EB30|1.0|13.08|5625|Y|--|||
2009.0|FW|N|9C5ADECC-644C-AAD9-0197-993743F4B81C|1.0|0.0|5760|Y|--|||
2009.0|FW|R|9F94D90E-1996-7C5B-CF54-A4D2DA0CF58F|1.0|18.66|5772|Y|--|||
2009.0|HO|B|0040998E-3B9A-9DA8-0075-C3265A631F69|1.0|8.82|5773|Y|--|||
2009.0|HO|E|410EFE31-D31D-1B5D-E2D3-E12D9B03D0FC|1.0|12.19|5772|Y|--|||
2009.0|HO|F|26D43AB3-72A4-BBAB-1F55-5169748551B0|1.0|7.0|5760|Y|--|||
2009.0|HO|G|AF44F046-DE17-63C1-3590-FC1A9245934B|1.0|13.08|5625|Y|--|||
2009.0|HO|N|DCCE6BFB-6534-94CC-76E0-0ED0E6523A80|1.0|0.0|5760|Y|--|||
2009.0|HO|R|BC23D2DE-F480-AC29-727A-4441AA89FB6C|1.0|18.66|5772|Y|--|||
2009.0|IA|B|BB41BDD3-4ED5-920D-2B89-05CF54CD4C00|1.0|8.82|5773|Y|--|||
2009.0|IA|E|FB20D211-94AF-5537-2772-9F9E971757C4|1.0|12.19|5772|Y|--|||
2009.0|IA|F|3FF5C5B3-5470-D3C7-8D3D-11177D4DFD8A|1.0|7.0|5760|Y|--|||
2009.0|IA|G|23EA1A7D-168C-5601-0049-447D4486CBA5|1.0|13.08|5625|Y|--|||
2009.0|IA|N|5D60DA9B-EE49-4BED-F5D8-B23952C196CB|1.0|0.0|5760|Y|--|||
2009.0|IA|R|BFBFA33B-4797-5372-E32B-B4C1041CF067|1.0|18.66|5772|Y|--|||
2009.0|IN|B|B44A3838-00CB-6519-9F0A-28B66469DA20|1.0|8.82|5773|Y|--|||
