person_unvl_id|fdoc_nbr|univ_fiscal_yr|fin_coa_cd|account_nbr|sub_acct_nbr|ver_nbr|hier_org_lvl_cd|sel_org_lvl_cd|sel_org_fin_coa|sel_org_cd|sel_pull_flag|sel_sub_fund_grp|
1373005978|329414|2008.0|BA|6044900|-----|1.0|7.0|6.0|BL|BUDG|1.0|AUXENT|
1373005978|329415|2008.0|BA|6044906|-----|1.0|7.0|6.0|BL|BUDG|1.0|AUXENT|
1373005978|329416|2008.0|BL|0211101|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329417|2008.0|BL|0211102|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329418|2008.0|BL|0211103|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329419|2008.0|BL|0211104|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329420|2008.0|BL|0211105|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329421|2008.0|BL|0211106|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329422|2008.0|BL|0211107|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329423|2008.0|BL|0211108|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329424|2008.0|BL|0211109|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329425|2008.0|BL|0211501|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329426|2008.0|BL|0211502|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329427|2008.0|BL|0211503|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329428|2008.0|BL|0211504|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329429|2008.0|BL|0211505|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329430|2008.0|BL|0211506|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329431|2008.0|BL|0211507|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329432|2008.0|BL|0211508|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329433|2008.0|BL|0211509|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329434|2008.0|BL|0211701|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329435|2008.0|BL|0211702|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329436|2008.0|BL|0211703|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329437|2008.0|BL|0211704|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329438|2008.0|BL|0211705|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329439|2008.0|BL|0211706|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329440|2008.0|BL|0211707|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329441|2008.0|BL|0211708|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329442|2008.0|BL|0211709|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329443|2008.0|BL|0211901|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329444|2008.0|BL|0211902|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329445|2008.0|BL|0211903|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329446|2008.0|BL|0211904|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329447|2008.0|BL|0211905|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329448|2008.0|BL|0211906|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329449|2008.0|BL|0211907|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329450|2008.0|BL|0211908|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329451|2008.0|BL|0211909|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
1373005978|329452|2008.0|BL|1031400|-----|1.0|3.0|2.0|BL|ARSC|1.0|GENFND|
1373005978|329453|2008.0|BL|2231401|-----|1.0|3.0|2.0|BL|ARSC|1.0|DFRES|
