univ_fiscal_yr|fs_func_ctrl_cd|obj_id|ver_nbr|fs_func_active_ind|
2009.0|BAACTV|D6C943EB-F41F-DFDB-26F4-38B67B3DD771|2.0|Y|
2009.0|BASEAD|3699D72A-98DC-3716-75B8-D92ADBF3E805|2.0|Y|
2009.0|BCACTV|2289193B-8B46-4498-2287-ABDF95944B13|2.0|N|
2009.0|BCGENE|228421E5-C2EB-F460-3E8F-250BA9A60365|2.0|N|
2009.0|BCUPDT|C475F985-CAD6-5D2E-9D18-6FE6610523CE|2.0|N|
2009.0|BSSYNC|9CD10525-BBF9-E92C-D456-7B9921A7D2C4|2.0|N|
2009.0|CSFUPD|74434DEC-BD46-9049-C1F4-1702FA8B8E5C|2.0|N|
2009.0|PSSYNC|16A80888-2F50-DB9E-74D4-9C736D0EF76D|2.0|N|
2010.0|BAACTV|FB766EFC-0A43-6087-4FA6-35F1ECB41CC3|2.0|N|
2010.0|BASEAD|A63319D7-8843-9AA9-6CE6-BC5516F8A334|2.0|N|
2010.0|BCACTV|F6540BA7-BFA3-F675-B763-BEDE07E3F25F|2.0|Y|
2010.0|BCGENE|51CD120D-3DF4-5DB4-5391-C614B3926C9A|2.0|N|
2010.0|BCUPDT|9C178621-2953-D322-7F0A-53288419BF49|2.0|Y|
2010.0|BSSYNC|662C5021-D5C4-633E-5D02-7906DDA2BA05|2.0|Y|
2010.0|CSFUPD|1A7A03AC-1D83-81DF-85D1-F95EF1C101DA|2.0|Y|
2010.0|PSSYNC|485167F6-8DAE-AA2E-3094-7A575837B0EA|2.0|Y|
2011.0|BAACTV|BB449970-A272-A9D7-5358-5DC63C806977|2.0|N|
2011.0|BASEAD|E4A28388-5AD0-B569-0E3E-7D9EC75AA392|2.0|N|
2011.0|BCACTV|F42E6D82-7B47-B7A2-DA57-E7E24579AFBD|2.0|Y|
2011.0|BCGENE|F06AAB6E-68A7-1E54-47B4-BE6F7A498A2F|2.0|N|
2011.0|BCUPDT|1B592640-F03B-394C-2397-E66D14FD7867|2.0|Y|
2011.0|BSSYNC|52874555-A069-A3B1-1285-393E4CF4448F|2.0|Y|
2011.0|CSFUPD|AEE34FF6-658D-A034-BFCE-947BB1ADC353|2.0|Y|
2011.0|PSSYNC|073E8366-CF0F-C26B-EE23-4423E2D4CB3F|2.0|Y|
2012.0|BAACTV|BBC109AE-FCC1-5395-E966-95D15D990E34|2.0|N|
2012.0|BASEAD|C50DC142-B287-EC02-8BF2-7AB166DE199B|2.0|N|
2012.0|BCACTV|DCDFA4D8-A119-2587-E5BB-CF42121FE97C|2.0|Y|
2012.0|BCGENE|745683B5-E4FF-239D-1799-3B2065A8115F|2.0|N|
2012.0|BCUPDT|026BE251-2752-AEA8-18C8-7E75157792D6|2.0|Y|
2012.0|BSSYNC|4E299B20-D8CA-3A40-5E71-C66777E05F2B|2.0|Y|
2012.0|CSFUPD|4ED8D644-CEB8-F872-83EE-DB6D5D9AB4B7|2.0|Y|
2012.0|PSSYNC|8AAD0CC1-7B53-BBD9-1354-B989EE2452C2|2.0|Y|
2013.0|BAACTV|38963eff-49c9-4bbf-8f60-3506324c6fb5|2.0|N|
2013.0|BASEAD|9c0f1c91-30f9-4782-a962-d6593a17d764|2.0|N|
2013.0|BCACTV|8bf9bd48-ba55-441d-a407-06a39f21632c|2.0|Y|
2013.0|BCGENE|b070ef50-412b-4535-aa3c-381b176f4d00|2.0|N|
2013.0|BCUPDT|fc1008b1-81d5-44b5-ac52-a5dd2d271c88|2.0|Y|
2013.0|BSSYNC|675ba1c4-d547-4002-a2f8-163a54f9e087|2.0|Y|
2013.0|CSFUPD|70f2f993-9fe0-4f51-abea-2b2b2ef34dc8|2.0|Y|
2013.0|PSSYNC|5904eeaf-182f-47c9-8be2-5a184430bb41|2.0|Y|
2014.0|BAACTV|ad27c1d2-63a2-4a23-8665-830ef8d59708|2.0|N|
2014.0|BASEAD|f05dca8f-a199-4e97-9f02-636df6dc8cf1|2.0|N|
2014.0|BCACTV|03d1b928-0d1b-414c-b1f7-9eacaaaf8056|2.0|Y|
2014.0|BCGENE|2d12924f-17cf-4e33-a77f-7094d62568e2|2.0|N|
2014.0|BCUPDT|3121f085-6a04-4dc3-bc03-7ba415dfd4e7|2.0|Y|
2014.0|BSSYNC|adc7424c-6197-43df-a7f0-90b06332b2fa|2.0|Y|
2014.0|CSFUPD|0d3ae003-ec90-4db5-b1fb-45e046d04b29|2.0|Y|
2014.0|PSSYNC|ced9b945-063c-42ab-b957-86aac4316149|2.0|Y|
2015.0|BAACTV|27d643db-bda4-4a52-9ae3-5041be078bd3|2.0|N|
2015.0|BASEAD|dd21edbd-7d4d-4185-ac46-083e3b3fcb90|2.0|N|
2015.0|BCACTV|44a51a66-3af0-4e06-af8f-1c0818513015|2.0|Y|
2015.0|BCGENE|f8023a1e-e9c4-43f4-9c74-d3e2b307410e|2.0|N|
2015.0|BCUPDT|dc8b0b20-0f1f-4bcc-a465-4ea479a700a7|2.0|Y|
2015.0|BSSYNC|5ae8147c-6065-44cf-8978-bf7e34ce6e8e|2.0|Y|
2015.0|CSFUPD|f448a885-128b-497b-96f9-2ae966b08868|2.0|Y|
2015.0|PSSYNC|fe730e0f-53aa-445f-97fb-89bf91b7aa53|2.0|Y|
