univ_fiscal_yr|fin_coa_cd|account_nbr|sub_acct_nbr|fin_object_cd|fin_sub_obj_cd|fin_balance_typ_cd|fin_obj_typ_cd|position_nbr|emplid|obj_id|ver_nbr|acln_annl_bal_amt|fin_beg_bal_ln_amt|contr_gr_bb_ac_amt|mo1_acct_ln_amt|mo2_acct_ln_amt|mo3_acct_ln_amt|mo4_acct_ln_amt|mo5_acct_ln_amt|mo6_acct_ln_amt|mo7_acct_ln_amt|mo8_acct_ln_amt|mo9_acct_ln_amt|mo10_acct_ln_amt|mo11_acct_ln_amt|mo12_acct_ln_amt|mo13_acct_ln_amt|timestamp|
2009.0|BA|6044900|-----|2400|---|A2|EX|00014789|0000026435|531CC9D0E2026831E0404F8189D83280|1.0|0.0|0.0|0.0|-1155.05|-1155.05|0.0|2310.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|A2|EX|00019196|0000026435|531CC9D0E2036831E0404F8189D83280|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|204.17|-204.17|0.0|0.0|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|AC|EX|00009529|0000000082|531CC9D0E2046831E0404F8189D83280|1.0|34935.0|0.0|0.0|3493.5|3493.5|3493.5|3493.5|3493.5|3493.5|3493.5|3493.5|3493.5|3493.5|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|AC|EX|00014789|0000026435|531CC9D0E2056831E0404F8189D83280|1.0|23304.89|0.0|0.0|4484.32|4484.32|3329.27|1019.17|3329.27|3329.27|3329.27|0.0|0.0|0.0|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|AC|EX|00015213|0000027167|531CC9D0E2066831E0404F8189D83280|1.0|27168.9|0.0|0.0|2716.89|2716.89|2716.89|2716.89|2716.89|2716.89|2716.89|2716.89|2716.89|2716.89|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|AC|EX|00017659|0000072684|531CC9D0E2076831E0404F8189D83280|1.0|16200.8|0.0|0.0|1620.08|1620.08|1620.08|1620.08|1620.08|1620.08|1620.08|1620.08|1620.08|1620.08|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|AC|EX|00019196|0000026435|531CC9D0E20A6831E0404F8189D83280|1.0|10804.46|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3737.6|3533.43|3533.43|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|AC|EX|00019196|0000092426|531CC9D0E2086831E0404F8189D83280|1.0|35743.05|0.0|0.0|5106.15|5106.15|5106.15|5106.15|5106.15|5106.15|5106.15|0.0|0.0|0.0|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|AC|EX|00022120|0000223771|531CC9D0E2096831E0404F8189D83280|1.0|30711.0|0.0|0.0|3071.1|3071.1|3071.1|3071.1|3071.1|3071.1|3071.1|3071.1|3071.1|3071.1|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|AC|EX|00030851|0000092426|531CC9D0E20B6831E0404F8189D83280|1.0|15318.45|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5106.15|5106.15|5106.15|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|IE|EX|00009529|0000000082|531CC9D0E20C6831E0404F8189D83280|1.0|6987.0|0.0|0.0|38428.5|-3493.5|-3493.5|-3493.5|-3493.5|-3493.5|-3493.5|-3493.5|-3493.5|-3493.5|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|IE|EX|00014789|0000026435|531CC9D0E20D6831E0404F8189D83280|1.0|0.0|0.0|0.0|49327.41|-4484.31|-14879.76|-3329.26|-3329.26|-3329.26|-3329.26|-16646.3|0.0|0.0|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|IE|EX|00015213|0000027167|531CC9D0E20E6831E0404F8189D83280|1.0|5433.78|0.0|0.0|29885.79|-2716.89|-2716.89|-2716.89|-2716.89|-2716.89|-2716.89|-2716.89|-2716.89|-2716.89|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|IE|EX|00017659|0000072684|531CC9D0E20F6831E0404F8189D83280|1.0|3240.16|0.0|0.0|17820.88|-1620.08|-1620.08|-1620.08|-1620.08|-1620.08|-1620.08|-1620.08|-1620.08|-1620.08|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|IE|EX|00019196|0000026435|531CC9D0E2126831E0404F8189D83280|1.0|7066.86|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|14133.72|-3533.43|-3533.43|0.0|0.0|0.0|20070502165829|
2009.0|BA|6044900|-----|2400|---|IE|EX|00019196|0000092426|531CC9D0E2106831E0404F8189D83280|1.0|0.0|0.0|0.0|56167.65|-5106.15|-5106.15|-5106.15|-5106.15|-5106.15|-5106.15|-25530.75|0.0|0.0|0.0|0.0|0.0|20070502165829|
