cntrct_grnt_typ_cd|obj_id|ver_nbr|cntrct_grnt_typ_desc|actv_ind|
CCS|D4165C21-94D8-676E-F8F7-3498524D893A|1.0|Contract - Cost Share|Y|
CFP|0CA918F7-63CE-D7F0-5957-AAF24158D4FF|1.0|Contract - Fixed Price|Y|
CMS|D4165C20-029D-EF27-B6A7-A5E7BDFC39B4|1.0|Contract - Milestone|Y|
CPB|D4165C1F-E97E-150D-9523-FA74B02E4CFE|1.0|Contract - Predetermined Billing Schedule|Y|
CPP|D4165C1E-B158-2193-D609-D73B0E2A5450|1.0|Contract - Prepaid|Y|
CRI|025872E3-A6D1-C20E-C809-414E2CC4FAE7|1.0|Contract Reimbursement|Y|
CSC|D4165C1D-9366-60BE-79E4-0CF7ECD7526D|1.0|Contract - Subcontract|Y|
GCS|D4165C1C-EDEE-7C3B-856D-85001C5E5BA9|1.0|Grant - Cost Share|Y|
GFP|9B1D5A52-B759-F9B6-C9F2-E4CDB2416FBF|1.0|Grant - Fixed Price|Y|
GMS|D4165C1B-FC96-6420-3E4D-B3D9164E79B8|1.0|Grant - Milestone|Y|
GPB|D4165C19-B0E5-FCBE-C7F3-CCD476113744|1.0|Grant - Predetermined Billing Schedule|Y|
GPP|7d25f110-a34e-11e0-8264-0800200c9a66|1.0|Grant - Prepaid|Y|
GRI|A6F90F88-E380-CDE7-A8AC-F01B58FA5543|1.0|Grant - Reimbursable|Y|
GSC|04A2226C-E1A8-A8DE-B7BC-B40F5AF53141|1.0|Grant - Sub Contract|Y|
