fin_coa_cd|account_nbr|obj_id|ver_nbr|account_nm|acct_fsc_ofc_uid|acct_spvsr_unvl_id|acct_mgr_unvl_id|org_cd|acct_typ_cd|acct_phys_cmp_cd|sub_fund_grp_cd|acct_frng_bnft_cd|fin_hgh_ed_func_cd|acct_rstrc_stat_cd|acct_rstrc_stat_dt|acct_city_nm|acct_state_cd|acct_street_addr|acct_zip_cd|rpts_to_fin_coa_cd|rpts_to_acct_nbr|acct_create_dt|acct_effect_dt|acct_expiration_dt|cont_fin_coa_cd|cont_account_nbr|endow_fin_coa_cd|endow_account_nbr|contr_ctrl_fcoa_cd|contr_ctrlacct_nbr|income_fin_coa_cd|income_account_nbr|acct_icr_typ_cd|ac_cstm_icrexcl_cd|fin_series_id|icr_fin_coa_cd|icr_account_nbr|acct_in_fp_cd|bdgt_rec_lvl_cd|acct_sf_cd|acct_pnd_sf_cd|fin_ext_enc_sf_cd|fin_int_enc_sf_cd|fin_pre_enc_sf_cd|fin_obj_prsctrl_cd|cg_cfda_nbr|acct_off_cmp_ind|acct_closed_ind|cg_acct_resp_id|lbr_ben_rt_cat_cd|
BA|1044900|2DC81629F7F6C1C6E043814FD881C1C6|2.0|PARKING OPERATION|3771403079|4219606069|3771403079|PARK|RA|BL|GENFND|Y|AUX|U||BLOOMINGTON|IN|Franklin Hall 006|47405|||20070410000000|20070410000000||BL|5431400|||||BA|6044900||||||N|O|N|N|N|N|N|N||N|N||--|
BA|1111111|448F5460A31AE134E043814FD881E134|2.0|IUF ACCT 1|4318506633|6276904397|1781003865|ADAF|RC|BL|DOFDS|N|AA|U||BLOOMINGTON|IN|SR45/46 BYPASS|46202-5286|BA|6044900|20060228155639|20060228000000||BL|5431400|||||||||||||O|N|N|N|N|N|N||Y|N||--|
BA|6040000|448F5460A31BE134E043814FD881E134|2.0|INDIANA UNION|3383108331|6276904397|3383108331|IMU|RA|BL|AUXENT|Y|AUX|U||BLOOMINGTON|IN|IMU|47405|BL||19760701000000|19760701000000||BL|5431400|||||BA|6040000|||||||O|N|N|N|N|N|N||N|N||--|
BA|6044900|014C92B069D1A16EE043814FD881A16E|2.0|PARKING OPERATION|3771403079|4219606069|3771403079|PARK|RA|BL|AUXENT|Y|AUX|U||BLOOMINGTON|IN|Franklin Hall 006|47405|BL||19760701000000|19760701000000||BL|5431400|||||BA|6044900||||||N|O|N|N|N|N|N|N||N|N||--|
BA|6044901|014C92B069D2A16EE043814FD881A16E|2.0|PARKING OPERATION SUB|3771403079|4219606069|3771403079|PARK|RA|BL|AUXENT|Y|AUX|U||BLOOMINGTON|IN|FRANKLIN HALL 006|47405|BA|6044900|19760701000000|19760701000000|19990301000000|BA|6044900|||||BA|6044901||||||N|O|N|N|N|N|N|N||N|Y||--|
BA|6044906|014C92B069D3A16EE043814FD881A16E|2.0|PARKING OPERATION ENFORCE|3771403079|4219606069|3771403079|PARK|RA|BL|AUXENT|Y|AUX|U||BLOOMINGTON|IN|Franklin Hall 006|47405|BL||19780915000000|19780915000000||BL|5431400|||||BA|6044906||||||N|O|N|N|N|N|N|N||N|N||--|
BA|6044909|014C92B069D4A16EE043814FD881A16E|2.0|PARKING-CAR POOL PROGRAM|3771403079|4219606069|3771403079|PARK|RA|BL|AUXENT|Y|AUX|U||BLOOMINGTON|IN|FRANKLIN HALL 006|47405|BL||19931217000000|19931117000000|20040607000000|BA|6044900|||||BA|6044909||||||N|O|N|N|N|N|N|N||N|Y||--|
BA|6044913|014C92B069D5A16EE043814FD881A16E|2.0|PARKING-4TH AND DUNN|3771403079|4219606069|3771403079|PARK|RA|BL|AUXENT|Y|AUX|U||BLOOMINGTON|IN|FRANKLIN HALL 006|47405|BL||19910723000000|19910723000000||BL|5431400|||||BA|6044913||||||N|O|N|N|N|N|N|N||N|N||--|
BA|6628000|48A7ED7FE477FC83E0404F8189D860FE|2.0|MOTOR POOL|4318506633|6276904397|1781003865|MPAD|RA|BL|AUXSER|Y|IS|U||BLOOMINGTON|IN|801 N. RANGE RD.|47408|BL||19760701000000|20011116000000||BL|5431400|||||BA|6628000|||||||O|N|N|N|N|N|N||N|N||--|
BA|6628030|48A7ED7FE47AFC83E0404F8189D860FE|2.0|MOTOR POOL DAILY RENTAL|1860703812||4146202628|MPDR|RA|BL|AUXSER|Y|IS|U||BLOOMINGTON|IN|801 N. RANGE ROAD|47405|||20011115163623|20011115000000||BL|5431400|||||BA|6628030|||||||O|N|N|N|N|N|N||N|N||--|
BA|9012025|014C92B06C07A16EE043814FD881A16E|2.0|BAND PRACTICE PARKING LOT IMPROVE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20030516000000|20030516000000||BL|5431400|||||BA|9012025||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9019993|014C92B06C41A16EE043814FD881A16E|2.0|EIGENMAN HALL PARKING GARAGE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|N||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20050128000000|20050128000000||BL|5431400|||||BA|9019993||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9019995|014C92B06C22A16EE043814FD881A16E|2.0|ASSEMBLY HALL SOUTH PARKING LOT|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20040212000000|20040212000000||BL|5431400|||||BA|9019995||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9019996|014C92B06C08A16EE043814FD881A16E|2.0|ALUMNI PARKING AREA IMPROVEMENTS|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20030612000000|20030612000000||BL|5431400|||||BA|9019996||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9020174|014C92B06BF6A16EE043814FD881A16E|2.0|CAMPUS PARKING LOTS RESTORATION|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20021216000000|20021216000000||BL|5431400|||||BA|9020174||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9020175|014C92B06BF7A16EE043814FD881A16E|2.0|CAMPUS PARKING LOTS RESURFACE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20021216000000|20021216000000||BL|5431400|||||BA|9020175||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9020204|014C92B06C2AA16EE043814FD881A16E|2.0|CAMPUS PARK LOT IMPROVEMENT 2004|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20040414000000|20040414000000||BL|5431400|||||BA|9020204||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9020224|014C92B06BBDA16EE043814FD881A16E|2.0|EIGENMANN PARKING LOT IMPROVEMENTS|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20001127000000|20001127000000||BL|5431400|||||BA|9020224||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9020391|014C92B06BEAA16EE043814FD881A16E|2.0|XXXXX PARKING GARAGE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20020422000000|20020422000000||BL|5431400|||||BA|9020391||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9020650|014C92B06BE3A16EE043814FD881A16E|2.0|PURPLE LOT PAVE/REINFORCE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20020415000000|20020415000000||BL|5431400|||||BA|9020650||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9020805|014C92B06BE2A16EE043814FD881A16E|2.0|COAT/RESTRIPE THREE PARKING LOTS|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20020415000000|20020415000000||BL|5431400|||||BA|9020805||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9020857|014C92B06BE4A16EE043814FD881A16E|2.0|THEATRE ANNEX PARKING LOT IMPROVE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20020415000000|20020415000000||BL|5431400|||||BA|9020857||||||N|N|N|N|N|N|N|N||N|N||--|
BA|9020860|014C92B06BF1A16EE043814FD881A16E|2.0|TENTH ST AND LAW LANE PARK GARAGE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20020812000000|20020812000000||BL|5431400|||||BA|9020860||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9021004|014C92B06C32A16EE043814FD881A16E|2.0|VARIOUS PARK LOTS STRIPE/CURB REP|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20040806000000|20040806000000||BL|5431400|||||BA|9021004||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9021104|014C92B06BBEA16EE043814FD881A16E|2.0|REC SPORTS & BELL TOWER PARK LOT|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20001127000000|20001127000000||BL|5431400|||||BA|9021104||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9120656|014C92B069D6A16EE043814FD881A16E|2.0|IU FACILITY REVENUE BONDS 94|3918606779|5557907664|2367402565|PARK|NA|BL|PFRI|N|NA|U||BLOOMINGTON|IN|POPLARS 236|47405|UA|6612160|19960426000000|19960426000000||BL|5431400|||||BA|9120656||||||N|N|N|N|N|N|N|N||N|N||--|
BA|9120657|014C92B06BBFA16EE043814FD881A16E|2.0|IU FACILITY REVENUE BONDS 2000|3918606779|5557907664|2367402565|PARK|NA|BL|PFRI|N|NA|U||BLOOMINGTON|IN|POPLARS 236|47405|UA|6612160|20001213000000|20001213000000||BL|5431400|||||BA|9120656||||||N|O|N|N|N|N|N|N||N|N||--|
BA|9244901|014C92B069D7A16EE043814FD881A16E|2.0|PARKING DEBT SERVICE COVERAGE RESERVE|3771403079|4219606069|3771403079|PARK|NA|BL|PFRR|N|NA|U||BLOOMINGTON|IN|FRANKLIN HALL 006|47405|UA|6612160|19870827000000|19870827000000||BL|5431400|||||BA|9244901||||||N|N|N|N|N|N|N|N||N|N||--|
BA|9244940|014C92B06BD8A16EE043814FD881A16E|2.0|PARKING LOT MAINT AND MAJOR REPAIR|3771403079|4219606069|3771403079|PARK|NA|BL|PFRR|N|NA|U||BLOOMINGTON|IN|FRANKLIN HALL 006|47405|BA|6044900|20010810000000|20010810000000||BL|5431400||||||||||||N|N|N|N|N|N|N|N||N|N||--|
BA|9544900|014C92B069D8A16EE043814FD881A16E|2.0|NET PLANT INVESTMENT - PARKING OPERATION|5273000148|2891402154|4219606069|PARK|NA|BL|PFIP|N|NA|U||BLOOMINGTON|IN|POPLARS 537|47405|BA|6044900|19960321000000|19960322000000||BL|5431400|||||BA|9544900||||||N|N|N|N|N|N|N|N||N|N||--|
BL|0142900|35B3A59FDC71719AE043814FD881719A|2.0|NON-GENERAL FUND ACCOUNT|1730300231|4706809038|4052406505|RUAD|NA|BL|SDCI|Y|AA|U||BLOOMINGTON|IN|BRYAN 104|47405|||20020116110829|20020116000000||BL|2342989|||||UA|2310050|||||||O|N|N|N|N|N|N||N|N||--|
BL|0211101|1D5F9493A2509052E043814FD8819052|2.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N||--|
BL|0211102|1D5F9493A2519052E043814FD8819052|2.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N||--|
BL|0211103|1D5F9493A2529052E043814FD8819052|2.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N||--|
BL|0211104|1D5F9493A2539052E043814FD8819052|2.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N||--|
BL|0211105|1D5F9493A2549052E043814FD8819052|2.0|XXXXX - FAC RES - PSYCH|4318506633|3889504703|4318506633|PSY|NA|BL|DFRES|Y|IPR|U||BLOOMINGTON|IN|PSYCHOLOGY 120|47405|||19990401000000|19990401000000||BL|2331489|||||BL|1023287||||||N|O|C|Y|N|N|N|N||N|N||--|
