cust_typ_cd|obj_id|ver_nbr|cust_typ_desc|row_actv_ind|
01|4CA64CB31A5A92D6E0404F8189D86045|1.0|Federal|Y|
02|4CA64CB31A5B92D6E0404F8189D86045|1.0|State|Y|
03|4CA64CB31A5C92D6E0404F8189D86045|1.0|City|Y|
04|4CA64CB31A5D92D6E0404F8189D86045|1.0|County|Y|
05|4CA64CB31A5E92D6E0404F8189D86045|1.0|Private Business|Y|
06|4CA64CB31A5F92D6E0404F8189D86045|1.0|Non-Profit|Y|
07|4CA64CB31A6092D6E0404F8189D86045|1.0|Education|Y|
08|4CA64CB31A6192D6E0404F8189D86045|1.0|Individual|Y|
09|4CA64CB31A6292D6E0404F8189D86045|1.0|Partnership|Y|
10|4CA64CB31A6392D6E0404F8189D86045|1.0|Foreign|Y|
11|BD96AA24159D5898E040540A5EFD3A74|1.0|Traveler|Y|
