vndr_hdr_gnrtd_id|vndr_supp_dvrst_cd|obj_id|ver_nbr|dobj_maint_cd_actv_ind|
1000.0|SB|F4F94FFB-AA21-982F-D3A4-FC257708C9CF|3.0|Y|
1003.0|SB|ABA243A3-ABA5-B5F0-61EE-78890F559534|1.0|Y|
1005.0|SB|6FE0C617-FE7C-76FD-F743-A039EF6042FA|2.0|Y|
1005.0|WO|61D22050-0AD1-571B-27CE-AE95D8930A92|2.0|Y|
1006.0|DV|3AF08FFC-9E52-4827-D327-BCF43BE13026|1.0|Y|
1006.0|SB|C846B723-DCA2-A773-72D5-039110E481B9|1.0|Y|
1008.0|SB|BF46D470-2050-1E6B-EEC0-68AA228FC965|1.0|Y|
1008.0|VE|F53CDC7D-B1AB-A8F1-957F-CA2BC4E40530|1.0|Y|
1010.0|SB|0C3A2817-7EBF-4DAE-74D4-106679AE3699|2.0|Y|
1011.0|DB|97A3998A-61C0-DF57-749A-6075B946BFBF|2.0|Y|
1011.0|SB|4201F2D7-72A3-02A2-B01D-BCFB83189A99|2.0|Y|
1012.0|SB|6F43E9A7-0021-5E59-41C4-15F17419B2CA|1.0|Y|
1013.0|SB|054A11BE-FC08-5214-52F8-D387BBC207CD|1.0|Y|
1014.0|MI|810B4E73-F342-7837-6483-356920FEDB4B|2.0|Y|
1014.0|SB|0E798ED0-F547-80B2-C884-5C5BFE31014A|2.0|Y|
1015.0|SB|7D569D31-5ECB-DB29-24E9-570DB37FDF25|2.0|Y|
1016.0|8A|C68196C1-ED5B-CA78-1C8C-3F03296AA2A4|3.0|Y|
1018.0|DV|5C6A2F64-BF3B-3557-D8E0-F9E2711872BB|2.0|Y|
1018.0|WO|8416FEE8-B86D-05C8-A55F-655F77752FB2|2.0|Y|
2003.0|SB|CB8C292D-71E1-5431-6DE9-4EC7B6F2B93B|7.0|Y|
2003.0|VE|B9EA280C-6A74-8910-CE6B-F235166FC7CE|7.0|Y|
2013.0|WO|5E25A32C-3678-6DB2-DFB3-855C793C4D65|6.0|Y|
2021.0|WO|99E2E3B5-87A2-8E27-B429-9321A35A8228|1.0|Y|
2025.0|DV|2505A3DF-4EC5-06F9-96E3-0E90CE63648D|2.0|Y|
