tax_region_cd|obj_id|ver_nbr|tax_region_nm|tax_region_typ_cd|tax_region_use_tax_ind|liab_acct_fin_coa_cd|liab_acct_acct_nbr|liab_acct_fin_object_cd|actv_ind|
05PERCNTY|5ACF22CFC5FB4AB0E0404F8189D87AB9|1.0|0.5% County Tax for Mulitple AZ Counties|CNTY|Y|BL|1023295|9016|Y|
1|5ACF22CFC5F64AB0E0404F8189D87AB9|1.0|0.5% district|POST|Y|BL|1023295|9015|Y|
10|5ACF22CFC5FF4AB0E0404F8189D87AB9|1.0|1.721% City Retail|POST|Y|BL|1023295|9015|Y|
11|5ACF22CFC6004AB0E0404F8189D87AB9|1.0|2.5% City Retail|POST|Y|BL|1023295|9015|Y|
12|5ACF22CFC6014AB0E0404F8189D87AB9|1.0|.07% County Tax|CNTY|Y|BL|1023295|9016|Y|
13|5ACF22CFC6024AB0E0404F8189D87AB9|1.0|1.5% City Retail|POST|Y|BL|1023295|9015|Y|
14|5ACF22CFC6034AB0E0404F8189D87AB9|1.0|2% Phoenix City Retail|POST|Y|BL|1023295|9015|Y|
15|6B64AB2CF6069938E0404F8189D824B6|1.0|0.25% Postal District|POST|Y|BL|1023295|9015|Y|
2|5ACF22CFC5F74AB0E0404F8189D87AB9|1.0|State Tax 8.25%|ST|Y|BL|1023295|9016|Y|
3|5ACF22CFC5F84AB0E0404F8189D87AB9|1.0|1.5% District|POST|Y|BL|1023295|9015|Y|
4|5ACF22CFC5F94AB0E0404F8189D87AB9|1.0|1% District|CNTY|Y|BL|1023295|9016|Y|
5|5ACF22CFC5FA4AB0E0404F8189D87AB9|1.0|AZ State Use Tax 5.6%|ST|Y|BL|1023295|9016|Y|
7|5ACF22CFC5FC4AB0E0404F8189D87AB9|1.0|2% Tucson City Retail - 85721 +4 - UT Yes|POST|Y|BL|1023295|9015|Y|
8|5ACF22CFC5FD4AB0E0404F8189D87AB9|1.0|1.75% City Retail|POST|Y|BL|1023295|9015|Y|
9|5ACF22CFC5FE4AB0E0404F8189D87AB9|1.0|1.125% County Tax|CNTY|Y|BL|1023295|9016|Y|
