person_unvl_id|fin_coa_cd|org_cd|ver_nbr|rpts_to_fin_coa_cd|rpts_to_org_cd|pull_flag|
3949401795|BA|ACAC|1.0|BA|PRGE|0.0|
3949401795|BA|ACPR|1.0|BA|ACAC|0.0|
3949401795|BA|ACSH|1.0|BA|HOUS|0.0|
3949401795|BA|ACSS|1.0|BA|BKST|0.0|
3949401795|BA|ADAF|1.0|BL|DBFA|0.0|
3949401795|BA|ADAH|1.0|BA|APTS|0.0|
3949401795|BA|ADAO|1.0|BA|ADAF|0.0|
3949401795|BA|ADFE|1.0|BA|CAFE|0.0|
3949401795|BA|ADGE|1.0|BA|CAGE|0.0|
3949401795|BA|ADSH|1.0|BA|HOUS|0.0|
3949401795|BA|APTS|1.0|BA|HALL|0.0|
3949401795|BA|ASGE|1.0|BA|CAGE|0.0|
3949401795|BA|ASSH|1.0|BA|ACSH|0.0|
3949401795|BA|AUTM|1.0|BA|IMAU|0.0|
3949401795|BA|AWSH|1.0|BA|ACSH|0.0|
3949401795|BA|AXOP|1.0|BL|AXSV|0.0|
3949401795|BA|BBAH|1.0|BA|APTS|0.0|
3949401795|BA|BHDR|1.0|BA|CAFE|0.0|
3949401795|BA|BKAD|1.0|BA|BKST|0.0|
3949401795|BA|BKST|1.0|BA|AXOP|0.0|
3949401795|BA|BLDM|1.0|BA|PHYP|0.0|
3949401795|BA|BOOK|1.0|BA|BKST|0.0|
3949401795|BA|BRAD|1.0|BL|RPAD|0.0|
3949401795|BA|BRSH|1.0|BA|HOUS|0.0|
3949401795|BA|BUDG|1.0|BL|BL|0.0|
3949401795|BA|BUSS|1.0|BA|TRAN|0.0|
3949401795|BA|BWAC|1.0|BA|ACAC|0.0|
3949401795|BA|CAFE|1.0|BA|HALL|0.0|
3949401795|BA|CAGE|1.0|BA|CENT|0.0|
3949401795|BA|CAMD|1.0|BA|PHYP|0.0|
3949401795|BA|CARD|1.0|BA|ACSS|0.0|
3949401795|BA|CENT|1.0|BA|RPAS|0.0|
3949401795|BA|CLER|1.0|BL|BL|0.0|
3949401795|BA|CLSH|1.0|BA|HOUS|0.0|
3949401795|BA|CNFD|1.0|BA|RPAS|0.0|
3949401795|BA|CNFS|1.0|BA|CAGE|0.0|
3949401795|BA|CODR|1.0|BA|CAFE|0.0|
3949401795|BA|CODS|1.0|BA|BKST|0.0|
3949401795|BA|COIN|1.0|BA|AXOP|0.0|
3949401795|BA|COMM|1.0|BL|BCTS|0.0|
3949401795|BA|CONF|1.0|BA|AXOP|0.0|
3949401795|BA|COPY|1.0|BA|CODS|0.0|
