cptl_ast_trn_typ_cd|obj_id|ver_nbr|cptl_ast_trn_typ_desc|cptl_ast_non_qty_drvn_allw_ind|dobj_maint_cd_actv_ind|cptlast_qty_subtyp_req_txt|cptlast_nonqty_subtyp_req_txt|
CASA|AF8BBD46-3B4A-20ED-4296-7C7A66198981|1.0|COST OF ASSEMBLING THE ASSET|Y|Y|AM;CM;CF;CO;UC;UF;UO|AM;CM;CF;CO;UC;UF;UO|
FABR|4D7C6085-0715-E83F-F832-157D8FD16F1D|1.0|FABRICATION|N|Y|UC;UF;UO||
INST|B864C072-71D8-925B-72FE-4EFDC4D33CCF|2.0|COST OF INSTALLATION|Y|Y|AM;CM;CF;CO;UC;UF;UO|AM;CM;CF;CO;UC;UF;UO|
LEAS|909FF5FB-5BEA-DE10-83CC-56804C58E1FB|1.0|CAPITAL LEASE|Y|Y|CL|CL|
MDEX|02B62DE3-5360-1DC3-1381-7F5A0AA95D38|2.0|MODIFY EXISTING|N|Y|AM;CM;CF;CO||
NEW|83F3E4DB-E129-6CB7-BF4E-6475437B9361|1.0|NEW|N|Y|AM;CM;CF;CO||
OTHS|A4109E6C-FBAE-F635-D008-6EB7DE73D0E8|1.0|OTHER SERVICE|Y|Y|AM;CM;CF;CO;UC;UF;UO|AM;CM;CF;CO;UC;UF;UO|
PREP|01A69058-BDDC-97CD-5746-5DD1327141CE|1.0|PREPARING THE SITE AND ASSET|Y|Y|AM;CM;CF;CO;UC;UF;UO|AM;CM;CF;CO;UC;UF;UO|
TINS|290492ED-307D-5FDC-D34D-4F1F9A097A7B|1.0|IN-TRANSIT INSURANCE|Y|Y|AM;CM;CF;CO;UC;UF;UO|AM;CM;CF;CO;UC;UF;UO|
TRAI|9C934F22-8116-FE6B-8D43-4B3BE92AF7E2|1.0|TRAINING|Y|Y|AM;CM;CF;CO;UC;UF;UO|AM;CM;CF;CO;UC;UF;UO|
