kim_typ_attr_id|obj_id|ver_nbr|sort_cd|kim_typ_id|kim_attr_defn_id|actv_ind|
1|5ADF18B6D4AD7954E0404F8189D85002|1.0|a|3|13|Y|
10|5ADF18B6D4C87954E0404F8189D85002|1.0|c|8|15|Y|
101|603B735FA6BBFE21E0404F8189D8083B|1.0|a|56|13|Y|
102|603B735FA6C2FE21E0404F8189D8083B|1.0|b|56|7|Y|
103|603B735FA6BEFE21E0404F8189D8083B|1.0|a|57|5|Y|
104|603B735FA6BFFE21E0404F8189D8083B|1.0|b|57|44|Y|
107|60432A73A6A39F65E0404F8189D86AA4|1.0|a|54|13|Y|
108|606763510FBD96D3E0404F8189D857A2|1.0|a|59|13|Y|
109|606763510FBE96D3E0404F8189D857A2|1.0|b|59|8|Y|
11|5ADF18B6D4C97954E0404F8189D85002|1.0|b|8|16|Y|
111|67F145466E909160E0404F8189D86771|1.0|a|67|4|Y|
112|67F145466E959160E0404F8189D86771|1.0|b|14|13|Y|
113|B7DBFABEFD3F8CBFE0402E0AA9D757C9|1.0|a|68|47|Y|
114|B7DBFABEFD408CBFE0402E0AA9D757C9|1.0|a|69|47|Y|
115|B7DBFABEFD418CBFE0402E0AA9D757C9|1.0|b|69|10|Y|
116|B7DBFABEFD428CBFE0402E0AA9D757C9|1.0|a|70|47|Y|
117|B7DBFABEFD438CBFE0402E0AA9D757C9|1.0|b|70|50|Y|
118|B7DBFABEFD448CBFE0402E0AA9D757C9|1.0|c|70|6|Y|
119|B7DBFABEFD458CBFE0402E0AA9D757C9|1.0|a|71|47|Y|
12|5ADF18B6D4CE7954E0404F8189D85002|1.0|a|9|13|Y|
120|B7DBFABEFD468CBFE0402E0AA9D757C9|1.0|b|71|51|Y|
121|B7DBFABEFD478CBFE0402E0AA9D757C9|1.0|c|71|50|Y|
122|B7DBFABEFD488CBFE0402E0AA9D757C9|1.0|a|72|47|Y|
123|B7DBFABEFD498CBFE0402E0AA9D757C9|1.0|b|72|52|Y|
124|B7DBFABEFD4A8CBFE0402E0AA9D757C9|1.0|a|73|47|Y|
125|B7DBFABEFD4B8CBFE0402E0AA9D757C9|1.0|b|73|53|Y|
126|B7DBFABEFD4C8CBFE0402E0AA9D757C9|1.0|c|73|48|Y|
127|B7DBFABEFD4D8CBFE0402E0AA9D757C9|1.0|a|74|47|Y|
128|B7DBFABEFD4E8CBFE0402E0AA9D757C9|1.0|b|74|51|Y|
129|B7DBFABEFD4F8CBFE0402E0AA9D757C9|1.0|c|74|49|Y|
130|B7DBFABEFD508CBFE0402E0AA9D757C9|1.0|d|74|50|Y|
131|B7DBFABEFD518CBFE0402E0AA9D757C9|1.0|e|74|6|Y|
132|B7DBFABEFD528CBFE0402E0AA9D757C9|1.0|a|75|47|Y|
133|B7DBFABEFD538CBFE0402E0AA9D757C9|1.0|b|75|51|Y|
134|B7DBFABEFD548CBFE0402E0AA9D757C9|1.0|c|75|49|Y|
135|B7DBFABEFD558CBFE0402E0AA9D757C9|1.0|d|75|53|Y|
136|B7DBFABEFD568CBFE0402E0AA9D757C9|1.0|e|75|48|Y|
137|BC5444677C23328CE0402E0AA9D77D80|1.0|a|8|54|Y|
138|69FA55ACC2EE2598E0404F8189D86880|1.0|e|7|46|Y|
14|5ADF18B6D4D07954E0404F8189D85002|1.0|b|9|9|Y|
15|5ADF18B6D4D87954E0404F8189D85002|1.0|a|10|4|Y|
16|5ADF18B6D4D97954E0404F8189D85002|1.0|b|10|5|Y|
17|5ADF18B6D4DD7954E0404F8189D85002|1.0|a|11|5|Y|
18|5ADF18B6D4DE7954E0404F8189D85002|1.0|b|11|6|Y|
19|5ADF18B6D4E47954E0404F8189D85002|1.0|a|12|4|Y|
2|5ADF18B6D4B67954E0404F8189D85002|1.0|a|4|14|Y|
20|5ADF18B6D4E57954E0404F8189D85002|1.0|b|12|2|Y|
21|5ADF18B6D4E87954E0404F8189D85002|1.0|a|13|3|Y|
22|5ADF18B6D4EB7954E0404F8189D85002|1.0|a|14|10|Y|
23|5ADF18B6D4EE7954E0404F8189D85002|1.0|a|15|4|Y|
24|5ADF18B6D4EF7954E0404F8189D85002|1.0|b|15|1|Y|
25|5ADF18B6D4F37954E0404F8189D85002|1.0|a|16|4|Y|
26|5ADF18B6D4F47954E0404F8189D85002|1.0|b|16|5|Y|
27|5ADF18B6D4F57954E0404F8189D85002|1.0|c|16|11|Y|
28|5ADF18B6D4F87954E0404F8189D85002|1.0|a|17|12|Y|
29|5ADF18B6D4FA7954E0404F8189D85002|1.0|a|18|4|Y|
3|5ADF18B6D4B97954E0404F8189D85002|1.0|a|5|13|Y|
30|5ADF18B6D4FB7954E0404F8189D85002|1.0|b|18|18|Y|
31|5ADF18B6D4FE7954E0404F8189D85002|1.0|a|19|4|Y|
32|5ADF18B6D4FF7954E0404F8189D85002|1.0|b|19|19|Y|
33|5ADF18B6D5027954E0404F8189D85002|1.0|a|20|4|Y|
34|5ADF18B6D5037954E0404F8189D85002|1.0|b|20|20|Y|
35|5ADF18B6D5067954E0404F8189D85002|1.0|a|21|4|Y|
36|5ADF18B6D5077954E0404F8189D85002|1.0|b|21|21|Y|
38|38|1.0|a|23|29|Y|
39|39|1.0|b|24|34|Y|
4|5ADF18B6D4BA7954E0404F8189D85002|1.0|b|5|14|Y|
40|40|1.0|a|25|22|Y|
41|41|1.0|a|26|22|Y|
42|42|1.0|b|26|23|Y|
43|43|1.0|a|27|22|Y|
44|44|1.0|b|27|24|Y|
45|45|1.0|a|28|22|Y|
46|46|1.0|b|28|24|Y|
47|47|1.0|c|28|25|Y|
48|48|1.0|b|29|22|Y|
49|49|1.0|c|29|24|Y|
50|50|1.0|a|29|13|Y|
51|51|1.0|b|30|22|Y|
52|52|1.0|c|30|24|Y|
53|53|1.0|a|30|13|Y|
54|54|1.0|d|30|26|Y|
55|55|1.0|e|30|27|Y|
56|56|1.0|f|30|28|Y|
57|57|1.0|b|31|30|Y|
58|58|1.0|a|32|33|Y|
59|59|1.0|b|33|31|Y|
60|60|1.0|a|34|32|Y|
61|61|1.0|a|35|35|Y|
62|62|1.0|a|36|4|Y|
63|63|1.0|b|36|22|Y|
64|64|1.0|c|36|24|Y|
65|65|1.0|a|37|36|Y|
67|67|1.0|c|33|12|Y|
68|68|1.0|a|24|13|Y|
69|69|1.0|a|31|13|Y|
7|5ADF18B6D4C17954E0404F8189D85002|1.0|a|7|13|Y|
70|70|1.0|a|33|13|Y|
75|75|1.0|a|46|38|Y|
76|76|1.0|b|47|22|Y|
77|77|1.0|c|47|23|Y|
78|78|1.0|e|47|39|Y|
