org_typ_cd|obj_id|ver_nbr|org_typ_nm|row_actv_ind|
A|0395A4937CC69A30E043814FD8819A30|1.0|ACADEMIC INDUSTRY|Y|
B|0395A4937CC79A30E043814FD8819A30|1.0|BOOKSTORE INDUSTRY|Y|
C|0395A4937CC09A30E043814FD8819A30|1.0|CAMPUS|Y|
D|0395A4937CC89A30E043814FD8819A30|1.0|CHILD CARE CENTER INDUSTRY|Y|
E|0395A4937CC99A30E043814FD8819A30|1.0|EVENTS INDUSTRY|Y|
F|0395A4937CCA9A30E043814FD8819A30|1.0|FACILITY SERVICES INDUSTRY|Y|
H|0395A4937CC19A30E043814FD8819A30|1.0|HRIS ORGANIZATION|Y|
I|0395A4937CCB9A30E043814FD8819A30|1.0|IU ATHLETICS INDUSTRY|Y|
M|0395A4937CD09A30E043814FD8819A30|1.0|MISC AUXILIARY INDUSTRY|Y|
N|0395A4937CC29A30E043814FD8819A30|1.0|NOT OFFICIAL|Y|
O|0395A4937CC39A30E043814FD8819A30|1.0|OTHER ORGANIZATIONS|Y|
P|0395A4937CCC9A30E043814FD8819A30|1.0|PUBLISHING INDUSTRY|Y|
R|0395A4937CC49A30E043814FD8819A30|1.0|RESPONSIBILITY CENTER|Y|
S|0395A4937CCD9A30E043814FD8819A30|1.0|STUDENT LIVING INDUSTRY|Y|
T|0395A4937CCE9A30E043814FD8819A30|1.0|TRANSPORTATION INDUSTRY|Y|
U|0395A4937CC59A30E043814FD8819A30|1.0|UNIVERSITY|Y|
V|0395A4937CCF9A30E043814FD8819A30|1.0|VOICE-TELECOM INDUSTRY|Y|
