code|exp_typ_meta_ctgry_cd|class_svc_name|aprvl_req_ind|actv_ind|ver_nbr|obj_id|
BUSINS|A|Business-First Class|Y|Y|1.0|F7BBE4E91CF5B007E040E00ABCD60BBA|
COACH|A|Coach-Economy|N|Y|1.0|F7BBE4E91CF6B007E040E00ABCD60BBA|
ECNPLUS|A|Economy Plus|Y|Y|1.0|F7BBE4E91CF7B007E040E00ABCD60BBA|
ECONMY|R|Economy, Intermediate|N|Y|1.0|F7BBE4E91CFBB007E040E00ABCD60BBA|
GPS|R|GPS|Y|N|1.0|F7BBE4E91CFCB007E040E00ABCD60BBA|
PBUSINS|A|Business-First Class|Y|Y|1.0|F7BBE4E91CF8B007E040E00ABCD60BBA|
PCOACH|A|Coach-Economy|N|Y|1.0|F7BBE4E91CF9B007E040E00ABCD60BBA|
PECNPLUS|A|Economy Plus|Y|Y|1.0|F7BBE4E91CFAB007E040E00ABCD60BBA|
PRIVLIMO|R|Private Limo|Y|Y|1.0|F7BBE4E91CFDB007E040E00ABCD60BBA|
SHRRIDE|R|Shared Ride|N|Y|1.0|F7BBE4E91CFEB007E040E00ABCD60BBA|
UPGRDE|R|Upgrade (Mid-Size, Van, Other)|Y|Y|1.0|F7BBE4E91CFFB007E040E00ABCD60BBA|
