doc_typ_id|cat_nm|ver_nbr|obj_id|
3316|COMPLETE STATUSES|9.0|5c4528e2-633c-4c36-afeb-34c766d3a7b6|
3316|INCOMPLETE STATUSES|9.0|e73a46ad-4392-4d80-8825-1216e5f75ac6|
3317|COMPLETE STATUSES|1.0|dbda6b84-699a-4f07-a095-07d1f56fb3e1|
3317|INCOMPLETE STATUSES|1.0|fb08341b-55f0-42e2-a97b-c3d6f1b9f275|
3318|COMPLETE STATUSES|1.0|98e407ae-0ece-4c5d-b2d2-c99c4275016e|
3318|INCOMPLETE STATUSES|1.0|c6407542-bfbc-4b65-b749-a4e4e22f89cc|
3319|COMPLETE STATUSES|1.0|ee47c865-8d70-429d-b3b1-3b3865526f85|
3319|INCOMPLETE STATUSES|1.0|89356ec4-e507-4a04-9992-9e654a8b2166|
3320|COMPLETE STATUSES|1.0|ffb333da-66ce-47a7-80ab-43d3c821cc80|
3320|INCOMPLETE STATUSES|1.0|7f8711f1-998b-48b9-bf0a-cc329b22419e|
3321|COMPLETE STATUSES|1.0|d41479e0-9072-4de2-9345-685d720eabd5|
3321|INCOMPLETE STATUSES|1.0|a1a297c8-740f-420a-aafe-93db5798c402|
3322|COMPLETE STATUSES|1.0|7e0a4dbe-e015-48a6-92e1-79ec5d2a609b|
3322|INCOMPLETE STATUSES|1.0|2fc334c9-3ec4-43d7-8323-bc4834a5299a|
3323|COMPLETE STATUSES|1.0|bfbb3a1c-fe50-4b79-a639-99279dafb69d|
3323|INCOMPLETE STATUSES|1.0|aaea0577-cb99-4d65-be7a-3bb4e10f0f58|
3324|COMPLETE STATUSES|1.0|cf1d7902-a9ec-4278-b001-7bc0dc0311f8|
3324|INCOMPLETE STATUSES|1.0|107c51d3-ae6a-4577-bc34-a12202b7b34c|
