univ_fiscal_yr|fin_coa_cd|account_nbr|sub_acct_nbr|fin_object_cd|fin_sub_obj_cd|position_nbr|emplid|obj_id|ver_nbr|july1_bdgt_amt|july1_bdgt_fte_qty|july1_bdgt_tm_pct|
2009.0|BA|6044900|-----|2400|---|00009529|0000000082|3089F956488BC0A8E043814FD881C0A8|1.0|41922.0|1.0|100.0|
2009.0|BA|6044900|-----|2400|---|00014789|0000000331|3089F956489CC0A8E043814FD881C0A8|1.0|53812.0|0.66|66.0|
2009.0|BA|6044900|-----|2400|---|00015213|0000000338|3089F956488FC0A8E043814FD881C0A8|1.0|32601.0|0.5014|50.14|
2009.0|BA|6044900|-----|2400|---|00017659|0000000583|3089F9564894C0A8E043814FD881C0A8|1.0|19441.0|0.2463|24.63|
2009.0|BA|6044900|-----|2400|---|00019196|0000000688|3089F9564896C0A8E043814FD881C0A8|1.0|61273.0|0.6246|62.46|
2009.0|BA|6044900|-----|2400|---|00022120|VACANT|3089F9564897C0A8E043814FD881C0A8|1.0|36853.0|0.68|68.0|
2009.0|BA|6044900|-----|2500|---|00008115|0000000513|3089F9564863C0A8E043814FD881C0A8|1.0|19906.0|1.0|100.0|
2009.0|BA|6044900|-----|2500|---|00008993|0000001367|3089F9564860C0A8E043814FD881C0A8|1.0|26811.0|1.0|100.0|
2009.0|BA|6044900|-----|2500|---|00009186|0000000782|3089F9564857C0A8E043814FD881C0A8|1.0|24960.0|1.0|100.0|
2009.0|BA|6044900|-----|2500|---|00012417|0000000787|3089F956487EC0A8E043814FD881C0A8|1.0|34819.0|1.0|100.0|
2009.0|BA|6044900|-----|2500|---|00012431|0000001325|3089F9564873C0A8E043814FD881C0A8|1.0|35048.0|1.0|100.0|
2009.0|BA|6044900|-----|2500|---|00014644|0000001317|3089F9564859C0A8E043814FD881C0A8|1.0|22214.0|1.0|100.0|
2009.0|BA|6044900|-----|2500|---|00015209|0000000337|3089F956485AC0A8E043814FD881C0A8|1.0|20301.0|1.0|100.0|
2009.0|BA|6044900|-----|2500|---|00015281|0000001337|3089F9564870C0A8E043814FD881C0A8|1.0|24794.0|1.0|100.0|
2009.0|BA|6044900|-----|2500|---|00019261|0000001398|3089F956485CC0A8E043814FD881C0A8|1.0|7420.0|0.25|25.0|
2009.0|BA|6044900|-----|2500|---|00019760|0000001394|3089F956485EC0A8E043814FD881C0A8|1.0|7306.0|0.25|25.0|
2009.0|BA|6044900|-----|2500|---|00019967|0000001361|3089F9564865C0A8E043814FD881C0A8|1.0|24981.0|1.0|100.0|
