doc_typ_id|doc_stat_nm|ver_nbr|obj_id|cat_nm|seq_no|
3315|Awaiting Accounting Lines|1.0|cc35a753-87a2-46d8-b8dd-fd1ed0aec5d3||2.0|
3315|Awaiting Base Org Review|1.0|304a7339-8a74-4d9e-b05f-c5bf9413f4dd||8.0|
3315|Awaiting Commodity Code|1.0|8febb650-ac40-4e5e-9d88-4e89c309f069||10.0|
3315|Awaiting Content Approval|1.0|0ee4b589-0f27-43f3-bb09-c00d8622bd5b||0.0|
3315|Awaiting Contract Manager Assignment|1.0|84c3a825-7b36-46dc-b0f6-9189ee756c18||14.0|
3315|Awaiting Fiscal Officer|1.0|86600e16-74c1-4818-8622-93c594111859||6.0|
3315|Awaiting Separation of Duties|1.0|be0e8a65-84ae-4c28-a7f9-f5488f6762d7||12.0|
3315|Awaiting Sub Account|1.0|dff9c967-6f2e-432e-bede-b153c7217ff2||4.0|
3315|Cancelled|1.0|18abfede-fb71-4c9b-a390-b9d7e8c8ffdc||16.0|
3315|Closed|1.0|4f1690b4-6d0b-492c-ad07-3ff44067c6ec||15.0|
3315|Disapproved Accounting Lines|1.0|f10992a7-395f-4545-b206-17c98a40c9b8||3.0|
3315|Disapproved Base Org Review|1.0|71efa94a-265a-49e7-a090-f50978aca4f6||9.0|
3315|Disapproved Commodity Code|1.0|13cc9a9e-7b95-42ba-a999-27454f0de700||11.0|
3315|Disapproved Content|1.0|706ddad3-8c1b-4fc7-a515-8b4bc3f60e85||1.0|
3315|Disapproved Fiscal|1.0|86e2703c-4a54-4a07-b5c1-3a14ee0e1d4a||7.0|
3315|Disapproved Separation of Duties|1.0|b7c56e2c-88ae-4136-b3b1-c1cd7088db9f||13.0|
3315|Disapproved Sub Account|1.0|924f04f5-2209-4480-9f88-0c55ac7c7827||5.0|
3315|In Process|1.0|d56187df-dbd4-48bf-bfe0-d301f45285cd||17.0|
3316|Awaiting Budget Approval|9.0|eac6d580-2c2e-4446-a581-18a28b911657|INCOMPLETE STATUSES|7.0|
3316|Awaiting C and G Approval|9.0|13b9387e-b5d8-4c59-947e-36c7854dc828|INCOMPLETE STATUSES|6.0|
3316|Awaiting Commodity Code Approval|9.0|a5fd436a-3ea4-4dd8-9727-911ad210405e|INCOMPLETE STATUSES|5.0|
3316|Awaiting Fiscal Officer Review|9.0|cd56f377-566c-4554-a231-1e834e519bff|INCOMPLETE STATUSES|1.0|
3316|Awaiting New Unordered Item Review|9.0|9ee652f3-edcb-4cc1-9e7e-a77324338d16|INCOMPLETE STATUSES|2.0|
3316|Awaiting Purchasing Approval|9.0|16dadbf3-fbf8-4b18-95eb-79abe764032a|INCOMPLETE STATUSES|4.0|
3316|Awaiting Tax Approval|9.0|0f12241f-0bf5-41f5-93e2-856494ed2166|INCOMPLETE STATUSES|8.0|
3316|Cancelled|9.0|c4aed68d-a42b-4ff7-b369-15efca949f8e|COMPLETE STATUSES|18.0|
3316|Cancelled Change|9.0|6ca6fd3f-dd7a-466d-b475-dc5cd98cbd95|COMPLETE STATUSES|19.0|
3316|Change in Process|9.0|eae7e2cf-22ae-4ef9-8373-68428baf9a7f|COMPLETE STATUSES|20.0|
