fs_origin_cd|obj_id|ver_nbr|fs_server_nm|fs_database_nm|fs_database_desc|next_cptlast_nbr|next_nonca_nbr|next_cg_agency_nbr|next_cg_subcnr_nbr|nxt_dv_payeeid_nbr|nxt_fdoc_att_id|ar_next_cust_nbr|fdoc_next_item_id|row_actv_ind|
01|054EDFB3B241C8D2E043814FD881C8D2|17.0|KULDBA|KFS|KFS|385596.0|153.0|54984|850|178064.0|593252.0|18763.0|348.0|Y|
02|3978FAAFD5002076E043814FD8812076|1.0|KFSYearEnd|KFSYearEnd||||||||||Y|
99|BDCF7192-D2DA-5E18-ABDA-CB10CE64540C|1.0|iuis|gle|gle|1.0|1.0|1|1|1.0|1.0|1.0|1.0|Y|
CS|054EDFB3B242C8D2E043814FD881C8D2|1.0|IUIS|GLE|GLE|0.0|0.0| | |0.0|0.0|||Y|
CV|054EDFB3B243C8D2E043814FD881C8D2|1.0|IUIS|GLE|GLE|0.0|0.0||||1.0|||Y|
EM|915B897D3763C017E0404F8189D86D9B|1.0|KULDBA|KFS|KFS|||||||||Y|
EP|31B4CCF8C7506150E043814FD8816150|1.0|GEN1PRD|PUR|PUR|0.0|0.0|0|0|0.0|0.0|0.0|0.0|Y|
EU|054EDFB3B244C8D2E043814FD881C8D2|1.0|IUIS|GLE|GLE|0.0|0.0||||1.0|||Y|
IN|054EDFB3B24DC8D2E043814FD881C8D2|1.0|IUIS|GLE|GLE|0.0|0.0|0|0|0.0|0.0|0.0|0.0|Y|
IR|KFSCNTRB-1156-1|1.0|KULDBA|KFS|KFS|0.0|0.0|||0.0|0.0|0.0|0.0|Y|
LD|054EDFB3B245C8D2E043814FD881C8D2|1.0|IUIS|GLE|GLE||||||1.0|||Y|
LG|054EDFB3B246C8D2E043814FD881C8D2|1.0|IUIS|GLE|GLE|0.0|0.0||||1.0|||Y|
MF|054EDFB3B247C8D2E043814FD881C8D2|1.0|IUIS|GLE|GLE|0.0|0.0||||1.0|||Y|
NB|054EDFB3B248C8D2E043814FD881C8D2|1.0|IUIS|GLE|GLE||||||1.0|||Y|
NT|054EDFB3B24BC8D2E043814FD881C8D2|1.0|IUIS|GLE|GLE|0.0|0.0|0|0|0.0|0.0|0.0|0.0|Y|
PD|054EDFB3B24FC8D2E043814FD881C8D2|1.0|GEN1PRD|PDP|PDP|0.0|0.0|0|0|0.0|0.0|0.0|0.0|Y|
PL|054EDFB3B24CC8D2E043814FD881C8D2|1.0|PS1PRD|HRMS|HRMS|0.0|0.0|0|0|0.0|0.0|0.0|0.0|Y|
PR|30C0299B574621B2E043814FD88121B2|1.0|IUIS|GLE|GLE||||||1.0|||Y|
RV|054EDFB3B249C8D2E043814FD881C8D2|1.0|IUIS|GLE|GLE|0.0|0.0||||1.0|||Y|
SF|054EDFB3B24EC8D2E043814FD881C8D2|1.0|PS1PRD|SIS|SIS|0.0|0.0|0|0|0.0|0.0|0.0|0.0|Y|
TR|31B4CCF8C7516150E043814FD8816150|1.0|GEN1PRD|TVL|TVL|0.0|0.0|0|0|0.0|0.0|0.0|0.0|Y|
UB|054EDFB3B24AC8D2E043814FD881C8D2|1.0|IUIS|GLE|GLE||||||1.0|||Y|
