cgprpsl_nbr|obj_id|ver_nbr|cgawd_beg_dt|cgawd_end_dt|cgawd_tot_amt|cgawd_addendum_nbr|cgawd_aloc_ucs_amt|cg_agency_awd_nbr|cg_fedpt_fnd_amt|cgawd_entry_dt|cg_agency_fut1_amt|cg_agency_fut2_amt|cg_agency_fut3_amt|cgawd_doc_nbr|cgawd_lst_updt_dt|cg_fedpt_ind|cg_old_prpsl_nbr|cgawd_drct_cst_amt|cgawd_indr_cst_amt|cg_fed_fnded_amt|cgawd_create_ts|cgawd_closing_dt|cgprpsl_awd_typ_cd|cgawd_stat_cd|cg_ltrcr_fndgrp_cd|cg_grant_desc_cd|cg_agency_nbr|cg_fedpt_agncy_nbr|cg_agncy_analst_nm|cg_analyst_phn_nbr|cgawd_proj_ttl|cgawd_purpose_cd|row_actv_ind|bill_freq_cd|excl_frm_inv_ind|addl_frms_req_ind|addl_frms_desc|instrmnt_typ_cd|min_inv_amt|cg_ltrcr_fnd_cd|auto_approve_ind|funding_exp_dt|inv_opt_cd|excl_frm_inv_reason_txt|state_trnsfr_ind|cmpgn_id|stop_wrk_ind|stop_wrk_reason_txt|
11.0|12CF4661C826EFE6E043814FD881EFE6|1.0|19680701000000|19690630000000|9724.0| |0.0|R01 MH 16046-01|0.0|19690213000000|0.0|0.0|0.0| |20000101000000|N|80051-00|7708.0|2016.0|0.0||19930311000000|N|A||G|12851|| | |Variables Affecting Efficacy of Ics Reinforcement|C|Y||||||||||||||Y||
37.0|12CF4661C827EFE6E043814FD881EFE6|1.0|19680801000000|19710731000000|33300.0| |600.0|GB 7947|0.0|19680822000000|0.0|0.0|0.0| |20000101000000|N|80192-00|23404.0|9896.0|0.0||19930311000000|N|A||G|18500|| | |Characteristics of Human Information Storage|C|Y||||||||||||||Y||
50.0|12CF4661C828EFE6E043814FD881EFE6|1.0|19690101000000|19691231000000|22548.0| |0.0|R01 MH 10852-05 1271|0.0|19680107000000|0.0|0.0|0.0| |20000101000000|N|80236-00|16300.0|6248.0|0.0||19930311000000|N|A||G|12851|| | |Effects of Lemniscal Lesion on Evoked Responses|C|Y||||||||||||||Y||
67.0|12CF4661C829EFE6E043814FD881EFE6|1.0|19680901000000|19691231000000|44417.0| |0.0|R01 MH 12717-03 1269|0.0|19680910000000|0.0|0.0|0.0|0CT2MH17146A|20000101000000|N|80294-00|31237.0|13180.0|0.0||19930311000000|C|A||G|12851|| | |Quantitative Analysis of Coding Processes in Memory|C|Y||||||||||||||Y||
73.0|12CF4661C82AEFE6E043814FD881EFE6|1.0|19680901000000|19690831000000|17864.0| |0.0|R01 MH 10435-05 0870|0.0|19680909000000|0.0|0.0|0.0| |20000101000000|N|80372-00|12299.0|5565.0|0.0||19930311000000|C|A||G|12851|| | |Stimulus Patterning and Experimental Extinction|C|Y||||||||||||||Y||
92.0|12CF4661C82BEFE6E043814FD881EFE6|1.0|19690601000000|19700831000000|134301.0| |0.0|R01 MH 16817-01 0871|0.0|19690617000000|0.0|0.0|0.0| |19890928000000|N|80489-00|115288.0|19013.0|0.0||19930311000000|C|A||G|12851|| | |Cognitive Hierarchies|C|Y||||||||||||||Y||
264.0|12CF4661C82CEFE6E043814FD881EFE6|1.0|19700101000000|19701231000000|34682.0| |0.0|R01 MH 12717-04 1272|0.0|19700116000000|0.0|0.0|0.0| |20000101000000|N|90287-00|25344.0|9338.0|0.0||19930311000000|N|A||G|12851|| | |Memory Storage and Retrievel|C|Y||||||||||||||Y||
271.0|12CF4661C82DEFE6E043814FD881EFE6|1.0|19690601000000|19690830000000|2190.0| |0.0| |0.0|19710826000000|0.0|0.0|0.0| |19931105000000|N|90326-00|2190.0|0.0|0.0||19930311000000|E|R||G|12851|| | |Experiments on Multi-Stage Models of Learning|C|Y||||||||||||||Y||
332.0|12CF4661C82EEFE6E043814FD881EFE6|1.0|19690901000000|19710831000000|19416.0| |0.0|R01 MH 10435-06 0870|0.0|19691010000000|0.0|0.0|0.0| |20000101000000|N|90432-00|12531.0|6885.0|0.0||19930311000000|C|A||G|12851|| | |Stimulus Patterns and Experimental Extinction|C|Y||||||||||||||Y||
378.0|12CF4661C82FEFE6E043814FD881EFE6|1.0|19700601000000|19710531000000|8887.0| |0.0| |0.0|19690910000000|0.0|0.0|0.0| |20000101000000|N|90509-00|8887.0|0.0|0.0||19930311000000|N|R||G|12500|| | |Peripheral Factors in Regulation of Food and Fluid Intake|C|Y||||||||||||||Y||
