position_nbr|effdt|obj_id|ver_nbr|jobcode|pos_eff_status|descr|descrshort|business_unit|deptid|posn_status|status_dt|budgeted_posn|std_hrs_default|std_hrs_frequency|pos_reg_temp|pos_fte|pos_sal_plan_dflt|pos_grade_dflt|
00000027|19010101000000|37C1865A9037E080E043814FD881E080|1.0|000001|A|AC2 Adjunct Faculty|Adjunct Fa|IUBLA|BL-ARSD|A|19010101000000|Y|23.2|W10|R|0.58|AC1|AAJ|
00000027|20021201000000|37C1865A9059E080E043814FD881E080|1.0|000001|A|AC2 Adjunct Faculty|Adjunct Fa|IUBLA|BL-ARSD|A|19010101000000|Y|40.0|W10|R|1.0|AC1|AAJ|
00000027|20030701000000|37C1865A905DE080E043814FD881E080|1.0|000001|A|AC2 Visiting Fac Summer Only|VstFacSum|IUBLA|BL-ARSD|A|19010101000000|Y|40.0|W|R|1.0|AC1|AAJ|
00000144|19010101000000|37C1865A8F61E080E043814FD881E080|1.0|000101|A|AC2 Visiting Faculty/Scholar|Visiting F|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00000255|19010101000000|37C1865A9038E080E043814FD881E080|1.0|000101|A|AC2 Visiting Faculty/Scholar|Visiting F|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FTX|
00000258|19010101000000|37C1865A8F82E080E043814FD881E080|1.0|002199|A|Acad Historical|Acad Histo|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|SS|0D|
00000259|19010101000000|37C1865A8F83E080E043814FD881E080|1.0|002199|A|Academic Advisor|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|SS|0D|
00000341|19010101000000|37C1865A8FD9E080E043814FD881E080|1.0|000136|A|Academic Advisor|PROF STF|IUBLA|BL-KINS|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSX|
00000341|20070701000000|37C1865A900FE080E043814FD881E080|1.0|000136|A|Academic Counselor|PROF STF|IUBLA|BL-KINS|A|19010101000000|Y|40.0|W10|R|1.0|AC1|RSX|
00000363|19010101000000|37C1865A909DE080E043814FD881E080|1.0|000136|A|Academic Counselor|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|RSX|
00000450|19010101000000|37C1865A8F56E080E043814FD881E080|1.0|000001|A|Academic Serv Coun|PROF STF|IUBLA|BL-ARSD|A|19010101000000|Y|30.0|W|R|0.75|AC1|AAJ|
00000450|20021201000000|37C1865A8F55E080E043814FD881E080|1.0|000001|A|Academic Serv Coun|PROF STF|IUBLA|BL-ARSD|A|19010101000000|Y|40.0|W|R|1.0|AC1|AAJ|
00000450|20050630000000|37C1865A8F54E080E043814FD881E080|1.0|000001|A|Academic Services Co|PROF STF|IUBLA|BL-ARSD|A|19010101000000|Y|40.0|W10|R|1.0|AC1|AAJ|
00000450|20060331000000|37C1865A8F53E080E043814FD881E080|1.0|000001|A|Academic Support|Academic S|IUBLA|BL-ARSD|A|19010101000000|Y|40.0|W|R|1.0|AC1|AAJ|
00000776|19010101000000|37C1865A8FB1E080E043814FD881E080|1.0|000105|A|Accounting Rep|SUPP STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|R|1.0|AC1|FVX|
00000776|20030501000000|37C1865A8FB0E080E043814FD881E080|1.0|003830|A|Acct|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W|T|1.0|AC1|FVX|
00000779|19010101000000|37C1865A9071E080E043814FD881E080|1.0|000105|A|Acct|PROF STF|IUBLA|BL-PSY|A|19010101000000|Y|40.0|W10|R|1.0|AC1|FVX|
