role_id|obj_id|ver_nbr|role_nm|nmspc_cd|desc_txt|kim_typ_id|actv_ind|last_updt_dt|
1|5ADF18B6D4847954E0404F8189D85002|1.0|User|KUALI|This role derives its members from the users in the Principal table. This role gives users high-level permissions to interact with RICE documents and to login to KUALI.|2|Y|20081104143710|
11|KFS11|1.0|Cash Manager|KFS-FP|Users authorized to work the Cash Management Document and verify Cash Receipt documents for a given campus.|17|Y|20121207232901|
12|KFS12|1.0|Disbursement Manager|KFS-FP|Users who receive workflow action requests for Disbursement Vouchers based on the campus code associated with the initiator of the document.|17|Y|20121207232901|
13|KFS13|1.0|Service Bill Processor|KFS-FP|Users authorized to use the Service Billing document and enter specified accounts on the "Income" side of the document.|26|Y|20121207232901|
15|KFS15|1.0|Travel Manager|KFS-FP|Users who receive workflow action requests for Disbursement Vouchers for travel payment reasons and can edit the accounting line and Non-Employee Travel Expense or Pre-Paid Travel Expenses tabs.|1|Y|20121207232901|
16|KFS16|1.0|Treasury Manager|KFS-SYS|Users who can use the Electronic Fund Transfer screen and use DI or YEDI documents to claim those funds.|1|Y|20121207232901|
17|KFS17|1.0|Interdepartmental Billing Processor|KFS-GL|Users authorized to use the Collector Upload screen.|1|Y|20121207232901|
18|KFS18|1.0|Customer Contact|KFS-PDP|Users associated with PDP customers that can use the Payment File Batch Upload screen and have basic PDP inquiry access. |32|Y|20121207232901|
19|KFS19|1.0|Manager|KFS-PDP|Users who can cancel or hold payments reset locked format processes and view unmasked bank routing and account numbers in PDP.|1|Y|20121207232901|
2|KFS2|1.0|Biller|KFS-AR|Users identified as part of an AR billing organization. They have access to the basic functions of the KFS AR module such as creating invoices or customers.|38|Y|20121207232901|
20|KFS20|1.0|Processor|KFS-PDP|Users who can set payments for immediate pay and use the Format Checks/ACH screen in PDP.|17|Y|20121207232901|
22|KFS22|1.0|Accounts Payable Processor|KFS-PURAP|Accounts Payable users who can initiate Payment Requests and Credit Memo documents. They also have several permissions related to processing these document types and receive workflow action requests for them. |1|Y|20121207232901|
23|KFS23|1.0|Commodity Reviewer|KFS-PURAP|Users who receive workflow action requests for Purchasing transactional documents that contain a specific commodity code and campus combination.|33|Y|20121207232901|
24|KFS24|1.0|Content Reviewer|KFS-PURAP|Users who receive incomplete Requisition documents for completion for a given Chart and Organization.|27|Y|20121207232901|
25|KFS25|1.0|Contract Manager|KFS-PURAP|Contract Managers review and approve Purchase Order documents. A Purchase Order is assigned to a given Contract Manager for their review and approval.|34|Y|20121207232901|
26|KFS26|1.0|Purchasing Processor|KFS-PURAP|This role represents central or campus Purchasing staff. They have additional permissions for and receive action requests for most Purchasing document types as well as receiving action requests for Disbursement Vouchers paying PO Type Vendors.|17|Y|20121207232901|
27|KFS27|1.0|Sensitive Data Viewer|KFS-PURAP|Users authorized to view KFS-PURAP documents identified with a specific Sensitive Data Code. |35|Y|20121207232901|
28|KFS28|1.0|Accounting Reviewer|KFS-SYS|An optional role that allows users to receive workflow action requests for documents of a specified type that contain accounts belonging to a specified chart and organization (including the organization hierarchy) and within a certain dollar amount or involving a specified override code.|30|Y|20121207232901|
29|KFS29|1.0|Accounts Payable Manager|KFS-SYS|Users with manager-level access to Accounts Payable documents. This includes the ability to hold or cancel (or remove those states) from Payment Request and Credit Memo documents. |1|Y|20121207232901|
3|KFS3|1.0|Manager|KFS-AR|Users that manage the KFS AR module. They receive Accounts Receivable transactional and maintenance documents for approval.|1|Y|20121207232901|
30|KFS30|1.0|Accounts Receivable Lockbox Manager|KFS-SYS|Central Accounts Receivable staff that receive workflow action requests for Cash Control and Lockbox documents. They can also use the Electronic Fund Transfer screen and claim those funds using a Cash Control document.|27|Y|20121207232901|
31|KFS31|1.0|Accounts Receivable Manager|KFS-SYS|Users that manage the KFS-AR module. This role has no inherent permissions or responsibilities.|1|Y|20121207232901|
32|KFS32|1.0|Active Faculty or Staff|KFS-SYS|A role that uses the Affiliation Type and Employee Status on a Principal record to determine if a user is an active faculty or staff employee. These users can initiate some KFS-PURAP documents and inquire into certain KFS screens.|41|Y|20121207232901|
