pmt_chg_cd|obj_id|ver_nbr|pmt_chg_cd_desc|
BC|582371A112D54DEDE0404F8189D83A6C|1.0|Change Bank|
CB|3C4DCACBEAB830FEE043814FD88130FE|0.0|Cancel Batch|
CD|3C4DCACBEAB930FEE043814FD88130FE|0.0|Cancel Disbursement|
CP|3C4DCACBEAB730FEE043814FD88130FE|0.0|Cancel Payment|
CRD|3C4DCACBEABA30FEE043814FD88130FE|0.0|Cancel-Reissue Disbursement|
HB|3C4DCACBEAB430FEE043814FD88130FE|0.0|Hold Batch|
HP|3C4DCACBEAB330FEE043814FD88130FE|0.0|Hold Payment|
IMP|3C4DCACBEABB30FEE043814FD88130FE|0.0|Change Immediate Print|
RC|A6B78C3A1D8DFD23E040007F01002521|0.0|REISSUE CANCEL|
RHB|3C4DCACBEAB630FEE043814FD88130FE|0.0|Release Hold on Batch|
RHP|3C4DCACBEAB530FEE043814FD88130FE|0.0|Release Hold on Payment|
