attr_data_id|obj_id|ver_nbr|rsp_id|kim_typ_id|kim_attr_defn_id|attr_val|
10000|KFS-TEM-RSP-ATTR-DATA-000|1.0|10000|7|16|SpecialRequestReviewer|
10001|KFS-TEM-RSP-ATTR-DATA-001|1.0|10000|7|13|TA|
10002|KFS-TEM-RSP-ATTR-DATA-002|1.0|10000|7|41|FALSE|
10003|KFS-TEM-RSP-ATTR-DATA-003|1.0|10000|7|40|FALSE|
10004|KFS-TEM-RSP-ATTR-DATA-004|1.0|10001|7|16|InternationalTravelReviewer|
10005|KFS-TEM-RSP-ATTR-DATA-005|1.0|10001|7|13|TA|
10006|KFS-TEM-RSP-ATTR-DATA-006|1.0|10001|7|41|FALSE|
10007|KFS-TEM-RSP-ATTR-DATA-007|1.0|10001|7|40|FALSE|
10008|KFS-TEM-RSP-ATTR-DATA-008|1.0|10002|7|16|RiskManagement|
10009|KFS-TEM-RSP-ATTR-DATA-009|1.0|10002|7|13|TA|
10010|KFS-TEM-RSP-ATTR-DATA-010|1.0|10002|7|41|FALSE|
10011|KFS-TEM-RSP-ATTR-DATA-011|1.0|10002|7|40|FALSE|
10012|KFS-TEM-RSP-ATTR-DATA-012|1.0|10003|7|16|APTravel|
10013|KFS-TEM-RSP-ATTR-DATA-013|1.0|10003|7|13|TA|
10014|KFS-TEM-RSP-ATTR-DATA-014|1.0|10003|7|41|FALSE|
10015|KFS-TEM-RSP-ATTR-DATA-015|1.0|10003|7|40|FALSE|
10016|KFS-TEM-RSP-ATTR-DATA-016|1.0|10004|7|16|AccountingReviewer|
10017|KFS-TEM-RSP-ATTR-DATA-017|1.0|10004|7|13|TR|
10018|KFS-TEM-RSP-ATTR-DATA-018|1.0|10004|7|41|FALSE|
10019|KFS-TEM-RSP-ATTR-DATA-019|1.0|10004|7|40|FALSE|
10020|KFS-TEM-RSP-ATTR-DATA-020|1.0|10005|7|16|DivisionReviewer|
10021|KFS-TEM-RSP-ATTR-DATA-021|1.0|10005|7|13|TA|
10022|KFS-TEM-RSP-ATTR-DATA-022|1.0|10005|7|41|FALSE|
10023|KFS-TEM-RSP-ATTR-DATA-023|1.0|10005|7|40|FALSE|
10024|KFS-TEM-RSP-ATTR-DATA-024|1.0|10006|7|16|TravelerReview|
10025|KFS-TEM-RSP-ATTR-DATA-025|1.0|10006|7|13|TR|
10026|KFS-TEM-RSP-ATTR-DATA-026|1.0|10006|7|41|FALSE|
10027|KFS-TEM-RSP-ATTR-DATA-027|1.0|10006|7|40|FALSE|
10028|KFS-TEM-RSP-ATTR-DATA-028|1.0|10007|7|16|Tax|
10029|KFS-TEM-RSP-ATTR-DATA-029|1.0|10007|7|13|TTP|
10030|KFS-TEM-RSP-ATTR-DATA-030|1.0|10007|7|41|FALSE|
10031|KFS-TEM-RSP-ATTR-DATA-031|1.0|10007|7|40|FALSE|
10032|KFS-TEM-RSP-ATTR-DATA-032|1.0|10008|7|16|EntertainmentManager|
10033|KFS-TEM-RSP-ATTR-DATA-033|1.0|10008|7|13|ENT|
10034|KFS-TEM-RSP-ATTR-DATA-034|1.0|10008|7|41|FALSE|
10035|KFS-TEM-RSP-ATTR-DATA-035|1.0|10008|7|40|FALSE|
10036|KFS-TEM-RSP-ATTR-DATA-036|1.0|10009|7|16|ENTSpecialRequestReviewer|
10037|KFS-TEM-RSP-ATTR-DATA-037|1.0|10009|7|13|ENT|
10038|KFS-TEM-RSP-ATTR-DATA-038|1.0|10009|7|41|FALSE|
10039|KFS-TEM-RSP-ATTR-DATA-039|1.0|10009|7|40|FALSE|
10040|KFS-TEM-RSP-ATTR-DATA-040|1.0|10010|7|16|ENTTaxManager|
10041|KFS-TEM-RSP-ATTR-DATA-041|1.0|10010|7|13|ENT|
10042|KFS-TEM-RSP-ATTR-DATA-042|1.0|10010|7|41|FALSE|
10043|KFS-TEM-RSP-ATTR-DATA-043|1.0|10010|7|40|FALSE|
10044|KFS-TEM-RSP-ATTR-DATA-044|1.0|10011|7|16|MovingAndRelocationManager|
10045|KFS-TEM-RSP-ATTR-DATA-045|1.0|10011|7|13|RELO|
10046|KFS-TEM-RSP-ATTR-DATA-046|1.0|10011|7|41|FALSE|
10047|KFS-TEM-RSP-ATTR-DATA-047|1.0|10011|7|40|FALSE|
10048|KFS-TEM-RSP-ATTR-DATA-048|1.0|10012|7|16|ExecutiveApproval|
10049|KFS-TEM-RSP-ATTR-DATA-049|1.0|10012|7|13|RELO|
10050|KFS-TEM-RSP-ATTR-DATA-050|1.0|10012|7|41|FALSE|
10051|KFS-TEM-RSP-ATTR-DATA-051|1.0|10012|7|40|FALSE|
10052|KFS-TEM-RSP-ATTR-DATA-052|1.0|10013|7|16|Tax|
10053|KFS-TEM-RSP-ATTR-DATA-053|1.0|10013|7|13|RELO|
10054|KFS-TEM-RSP-ATTR-DATA-054|1.0|10013|7|41|FALSE|
10055|KFS-TEM-RSP-ATTR-DATA-055|1.0|10013|7|40|FALSE|
10056|KFS-TEM-RSP-ATTR-DATA-056|1.0|10014|7|16|SeparationOfDutiesReviewer|
10057|KFS-TEM-RSP-ATTR-DATA-057|1.0|10014|7|13|TA|
10058|KFS-TEM-RSP-ATTR-DATA-058|1.0|10014|7|41|FALSE|
10059|KFS-TEM-RSP-ATTR-DATA-059|1.0|10014|7|40|FALSE|
10060|KFS-TEM-RSP-ATTR-DATA-060|1.0|10015|7|16|SpecialRequestReviewer|
10061|KFS-TEM-RSP-ATTR-DATA-061|1.0|10015|7|13|TR|
