cptlast_nbr|ast_loc_typ_cd|obj_id|ver_nbr|ast_loc_cntct_nm|ast_loc_cntct_id|ast_loc_inst_nm|ast_loc_phn_nbr|ast_loc_strt_addr|ast_loc_city_nm|ast_loc_state_cd|ast_loc_cntry_cd|ast_loc_zip_cd|
1594.0|B|4754384C05921512E0404F8189D83C7C|1.0||1000277432||888-888-8888|me|me|IN|US|47408|
1594.0|BS|4754384C05931512E0404F8189D83C7C|1.0||1000277432||888-888-8888||||||
3512.0|O|4754384C022F1512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
11039.0|O|4754384C023A1512E0404F8189D83C7C|1.0|||||W STATE ROAD 46|SPENCER|IN||47460|
11049.0|O|4754384C03A41512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
11051.0|O|4754384C02321512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
11057.0|O|4754384C03A51512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
30082.0|O|4754384C03A31512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
37441.0|O|4754384C03A81512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
38021.0|O|4754384C02301512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
49643.0|O|4754384C022E1512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
73223.0|O|4754384C03A91512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
84907.0|O|4754384C022D1512E0404F8189D83C7C|1.0|||||W SR 46|Spencer|IN||47460|
96792.0|O|4754384C02341512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
106255.0|O|4754384C02331512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
143702.0|O|4754384C02351512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
239279.0|O|4754384C009A1512E0404F8189D83C7C|1.0|||||Texax A&M University|College Station|TX||77843|
239281.0|O|4754384C02311512E0404F8189D83C7C|1.0|||||W State Road 46|Spencer|IN||47460|
256575.0|B|4754384C045C1512E0404F8189D83C7C|1.0||1000162286|||Le Tapis Vert, Gite #2|61320 La Lacelle|FR|FR|FRANCE|
256575.0|BS|4754384C045D1512E0404F8189D83C7C|1.0||1000162286||||||||
270111.0|ST|4754384BFFA51512E0404F8189D83C7C|1.0|BIOLOGY/JORDAN HALL A017||||THIRD AND HAWTHORNE|BLOOMINGTON|IN||47405-680|
270113.0|ST|4754384BFFA61512E0404F8189D83C7C|1.0|CHEMISTRY DEPARTMENT||||ROOM A025|BLOOMINGTON|IN||47405|
270202.0|ST|4754384BFFA71512E0404F8189D83C7C|1.0|CHEMISTRY DEPT.||||ROOM A025|BLOOMINGTON|IN||47405-400|
270655.0|ST|4754384BFFA81512E0404F8189D83C7C|1.0|CHEMISTRY DEPARTMENT||||ROOM A025|BLOOMINGTON|IN||47405-400|
270656.0|ST|4754384BFFA91512E0404F8189D83C7C|1.0|CHEMISTRY DEPARTMENT||||ROOM A025|BLOOMINGTON|IN||47405-400|
271400.0|ST|4754384BFFAA1512E0404F8189D83C7C|1.0|CHEMISTRY DEPARTMENT||||ROOM A025|BLOOMINGTON|IN||47405-400|
271401.0|ST|4754384BFFAB1512E0404F8189D83C7C|1.0|CHEMISTRY DEPARTMENT||||ROOM A025|BLOOMINGTON|IN||47405-400|
271402.0|ST|4754384BFFAC1512E0404F8189D83C7C|1.0|CHEMISTRY DEPARTMENT||||ROOM A025|BLOOMINGTON|IN||47405-400|
271403.0|ST|4754384BFFAD1512E0404F8189D83C7C|1.0|CHEMISTRY DEPARTMENT||||ROOM A025|BLOOMINGTON|IN||47405-400|
