dv_exp_cd|dv_exp_co_nm|obj_id|ver_nbr|row_actv_ind|frgn_cmpny|
A|CONTINENTAL/CONTINENTAL EXPRESS|059C8C53A21EEA14E043814FD881EA14|1.0|Y|N|
A|DELTA|059C8C53A21FEA14E043814FD881EA14|1.0|Y|N|
A|NORTHWEST|059C8C53A220EA14E043814FD881EA14|1.0|Y|N|
A|OTHER|059C8C53A221EA14E043814FD881EA14|1.0|Y|N|
A|SOUTHWEST|059C8C53A222EA14E043814FD881EA14|1.0|Y|N|
A|TRANS WORLD AIRLINES|059C8C53A223EA14E043814FD881EA14|1.0|Y|N|
A|U.S. AIRWAYS|059C8C53A224EA14E043814FD881EA14|1.0|Y|N|
A|UNITED AIRLINES|059C8C53A225EA14E043814FD881EA14|1.0|Y|N|
L|BEST WESTERN|059C8C53A226EA14E043814FD881EA14|1.0|Y|N|
L|CENTURY SUITES|059C8C53A227EA14E043814FD881EA14|1.0|Y|N|
L|COMFORT AND CLARION INNS|059C8C53A228EA14E043814FD881EA14|1.0|Y|N|
L|COURTYARD|059C8C53A229EA14E043814FD881EA14|1.0|Y|N|
L|DAYS INN|059C8C53A22AEA14E043814FD881EA14|1.0|Y|N|
L|FAIRFIELD INN|059C8C53A22BEA14E043814FD881EA14|1.0|Y|N|
L|GRANT STREET INN|059C8C53A22CEA14E043814FD881EA14|1.0|Y|N|
L|HAMPTON INN|059C8C53A22DEA14E043814FD881EA14|1.0|Y|N|
L|HOLIDAY INNS|059C8C53A22EEA14E043814FD881EA14|1.0|Y|N|
L|INDIANA MEMORIAL UNION|059C8C53A22FEA14E043814FD881EA14|1.0|Y|N|
L|OTHER|059C8C53A230EA14E043814FD881EA14|1.0|Y|N|
L|RAMADA INNS|059C8C53A231EA14E043814FD881EA14|1.0|Y|N|
L|TRAVELODGE|059C8C53A232EA14E043814FD881EA14|1.0|Y|N|
L|UNIVERSITY PLACE|059C8C53A233EA14E043814FD881EA14|1.0|Y|N|
M|OTHER|059C8C53A234EA14E043814FD881EA14|1.0|Y|N|
M|RYDER|059C8C53A235EA14E043814FD881EA14|1.0|Y|N|
M|U-HAUL|059C8C53A236EA14E043814FD881EA14|1.0|Y|N|
O|OTHER|059C8C53A237EA14E043814FD881EA14|1.0|Y|N|
PA|CONTINENTAL/CONTINENTAL EXPRESS|059C8C53A238EA14E043814FD881EA14|1.0|Y|N|
