fee_mthd|sec_cls_cd|incl|obj_id|ver_nbr|
CRTMF1|300|Y|8529CD484998060AE0404F8189D81C0B|1.0|
CRTMF1|310|Y|8529CD484997060AE0404F8189D81C0B|1.0|
CRTMF2|300|Y|8529CD48499A060AE0404F8189D81C0B|1.0|
CRTMF2|310|Y|8529CD484999060AE0404F8189D81C0B|1.0|
SHMF1|011|Y|8529CD484983060AE0404F8189D81C0B|1.0|
SHMF1|025|Y|8529CD484981060AE0404F8189D81C0B|1.0|
SHMF1|100|Y|8529CD484982060AE0404F8189D81C0B|1.0|
SHMF1|200|Y|8529CD484984060AE0404F8189D81C0B|1.0|
SHMF1|400|Y|8529CD484985060AE0404F8189D81C0B|1.0|
SHMF1|401|Y|8529CD484986060AE0404F8189D81C0B|1.0|
SHMF1|495|Y|8529CD484987060AE0404F8189D81C0B|1.0|
SHMF1|498|Y|8529CD484988060AE0404F8189D81C0B|1.0|
SHMF1|580|Y|8529CD484989060AE0404F8189D81C0B|1.0|
SHMF1|600|Y|8529CD48498A060AE0404F8189D81C0B|1.0|
SHMF1|801|Y|8529CD48498B060AE0404F8189D81C0B|1.0|
SHMF2|011|Y|8529CD48498E060AE0404F8189D81C0B|1.0|
SHMF2|025|Y|8529CD48498C060AE0404F8189D81C0B|1.0|
SHMF2|100|Y|8529CD48498D060AE0404F8189D81C0B|1.0|
SHMF2|200|Y|8529CD48498F060AE0404F8189D81C0B|1.0|
SHMF2|400|Y|8529CD484990060AE0404F8189D81C0B|1.0|
SHMF2|401|Y|8529CD484991060AE0404F8189D81C0B|1.0|
SHMF2|495|Y|8529CD484992060AE0404F8189D81C0B|1.0|
SHMF2|498|Y|8529CD484993060AE0404F8189D81C0B|1.0|
SHMF2|580|Y|8529CD484994060AE0404F8189D81C0B|1.0|
SHMF2|600|Y|8529CD484995060AE0404F8189D81C0B|1.0|
SHMF2|801|Y|8529CD484996060AE0404F8189D81C0B|1.0|
