mlstn_id|obj_id|ver_nbr|prpsl_nbr|mlstn_nbr|mlstn_desc|mlstn_amt|billed_ind|mlstn_compltn_dt|mlstn_expctd_compltn_dt|actv_ind|
9.0|45d6db62-c1b6-4c20-9a94-007e749bbb43|4.0|80075.0|1.0|Milestone 1|15.0|N|20181231000000|20140228000000|Y|
10.0|39371127-09e7-4a75-bdac-0a05bc9a3598|4.0|80075.0|2.0|Milestone 2|20.0|N||20140305000000|Y|
11.0|350b32a7-c932-40ec-81a9-772759daa386|4.0|80075.0|3.0|Milestone 3|25.0|N||20140314000000|Y|
12.0|57969b61-7890-47e6-85c7-a4fef24bfe7a|3.0|80075.0|4.0|Milestone 4|30.0|N||20140331000000|Y|
27.0|a65214aa-b006-41e7-81a5-387abd1495e8|2.0|80075.0|5.0|Milestone 5|110.0|N|20140224000000|20140224000000|Y|
28.0|593af22a-6b33-4293-9c9e-04e9dde848a7|1.0|80075.0|6.0|Milestone 6|250.0|N|20140131000000|20140131000000|Y|
41.0|5b6d578d-45f4-4c0b-ba9a-1b9cb8d37f5c|1.0|80085.0|1.0|Milestone 1|15.0|N|20181231000000|20140228000000|Y|
42.0|5b0736f4-73e8-4f5a-b863-7b531ccbf235|1.0|80085.0|2.0|Milestone 2|20.0|N||20140305000000|Y|
43.0|a18ee131-c463-40f9-b98a-c806ca6343a4|1.0|80085.0|3.0|Milestone 3|25.0|N||20140314000000|Y|
44.0|4b0ecdc8-31c4-47ea-b52c-5105d43e0af7|1.0|80085.0|4.0|Milestone 4|30.0|N|20140615000000|20140331000000|Y|
45.0|104016f7-c8a0-43a2-a2ed-1e9964670094|1.0|80085.0|5.0|Milestone 5|110.0|N|20140224000000|20140224000000|Y|
46.0|3b1b3571-4f9d-4140-8016-5c5748eb6fad|1.0|80085.0|6.0|Milestone 6|250.0|N|20140131000000|20140131000000|Y|
