kemid|sec_id|regis_cd|hldg_ip_ind|tot_hldg_lot_nbr|tot_hldg_units|tot_hldg_cost|ver_nbr|obj_id|
032A017014|094420981|0NI|I|1.0|20.0|10000.0|1.0|8B7336E7519A7CDEE0404F8189D82212|
032A017014|99MMKT013|0AI|I|1.0|282586.0|282586.0|1.0|8B7336E7519B7CDEE0404F8189D82212|
032A017014|99PSTF018|0AI|I|1.0|23123.0|23123.0|1.0|8B7336E7519C7CDEE0404F8189D82212|
032A017014|REHUNT017|REI|I|1.0|10000.0|10000.0|1.0|8B7336E7519D7CDEE0404F8189D82212|
032AS06149|99PLTF013|0CI|I|1.0|2012.0|1963.85|1.0|8B7336E7519E7CDEE0404F8189D82212|
032AS06149|99PSTF018|0AI|I|1.0|488.0|488.0|1.0|8B7336E7519F7CDEE0404F8189D82212|
032AS08053|99PLTF013|0CI|I|1.0|8163.0|8850.73|1.0|8B7336E751A07CDEE0404F8189D82212|
032AS08053|99PSTF018|0AI|I|1.0|33997.0|33997.0|1.0|8B7336E751A17CDEE0404F8189D82212|
032AS11040|99PLTF013|0CI|I|1.0|4111.0|4404.53|1.0|8B7336E751A27CDEE0404F8189D82212|
032AS11040|99PSTF018|0AI|I|1.0|15714.0|15714.0|1.0|8B7336E751A37CDEE0404F8189D82212|
032B011354|99PSTF018|0AI|I|1.0|26279.0|26279.0|1.0|8B7336E751A47CDEE0404F8189D82212|
032D008242|99PSTF018|0AI|I|1.0|3949.0|3949.0|1.0|8B7336E751A57CDEE0404F8189D82212|
032L006015|99PLTF013|0CI|I|1.0|264110.0|297207.27|1.0|8B7336E751A67CDEE0404F8189D82212|
032L006015|99PSTF018|0AI|I|1.0|112930.0|112930.0|1.0|8B7336E751A77CDEE0404F8189D82212|
032L006098|99PSTF018|0AI|I|1.0|22461.0|22461.0|1.0|8B7336E751A87CDEE0404F8189D82212|
032P002085|99PSTF018|0AI|I|1.0|4109.0|4109.0|1.0|8B7336E751A97CDEE0404F8189D82212|
032P002101|99PSTF018|0AI|I|1.0|227.0|227.0|1.0|8B7336E751AA7CDEE0404F8189D82212|
032P011045|99PLTF013|0CI|I|1.0|2651.0|2773.24|1.0|8B7336E751AB7CDEE0404F8189D82212|
032P011045|99PSTF018|0AI|I|1.0|11.0|11.0|1.0|8B7336E751AC7CDEE0404F8189D82212|
037A014184|99PLTF021|0CP|P|1.0|25914.0|25973.99|1.0|8B7336E751AD7CDEE0404F8189D82212|
037A017013|99PLTF013|0CI|I|1.0|74918.0|88391.25|1.0|8B7336E751AE7CDEE0404F8189D82212|
037A017013|99PLTF021|0CP|P|1.0|2.0578908E7|2.10864529E7|1.0|8B7336E751AF7CDEE0404F8189D82212|
037A017013|99PSTF018|0AI|I|1.0|2578445.0|2578445.0|1.0|8B7336E751B07CDEE0404F8189D82212|
037AS12302|99PLTF021|0CP|P|1.0|253822.0|301006.95|1.0|8B7336E751B17CDEE0404F8189D82212|
037AS12302|99PSTF018|0AI|I|1.0|32464.0|32464.0|1.0|8B7336E751B27CDEE0404F8189D82212|
037AS34082|99PLTF021|0CP|P|1.0|113013.0|140388.55|1.0|8B7336E751B37CDEE0404F8189D82212|
037AS34082|99PSTF018|0AI|I|1.0|19352.0|19352.0|1.0|8B7336E751B47CDEE0404F8189D82212|
037AS35022|99PLTF021|0CP|P|1.0|6147.0|6147.0|1.0|8B7336E751B57CDEE0404F8189D82212|
037AS35022|99PSTF018|0AI|I|1.0|633.0|633.0|1.0|8B7336E751B67CDEE0404F8189D82212|
037AS36012|99PLTF021|0CP|P|1.0|3927.0|3949.18|1.0|8B7336E751B77CDEE0404F8189D82212|
037AS36012|99PSTF018|0AI|I|1.0|987.0|987.0|1.0|8B7336E751B87CDEE0404F8189D82212|
037AS38026|99PLTF013|0CI|I|1.0|4479.0|4479.0|1.0|8B7336E751B97CDEE0404F8189D82212|
037AS38026|99PLTF021|0CP|P|1.0|1023447.0|1046592.08|1.0|8B7336E751BA7CDEE0404F8189D82212|
037AS38026|99PSTF018|0AI|I|1.0|128155.0|128155.0|1.0|8B7336E751BB7CDEE0404F8189D82212|
037AS54239|99PLTF021|0CP|P|1.0|40049.0|52541.76|1.0|8B7336E751BC7CDEE0404F8189D82212|
037AS54239|99PSTF018|0AI|I|1.0|4743.0|4743.0|1.0|8B7336E751BD7CDEE0404F8189D82212|
037B011AG1|99PLTF021|0CP|P|1.0|9337.0|9579.73|1.0|8B7336E751BE7CDEE0404F8189D82212|
037B012161|99PLTF021|0CP|P|1.0|692005.0|599999.5|1.0|8B7336E751BF7CDEE0404F8189D82212|
037B012161|99PSTF018|0AI|I|1.0|261487.0|261487.0|1.0|8B7336E751C07CDEE0404F8189D82212|
037E009701|99PLTF021|0CP|P|1.0|16506.0|21004.07|1.0|8B7336E751C17CDEE0404F8189D82212|
037E009701|99PSTF018|0AI|I|1.0|11562.0|11562.0|1.0|8B7336E751C27CDEE0404F8189D82212|
037E009727|99PLTF021|0CP|P|1.0|128280.0|107956.85|1.0|8B7336E751C37CDEE0404F8189D82212|
037E009727|99PSTF018|0AI|I|1.0|18854.0|18854.0|1.0|8B7336E751C47CDEE0404F8189D82212|
037F002010|99PLTF021|0CP|P|1.0|19149.0|19149.0|1.0|8B7336E751C57CDEE0404F8189D82212|
037F002010|99PSTF018|0AI|I|1.0|20417.0|20417.0|1.0|8B7336E751C67CDEE0404F8189D82212|
037G003785|99PLTF021|0CP|P|1.0|538900.0|574655.72|1.0|8B7336E751C77CDEE0404F8189D82212|
037G030812|99PLTF021|0CP|P|1.0|29294.0|27359.31|1.0|8B7336E751C87CDEE0404F8189D82212|
037G030812|99PSTF018|0AI|I|1.0|9251.0|9251.0|1.0|8B7336E751C97CDEE0404F8189D82212|
037H004261|99PLTF021|0CP|P|1.0|24760.0|26898.5|1.0|8B7336E751CA7CDEE0404F8189D82212|
037H004261|99PSTF018|0AI|I|1.0|2928.0|2928.0|1.0|8B7336E751CB7CDEE0404F8189D82212|
037I002512|99PLTF021|0CP|P|1.0|55650.0|57724.64|1.0|8B7336E751CC7CDEE0404F8189D82212|
037I002512|99PSTF018|0AI|I|1.0|4634.0|4634.0|1.0|8B7336E751CD7CDEE0404F8189D82212|
037K008284|99PLTF013|0CI|I|1.0|2050.0|2050.0|1.0|8B7336E751CE7CDEE0404F8189D82212|
037K008284|99PLTF021|0CP|P|1.0|310135.0|318280.87|1.0|8B7336E751CF7CDEE0404F8189D82212|
037K008284|99PSTF018|0AI|I|1.0|14665.0|14665.0|1.0|8B7336E751D07CDEE0404F8189D82212|
037L006493|99OTHER14|MAP|P|1.0|13500.0|13500.0|1.0|8B7336E751D17CDEE0404F8189D82212|
