tklr_typ_cd|tklr_typ_desc|row_actv_ind|obj_id|ver_nbr|
A|Asset Review|Y|8529CD4849FB060AE0404F8189D81C0B|1.0|
C|Compliance Review|Y|8529CD4849FC060AE0404F8189D81C0B|1.0|
D|Dormant Review|Y|8529CD4849FD060AE0404F8189D81C0B|1.0|
F|Funding Review|Y|8529CD4849FE060AE0404F8189D81C0B|1.0|
I|Income Review|Y|8529CD4849FF060AE0404F8189D81C0B|1.0|
M|Fiscal Management|Y|8529CD484A00060AE0404F8189D81C0B|1.0|
Q|Special Request|Y|8529CD484A01060AE0404F8189D81C0B|1.0|
R|Reinvestment Review|Y|8529CD484A02060AE0404F8189D81C0B|1.0|
S|Signature Review|Y|8529CD484A03060AE0404F8189D81C0B|1.0|
T|Trust Review|Y|8529CD484A04060AE0404F8189D81C0B|1.0|
