entity_emp_id|obj_id|ver_nbr|entity_id|entity_afltn_id|emp_stat_cd|emp_typ_cd|base_slry_amt|prmry_ind|actv_ind|last_updt_dt|prmry_dept_cd|emp_id|emp_rec_id|
KFS1000|KFS1000|1.0|KFS1000|KFS1000|A|N|50000.0|Y|Y|20121207233011|IN-ENGT|0000000001|1|
KFS1001|KFS1001|1.0|KFS1001|KFS1001|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000002|1|
KFS1002|KFS1002|1.0|KFS1002|KFS1002|A|N|50000.0|Y|Y|20121207233011|IN-ANES|0000000003|1|
KFS1003|KFS1003|1.0|KFS1003|KFS1003|T|P|50000.0|Y|Y|20121207233011|IN-IN|0000000004|1|
KFS1004|KFS1004|1.0|KFS1004|KFS1004|T|N|50000.0|Y|Y|20121207233011|IN-IN|0000000005|1|
KFS1005|KFS1005|1.0|KFS1005|KFS1005|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000006|1|
KFS1006|KFS1006|1.0|KFS1006|KFS1006|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000007|1|
KFS1007|KFS1007|1.0|KFS1007|KFS1007|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000008|1|
KFS1008|KFS1008|1.0|KFS1008|KFS1008|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000009|1|
KFS1009|KFS1009|1.0|KFS1009|KFS1009|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000010|1|
KFS1010|KFS1010|1.0|KFS1010|KFS1010|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000011|1|
KFS1011|KFS1011|1.0|KFS1011|KFS1011|A|P|50000.0|Y|Y|20121207233011|BL-ARSD|0000000012|1|
KFS1012|KFS1012|1.0|KFS1012|KFS1012|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000013|1|
KFS1013|KFS1013|1.0|KFS1013|KFS1013|A|P|50000.0|Y|Y|20121207233011|BL-ARSD|0000000014|1|
KFS1014|KFS1014|1.0|KFS1014|KFS1014|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000015|1|
KFS1015|KFS1015|1.0|KFS1015|KFS1015|A|P|50000.0|Y|Y|20121207233011|BL-ARSD|0000000016|1|
KFS1016|KFS1016|1.0|KFS1016|KFS1016|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000017|1|
KFS1017|KFS1017|1.0|KFS1017|KFS1017|A|P|50000.0|Y|Y|20121207233011|BL-ARSD|0000000018|1|
KFS1018|KFS1018|1.0|KFS1018|KFS1018|A|P|50000.0|Y|Y|20121207233011|BL-ARSD|0000000019|1|
KFS1019|KFS1019|1.0|KFS1019|KFS1019|A|P|50000.0|Y|Y|20121207233011|BL-ARSD|0000000020|1|
KFS1020|KFS1020|1.0|KFS1020|KFS1020|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000021|1|
KFS1021|KFS1021|1.0|KFS1021|KFS1021|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000022|1|
KFS1022|KFS1022|1.0|KFS1022|KFS1022|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000023|1|
KFS1023|KFS1023|1.0|KFS1023|KFS1023|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000024|1|
KFS1024|KFS1024|1.0|KFS1024|KFS1024|T|N|50000.0|Y|Y|20121207233011|BL-BRAD|0000000025|1|
KFS1025|KFS1025|1.0|KFS1025|KFS1025|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000026|1|
KFS1026|KFS1026|1.0|KFS1026|KFS1026|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000027|1|
KFS1027|KFS1027|1.0|KFS1027|KFS1027|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000028|1|
KFS1028|KFS1028|1.0|KFS1028|KFS1028|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000029|1|
KFS1029|KFS1029|1.0|KFS1029|KFS1029|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000030|1|
KFS1030|KFS1030|1.0|KFS1030|KFS1030|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000031|1|
KFS1031|KFS1031|1.0|KFS1031|KFS1031|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000032|1|
KFS1032|KFS1032|1.0|KFS1032|KFS1032|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000033|1|
KFS1033|KFS1033|1.0|KFS1033|KFS1033|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000034|1|
KFS1035|KFS1035|1.0|KFS1035|KFS1035|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000036|1|
KFS1036|KFS1036|1.0|KFS1036|KFS1036|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000037|1|
KFS1037|KFS1037|1.0|KFS1037|KFS1037|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000038|1|
KFS1038|KFS1038|1.0|KFS1038|KFS1038|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000039|1|
KFS1039|KFS1039|1.0|KFS1039|KFS1039|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000040|1|
KFS1040|KFS1040|1.0|KFS1040|KFS1040|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000041|1|
KFS1041|KFS1041|1.0|KFS1041|KFS1041|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000042|1|
KFS1042|KFS1042|1.0|KFS1042|KFS1042|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000043|1|
KFS1043|KFS1043|1.0|KFS1043|KFS1043|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000044|1|
KFS1044|KFS1044|1.0|KFS1044|KFS1044|A|P|50000.0|Y|Y|20121207233011|BL-BL|0000000045|1|
KFS1045|KFS1045|1.0|KFS1045|KFS1045|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000046|1|
KFS1046|KFS1046|1.0|KFS1046|KFS1046|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000047|1|
KFS1047|KFS1047|1.0|KFS1047|KFS1047|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000048|1|
KFS1048|KFS1048|1.0|KFS1048|KFS1048|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000049|1|
KFS1049|KFS1049|1.0|KFS1049|KFS1049|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000050|1|
KFS1050|KFS1050|1.0|KFS1050|KFS1050|T|N|50000.0|Y|Y|20121207233011|BL-BL|0000000051|1|
