cg_prpsl_close_nbr|obj_id|ver_nbr|cg_last_closed_dt|cgawd_closed_cnt|cgprpsl_closed_cnt|person_user_id|cg_usr_initiate_dt|
0|237D10FAABABC0B0E043814FD881C0B0|1.0||||||
1|237D10FAABACC0B0E043814FD881C0B0|1.0|19950731000000|255.0|153.0|SPOLLARD|19950915000000|
10|237D10FAABB5C0B0E043814FD881C0B0|1.0|19960331000000|111.0|245.0|SPOLLARD|19960416000000|
100|237D10FAAC0FC0B0E043814FD881C0B0|1.0|20030331000000|158.0|267.0|ZTAN|20030422000000|
101|237D10FAAC10C0B0E043814FD881C0B0|1.0|20030430000000|170.0|276.0|ZTAN|20030522000000|
102|237D10FAAC11C0B0E043814FD881C0B0|1.0|20030531000000|200.0|363.0|EWORKMAN|20030702000000|
103|237D10FAAC12C0B0E043814FD881C0B0|1.0|20030630000000|184.0|311.0|EWORKMAN|20030801000000|
104|237D10FAAC13C0B0E043814FD881C0B0|1.0|20030731000000|326.0|335.0|EWORKMAN|20030903000000|
105|237D10FAAC14C0B0E043814FD881C0B0|1.0|20030831000000|196.0|228.0|EWORKMAN|20031014000000|
106|237D10FAAC15C0B0E043814FD881C0B0|1.0|20030831000000|0.0|2.0|MESCHICK|20031028000000|
107|237D10FAAC16C0B0E043814FD881C0B0|1.0|20030930000000|271.0|385.0|MESCHICK|20031215000000|
108|237D10FAAC17C0B0E043814FD881C0B0|1.0|20031031000000|179.0|278.0|MESCHICK|20031219000000|
109|237D10FAAC18C0B0E043814FD881C0B0|1.0|20031130000000|115.0|311.0|MESCHICK|20040206000000|
11|237D10FAABB6C0B0E043814FD881C0B0|1.0|19960430000000|116.0|216.0|SPOLLARD|19960517000000|
110|237D10FAAC19C0B0E043814FD881C0B0|1.0|20031130000000|0.0|4.0|MESCHICK|20040224000000|
111|237D10FAAC1AC0B0E043814FD881C0B0|1.0|20031231000000|176.0|255.0|MESCHICK|20040226000000|
112|237D10FAAC1BC0B0E043814FD881C0B0|1.0|20040131000000|173.0|417.0|MESCHICK|20040325000000|
113|237D10FAAC1CC0B0E043814FD881C0B0|1.0|20040229000000|141.0|364.0|MESCHICK|20040401000000|
114|237D10FAAC1DC0B0E043814FD881C0B0|1.0|20040331000000|176.0|327.0|MESCHICK|20040513000000|
115|237D10FAAC1EC0B0E043814FD881C0B0|1.0|20040331000000|0.0|3.0|MESCHICK|20040525000000|
116|237D10FAAC1FC0B0E043814FD881C0B0|1.0|20040430000000|210.0|307.0|MESCHICK|20040625000000|
117|237D10FAAC20C0B0E043814FD881C0B0|1.0|20040531000000|211.0|376.0|EWORKMAN|20040709000000|
118|237D10FAAC21C0B0E043814FD881C0B0|1.0|20040630000000|212.0|351.0|MESCHICK|20040720000000|
119|237D10FAAC22C0B0E043814FD881C0B0|1.0|20040531000000|0.0|0.0|MESCHICK|20040721000000|
12|237D10FAABB7C0B0E043814FD881C0B0|1.0|19960531000000|145.0|263.0|SPOLLARD|19960626000000|
