attr_data_id|obj_id|ver_nbr|role_mbr_id|kim_typ_id|kim_attr_defn_id|attr_val|
KFS2692|KFS2692|1.0|KFS898|36|4|KFS-CG|
KFS2693|KFS2693|1.0|KFS898|36|22|BL|
KFS2694|KFS2694|1.0|KFS898|36|24|PSY|
KFS2695|KFS2695|1.0|KFS899|36|4|KFS-FP|
KFS2696|KFS2696|1.0|KFS899|36|22|BL|
KFS2697|KFS2697|1.0|KFS899|36|24|ARSD|
KFS2698|KFS2698|1.0|KFS900|36|4|KFS-CG|
KFS2699|KFS2699|1.0|KFS900|36|22|UA|
KFS2700|KFS2700|1.0|KFS900|36|24|PUR|
KFS2701|KFS2701|1.0|KFS901|36|4|KFS-FP|
KFS2702|KFS2702|1.0|KFS901|36|22|BL|
KFS2703|KFS2703|1.0|KFS901|36|24|ANTH|
KFS2704|KFS2704|1.0|KFS902|36|4|KFS-CG|
KFS2705|KFS2705|1.0|KFS902|36|22|BL|
KFS2706|KFS2706|1.0|KFS902|36|24|VPGA|
KFS2707|KFS2707|1.0|KFS903|36|4|KFS-FP|
KFS2708|KFS2708|1.0|KFS903|36|22|BL|
KFS2709|KFS2709|1.0|KFS903|36|24|ARSD|
KFS2710|KFS2710|1.0|KFS904|28|25|N|
KFS2711|KFS2711|1.0|KFS904|28|22|UA|
KFS2712|KFS2712|1.0|KFS904|28|24|PUR|
KFS2713|KFS2713|1.0|KFS905|28|25|Y|
KFS2714|KFS2714|1.0|KFS905|28|22|UA|
KFS2715|KFS2715|1.0|KFS905|28|24|PUR|
KFS2716|KFS2716|1.0|KFS906|28|25|N|
KFS2717|KFS2717|1.0|KFS906|28|22|BL|
KFS2718|KFS2718|1.0|KFS906|28|24|ARSC|
KFS2719|KFS2719|1.0|KFS907|28|25|Y|
KFS2720|KFS2720|1.0|KFS907|28|22|BL|
KFS2721|KFS2721|1.0|KFS907|28|24|ARSC|
KFS2722|KFS2722|1.0|KFS908|28|25|N|
KFS2723|KFS2723|1.0|KFS908|28|22|UA|
KFS2724|KFS2724|1.0|KFS908|28|24|PUR|
KFS2725|KFS2725|1.0|KFS909|28|25|N|
