ca_icr_acct_gnrtd_id|obj_id|ver_nbr|fin_coa_cd|account_nbr|icr_fin_coa_cd|icr_fin_acct_nbr|acln_pct|dobj_maint_cd_actv_ind|
10000.0|AF204E1BF1DF9BC4E040007F0100096E|1.0|BL|0211608|BL|1023287|100|Y|
10001.0|AF204E1BF1E09BC4E040007F0100096E|1.0|BL|0211609|BL|1023287|100|Y|
10002.0|AF204E1BF1E19BC4E040007F0100096E|1.0|BL|0211801|BL|1023287|100|Y|
10003.0|AF204E1BF1E29BC4E040007F0100096E|1.0|BL|0211802|BL|1023287|100|Y|
10004.0|AF204E1BF1E39BC4E040007F0100096E|1.0|BL|0211803|BL|1023287|100|Y|
10005.0|AF204E1BF1E49BC4E040007F0100096E|1.0|BL|0211804|BL|1023287|100|Y|
10006.0|AF204E1BF1E59BC4E040007F0100096E|1.0|BL|0211805|BL|1023287|100|Y|
10007.0|AF204E1BF1E69BC4E040007F0100096E|1.0|BL|0211806|BL|1023287|100|Y|
10008.0|AF204E1BF1E79BC4E040007F0100096E|1.0|BL|0211807|BL|1023287|100|Y|
10009.0|AF204E1BF1E89BC4E040007F0100096E|1.0|BL|0211808|BL|1023287|100|Y|
10010.0|AF204E1BF1E99BC4E040007F0100096E|1.0|BL|0211809|BL|1023287|100|Y|
10011.0|AF204E1BF1EA9BC4E040007F0100096E|1.0|BL|1020087|BL|1031400|100|Y|
10012.0|AF204E1BF1EB9BC4E040007F0100096E|1.0|BL|1021887|BL|1031400|100|Y|
10013.0|AF204E1BF1EC9BC4E040007F0100096E|1.0|BL|0211201|BL|1023287|100|Y|
10014.0|AF204E1BF1ED9BC4E040007F0100096E|1.0|BL|0211202|BL|1023287|100|Y|
10015.0|AF204E1BF1EE9BC4E040007F0100096E|1.0|BL|0211203|BL|1023287|100|Y|
10016.0|AF204E1BF1EF9BC4E040007F0100096E|1.0|BL|0211204|BL|1023287|100|Y|
10017.0|AF204E1BF1F09BC4E040007F0100096E|1.0|BL|0211205|BL|1023287|100|Y|
10018.0|AF204E1BF1F19BC4E040007F0100096E|1.0|BL|0211206|BL|1023287|100|Y|
10019.0|AF204E1BF1F29BC4E040007F0100096E|1.0|BL|0211207|BL|1023287|100|Y|
10020.0|AF204E1BF1F39BC4E040007F0100096E|1.0|BL|0211208|BL|1023287|100|Y|
10021.0|AF204E1BF1F49BC4E040007F0100096E|1.0|BL|0211209|BL|1023287|100|Y|
10022.0|AF204E1BF1F59BC4E040007F0100096E|1.0|BL|0211401|BL|1023287|100|Y|
10023.0|AF204E1BF1F69BC4E040007F0100096E|1.0|BL|0211402|BL|1023287|100|Y|
10024.0|AF204E1BF1F79BC4E040007F0100096E|1.0|BL|0211403|BL|1023287|100|Y|
10025.0|AF204E1BF1F89BC4E040007F0100096E|1.0|BL|0211404|BL|1023287|100|Y|
10026.0|AF204E1BF1F99BC4E040007F0100096E|1.0|BL|0211405|BL|1023287|100|Y|
10027.0|AF204E1BF1FA9BC4E040007F0100096E|1.0|BL|0211406|BL|1023287|100|Y|
10028.0|AF204E1BF1FB9BC4E040007F0100096E|1.0|BL|0211407|BL|1023287|100|Y|
10029.0|AF204E1BF1FC9BC4E040007F0100096E|1.0|BL|0211408|BL|1023287|100|Y|
10030.0|AF204E1BF1FD9BC4E040007F0100096E|1.0|BL|0211409|BL|1023287|100|Y|
