fin_coa_cd|fin_obj_level_cd|obj_id|ver_nbr|fin_obj_level_nm|fin_objlvl_shrt_nm|fin_cons_obj_cd|fin_objlvl_actv_cd|fin_report_sort_cd|
BA|ACLI|014FEE34CB449BEEE043814FD8819BEE|1.0|ACCRUED LIABILITIES|ACCR LIAB|LIAB|Y|RK|
BA|ACPA|014FEE34CB459BEEE043814FD8819BEE|1.0|ACCOUNTS PAYABLE|ACCT PAY|LIAB|Y|RA|
BA|ACPY|014FEE34CB469BEEE043814FD8819BEE|1.0|ACCRUED PAYROLL|ACCR PAYROLL|LIAB|Y|RF|
BA|ACSA|014FEE34CB479BEEE043814FD8819BEE|1.0|ACADEMIC SALARIES|ACADEMIC SAL|CMPN|Y|FA|
BA|ADV|014FEE34CB489BEEE043814FD8819BEE|1.0|ADVERTISING AND PROMOTIONAL EXP|ADVERT PROMO|GENX|Y|LA|
BA|AR|014FEE34CB499BEEE043814FD8819BEE|1.0|ACCOUNTS RECEIVABLE|ACCT RECV|ASST|Y|NP|
BA|ASSE|014FEE34CB4A9BEEE043814FD8819BEE|1.0|ASSESSMENTS|ASSESSMENTS|GENX|Y|MF|
BA|BASE|014FEE34CB4B9BEEE043814FD8819BEE|1.0|ASSESMENTS EXPENDITURES|ASSESS EXP|ASEX|Y|MA|
BA|BASR|014FEE34CB4C9BEEE043814FD8819BEE|1.0|ASSESMENTS REVENUE|ASSESS REV|ASRE|Y|EF|
BA|BASS|014FEE34CB4D9BEEE043814FD8819BEE|1.0|BUDGET ASSETS|BUD ASSETS|ASST|Y|NF|
BA|BCAS|014FEE34CB4E9BEEE043814FD8819BEE|1.0|BEGINNING CASH|BEGIN CASH|OTRE|Y|AA|
BA|BCOM|014FEE34CB4F9BEEE043814FD8819BEE|1.0|BUDGET COMPENSATION|BUD COMPENSA|CMPN|Y|EV|
BA|BENF|014FEE34CB509BEEE043814FD8819BEE|1.0|BENEFITS|BENEFITS|CMPN|Y|GP|
BA|BFRE|014FEE34CB519BEEE043814FD8819BEE|1.0|BUDGET-FEE REMISSION|BUD FEE REM|SCHL|Y|GV|
BA|BGEX|014FEE34CB529BEEE043814FD8819BEE|1.0|BUDGET-GENERAL EXPENSE|BUD GEN EXP|GENX|Y|HF|
BA|BISA|014FEE34CB539BEEE043814FD8819BEE|1.0|BI-WEEKLY SALARIES|BIWEEK SAL|CMPN|Y|FV|
BA|BLIA|014FEE34CB549BEEE043814FD8819BEE|1.0|BUDGET-LIABILITY|BUD LIABILIT|LIAB|Y|PV|
BA|BNDP|014FEE34CB559BEEE043814FD8819BEE|1.0|BONDS PAYABLE|BONDS PAY|LIAB|Y|SA|
BA|BORE|014FEE34CB569BEEE043814FD8819BEE|1.0|BUDGET-OTHER REVENUE|BUD OTH REV|OTRE|Y|CP|
BA|BSTF|014FEE34CB579BEEE043814FD8819BEE|1.0|BUDGET-STUDENT FEES|BUD STU FEES|STFE|Y|AF|
BA|C&G|014FEE34CB589BEEE043814FD8819BEE|1.0|CONTRACT & GRANTS (SPONS. PROG)|C&G|OTRE|Y|CV|
BA|CAP|014FEE34CB599BEEE043814FD8819BEE|1.0|CAPITAL ASSETS|CAP ASSETS|CPTL|Y|MP|
BA|CASH|014FEE34CB5A9BEEE043814FD8819BEE|1.0|CASH|CASH|ASST|Y|NK|
BA|COMP|014FEE34CB5B9BEEE043814FD8819BEE|1.0|COMPUTING SERVICES|COMP SERV|GENX|Y|JP|
BA|CORE|014FEE34CF7A9BEEE043814FD8819BEE|1.0|ALLOTMENTS & CHARGES OUT|ALLOT/CHR:EX|TRSF|Y|DX|
BA|CORI|014FEE34CF7B9BEEE043814FD8819BEE|1.0|ALLOTMENTS & CHARGES IN|ALLOT/CHR:IN|TRSF|Y|DT|
BA|COSV|014FEE34CB5C9BEEE043814FD8819BEE|1.0|CONTRACTUAL SERVICES|CONTRACT SRV|GENX|Y|KK|
BA|CREX|014FEE34CB5D9BEEE043814FD8819BEE|1.0|COST RECOVERIES-EXPENSE|COST REC EXP|GENX|Y|JK|
BA|CRIN|014FEE34CB5E9BEEE043814FD8819BEE|1.0|COST RECOVERIES-INCOME|COST REC INC|OTRE|Y|EP|
BA|CSEQ|014FEE34CF4A9BEEE043814FD8819BEE|1.0|CASH EQUIVALENTS|CASH EQUIV|ASST|Y|CQ|
