inc_cls_cd|inc_tax_typ_cd|inc_tax_pct|obj_id|ver_nbr|row_actv_ind|
F|F|0.0|059C8C53A211EA14E043814FD881EA14|1.0|Y|
F|F|14.0|059C8C53A212EA14E043814FD881EA14|1.0|Y|
F|F|30.0|059C8C53A213EA14E043814FD881EA14|1.0|Y|
F|S|0.0|059C8C53A214EA14E043814FD881EA14|1.0|Y|
F|S|3.4|059C8C53A215EA14E043814FD881EA14|1.0|Y|
I|F|0.0|059C8C53A216EA14E043814FD881EA14|1.0|Y|
I|F|30.0|059C8C53A217EA14E043814FD881EA14|1.0|Y|
I|S|0.0|059C8C53A218EA14E043814FD881EA14|1.0|Y|
R|F|0.0|059C8C53A219EA14E043814FD881EA14|1.0|Y|
R|F|10.0|059C8C53A21AEA14E043814FD881EA14|1.0|Y|
R|F|30.0|059C8C53A21BEA14E043814FD881EA14|1.0|Y|
R|S|0.0|059C8C53A21CEA14E043814FD881EA14|1.0|Y|
