entity_id|obj_id|ver_nbr|actv_ind|last_updt_dt|
1|5B1B6B919CC96496E0404F8189D822F2|1.0|Y|20081107094902|
1100|5B97C50B03946110E0404F8189D85213|1.0|Y|20081113140635|
1131|5B97C50B03B36110E0404F8189D85213|1.0|Y|20081113140640|
KFS1000|KFS1000|1.0|Y|20121207232949|
KFS1001|KFS1001|1.0|Y|20121207232949|
KFS1002|KFS1002|1.0|Y|20121207232949|
KFS1003|KFS1003|1.0|Y|20121207232949|
KFS1004|KFS1004|1.0|Y|20121207232949|
KFS1005|KFS1005|1.0|Y|20121207232949|
KFS1006|KFS1006|1.0|Y|20121207232949|
KFS1007|KFS1007|1.0|Y|20121207232949|
KFS1008|KFS1008|1.0|Y|20121207232949|
KFS1009|KFS1009|1.0|Y|20121207232949|
KFS1010|KFS1010|1.0|Y|20121207232949|
KFS1011|KFS1011|1.0|Y|20121207232949|
KFS1012|KFS1012|1.0|Y|20121207232949|
KFS1013|KFS1013|1.0|Y|20121207232949|
KFS1014|KFS1014|1.0|Y|20121207232949|
KFS1015|KFS1015|1.0|Y|20121207232949|
KFS1016|KFS1016|1.0|Y|20121207232949|
KFS1017|KFS1017|1.0|Y|20121207232949|
KFS1018|KFS1018|1.0|Y|20121207232949|
KFS1019|KFS1019|1.0|Y|20121207232949|
KFS1020|KFS1020|1.0|Y|20121207232949|
KFS1021|KFS1021|1.0|Y|20121207232949|
KFS1022|KFS1022|1.0|Y|20121207232949|
KFS1023|KFS1023|1.0|Y|20121207232949|
KFS1024|KFS1024|1.0|Y|20121207232949|
KFS1025|KFS1025|1.0|Y|20121207232949|
KFS1026|KFS1026|1.0|Y|20121207232949|
KFS1027|KFS1027|1.0|Y|20121207232949|
KFS1028|KFS1028|1.0|Y|20121207232949|
KFS1029|KFS1029|1.0|Y|20121207232949|
KFS1030|KFS1030|1.0|Y|20121207232949|
KFS1031|KFS1031|1.0|Y|20121207232949|
KFS1032|KFS1032|1.0|Y|20121207232949|
KFS1033|KFS1033|1.0|Y|20121207232949|
KFS1035|KFS1035|1.0|Y|20121207232949|
KFS1036|KFS1036|1.0|Y|20121207232949|
KFS1037|KFS1037|1.0|Y|20121207232949|
KFS1038|KFS1038|1.0|Y|20121207232949|
KFS1039|KFS1039|1.0|Y|20121207232949|
KFS1040|KFS1040|1.0|Y|20121207232949|
KFS1041|KFS1041|1.0|Y|20121207232949|
KFS1042|KFS1042|1.0|Y|20121207232949|
KFS1043|KFS1043|1.0|Y|20121207232949|
KFS1044|KFS1044|1.0|Y|20121207232949|
KFS1045|KFS1045|1.0|Y|20121207232949|
KFS1046|KFS1046|1.0|Y|20121207232949|
KFS1047|KFS1047|1.0|Y|20121207232949|
KFS1048|KFS1048|1.0|Y|20121207232949|
KFS1049|KFS1049|1.0|Y|20121207232949|
KFS1050|KFS1050|1.0|Y|20121207232949|
KFS1052|KFS1052|1.0|Y|20121207232949|
KFS1053|KFS1053|1.0|Y|20121207232949|
KFS1054|KFS1054|1.0|Y|20121207232949|
KFS1055|KFS1055|1.0|Y|20121207232949|
KFS1056|KFS1056|1.0|Y|20121207232949|
KFS1057|KFS1057|1.0|Y|20121207232949|
KFS1058|KFS1058|1.0|Y|20121207232949|
KFS1059|KFS1059|1.0|Y|20121207232949|
KFS1060|KFS1060|1.0|Y|20121207232949|
KFS1061|KFS1061|1.0|Y|20121207232949|
KFS1062|KFS1062|1.0|Y|20121207232949|
KFS1063|KFS1063|1.0|Y|20121207232949|
KFS1064|KFS1064|1.0|Y|20121207232949|
KFS1065|KFS1065|1.0|Y|20121207232949|
KFS1066|KFS1066|1.0|Y|20121207232949|
KFS1067|KFS1067|1.0|Y|20121207232949|
KFS1068|KFS1068|1.0|Y|20121207232949|
KFS1069|KFS1069|1.0|Y|20121207232949|
KFS1070|KFS1070|1.0|Y|20121207232949|
KFS1071|KFS1071|1.0|Y|20121207232949|
KFS1072|KFS1072|1.0|Y|20121207232949|
KFS1073|KFS1073|1.0|Y|20121207232949|
KFS1074|KFS1074|1.0|Y|20121207232949|
KFS1075|KFS1075|1.0|Y|20121207232949|
KFS1076|KFS1076|1.0|Y|20121207232949|
KFS1077|KFS1077|1.0|Y|20121207232949|
KFS1078|KFS1078|1.0|Y|20121207232949|
KFS1079|KFS1079|1.0|Y|20121207232949|
KFS1080|KFS1080|1.0|Y|20121207232949|
KFS1081|KFS1081|1.0|Y|20121207232949|
KFS1082|KFS1082|1.0|Y|20121207232949|
KFS1083|KFS1083|1.0|Y|20121207232949|
KFS1084|KFS1084|1.0|Y|20121207232949|
KFS1085|KFS1085|1.0|Y|20121207232949|
KFS1086|KFS1086|1.0|Y|20121207232949|
KFS1087|KFS1087|1.0|Y|20121207232949|
KFS1088|KFS1088|1.0|Y|20121207232949|
KFS1089|KFS1089|1.0|Y|20121207232949|
KFS1090|KFS1090|1.0|Y|20121207232949|
KFS1091|KFS1091|1.0|Y|20121207232949|
KFS1092|KFS1092|1.0|Y|20121207232949|
KFS1093|KFS1093|1.0|Y|20121207232949|
KFS1094|KFS1094|1.0|Y|20121207232949|
KFS1095|KFS1095|1.0|Y|20121207232949|
KFS1096|KFS1096|1.0|Y|20121207232949|
KFS1097|KFS1097|1.0|Y|20121207232949|
KFS1098|KFS1098|1.0|Y|20121207232949|
KFS1099|KFS1099|1.0|Y|20121207232949|
KFS1100|KFS1100|1.0|Y|20121207232949|
KFS1101|KFS1101|1.0|Y|20121207232949|
KFS1102|KFS1102|1.0|Y|20121207232949|
KFS1103|KFS1103|1.0|Y|20121207232949|
KFS1104|KFS1104|1.0|Y|20121207232949|
KFS1105|KFS1105|1.0|Y|20121207232949|
KFS1106|KFS1106|1.0|Y|20121207232949|
KFS1107|KFS1107|1.0|Y|20121207232949|
KFS1108|KFS1108|1.0|Y|20121207232949|
KFS1109|KFS1109|1.0|Y|20121207232949|
KFS1110|KFS1110|1.0|Y|20121207232949|
KFS1111|KFS1111|1.0|Y|20121207232949|
KFS1112|KFS1112|1.0|Y|20121207232949|
KFS1113|KFS1113|1.0|Y|20121207232949|
KFS1114|KFS1114|1.0|Y|20121207232949|
KFS1115|KFS1115|1.0|Y|20121207232949|
KFS1117|KFS1117|1.0|Y|20121207232949|
KFS1122|KFS1122|1.0|Y|20121207232949|
KFS1123|KFS1123|1.0|Y|20121207232949|
KFS1124|KFS1124|1.0|Y|20121207232949|
KFS1125|KFS1125|1.0|Y|20121207232949|
KFS1137|KFS1137|1.0|Y|20121207232949|
KFS1138|KFS1138|1.0|Y|20121207232949|
KFS1143|KFS1143|1.0|Y|20121207232949|
KFS1146|KFS1146|1.0|Y|20121207232949|
KFS1165|KFS1165|1.0|Y|20121207232949|
