cgprpsl_nbr|fin_coa_cd|account_nbr|obj_id|ver_nbr|person_unvl_id|row_actv_ind|fnl_billed_ind|curr_lst_billed_dt|prev_lst_billed_dt|
11.0|BL|4624763|49D358CCEFE85F7AE0404F8189D8263A|1.0|5951409987|Y||||
11.0|BL|5431400|49D358CCE9C15F7AE0404F8189D8263A|1.0|3880605325|Y||||
37.0|BL|4031440|49D358CCE9C25F7AE0404F8189D8263A|1.0|3880605325|Y||||
37.0|BL|4624765|49D358CCEFE95F7AE0404F8189D8263A|1.0|1959008511|Y||||
50.0|BL|4131412|49D358CCE9C35F7AE0404F8189D8263A|1.0|3880605325|Y||||
50.0|BL|4624766|49D358CCEFEA5F7AE0404F8189D8263A|1.0|4521601311|Y||||
67.0|BL|4624769|49D358CCEFEB5F7AE0404F8189D8263A|1.0|4684100678|Y||||
67.0|BL|4831400|49D358CCE9C45F7AE0404F8189D8263A|1.0|3880605325|Y||||
73.0|BL|4624770|49D358CCEFEC5F7AE0404F8189D8263A|1.0|4446301330|Y||||
73.0|BL|4631643|49D358CCE9C55F7AE0404F8189D8263A|1.0|3880605325|Y||||
92.0|BL|4331410|49D358CCE9C65F7AE0404F8189D8263A|1.0|3880605325|Y||||
92.0|BL|4624771|49D358CCEFED5F7AE0404F8189D8263A|1.0|5631302174|Y||||
264.0|BL|4624620|49D358CCE9C75F7AE0404F8189D8263A|1.0|3880605325|Y||||
264.0|BL|4624772|49D358CCEFEE5F7AE0404F8189D8263A|1.0|1959008511|Y||||
271.0|BL|4624773|49D358CCEFEF5F7AE0404F8189D8263A|1.0|2691706557|Y||||
271.0|BL|4894705|49D358CCE9C85F7AE0404F8189D8263A|1.0|3880605325|Y||||
332.0|BL|4624774|49D358CCEFF05F7AE0404F8189D8263A|1.0|3334505644|Y||||
332.0|BL|4831470|49D358CCE9C95F7AE0404F8189D8263A|1.0|3880605325|Y||||
378.0|BL|4624775|49D358CCEFF15F7AE0404F8189D8263A|1.0|3889504703|Y||||
378.0|BL|4831471|49D358CCE9CA5F7AE0404F8189D8263A|1.0|3880605325|Y||||
458.0|BL|4624776|49D358CCEFF25F7AE0404F8189D8263A|1.0|4146202628|Y||||
458.0|BL|4831472|49D358CCE9CB5F7AE0404F8189D8263A|1.0|3880605325|Y||||
468.0|BL|4624777|49D358CCEFF35F7AE0404F8189D8263A|1.0|4146202628|Y||||
468.0|BL|4831473|49D358CCE9CC5F7AE0404F8189D8263A|1.0|3880605325|Y||||
