id|traveler_typ_cd|trip_typ_cd|mileage_rt_id|fin_object_cd|document_type|actv_ind|ver_nbr|obj_id|
1000.0|EMP|IN|1.0|6100|TA|Y|1.0|BE234170A20C217AE040540A5EFD4F43|
1001.0|NON|IN|1.0|6140|TA|Y|1.0|BE234170A20D217AE040540A5EFD4F43|
1002.0|EMP|IN|2.0|6100|TR|Y|1.0|BE234170A20F217AE040540A5EFD4F43|
1003.0|NON|IN|2.0|6140|TR|Y|1.0|BE234170A210217AE040540A5EFD4F43|
1004.0|EMP|IN|3.0|6100|ENT|Y|1.0|BE234170A212217AE040540A5EFD4F43|
1005.0|NON|IN|3.0|6140|ENT|Y|1.0|BE234170A213217AE040540A5EFD4F43|
1006.0|EMP|IN|4.0|6100|RELO|Y|1.0|BE234170A215217AE040540A5EFD4F43|
1007.0|NON|IN|4.0|6140|RELO|Y|1.0|BE234170A216217AE040540A5EFD4F43|
1008.0|EMP|OUT|5.0|6170|TA|Y|1.0|BE234170A218217AE040540A5EFD4F43|
1009.0|NON|OUT|5.0|6150|TA|Y|1.0|BE234170A219217AE040540A5EFD4F43|
1010.0|EMP|OUT|6.0|6170|TR|Y|1.0|BE234170A21B217AE040540A5EFD4F43|
1011.0|NON|OUT|6.0|6150|TR|Y|1.0|BE234170A21C217AE040540A5EFD4F43|
1012.0|EMP|OUT|7.0|6170|ENT|Y|1.0|BE234170A21E217AE040540A5EFD4F43|
1013.0|NON|OUT|7.0|6150|ENT|Y|1.0|BE234170A21F217AE040540A5EFD4F43|
1014.0|EMP|OUT|8.0|6170|RELO|Y|1.0|BE234170A221217AE040540A5EFD4F43|
1015.0|NON|OUT|8.0|6150|RELO|Y|1.0|BE234170A222217AE040540A5EFD4F43|
1016.0|EMP|INT|9.0|6250|TA|Y|1.0|BE234170A224217AE040540A5EFD4F43|
1017.0|NON|INT|9.0|6270|TA|Y|1.0|BE234170A225217AE040540A5EFD4F43|
1018.0|EMP|INT|10.0|6250|TR|Y|1.0|BE234170A227217AE040540A5EFD4F43|
1019.0|NON|INT|10.0|6270|TR|Y|1.0|BE234170A228217AE040540A5EFD4F43|
1020.0|EMP|INT|11.0|6250|ENT|Y|1.0|BE234170A22A217AE040540A5EFD4F43|
1021.0|NON|INT|11.0|6270|ENT|Y|1.0|BE234170A22B217AE040540A5EFD4F43|
1022.0|EMP|INT|12.0|6250|RELO|Y|1.0|BE234170A22D217AE040540A5EFD4F43|
1023.0|NON|INT|12.0|6270|RELO|Y|1.0|BE234170A22E217AE040540A5EFD4F43|
1024.0|EMP|IN|4.0|6140|TA|Y|1.0|BE234170A20DE17AE040540A5EFD4F43|
