position_nbr|univ_fiscal_yr|ver_nbr|pos_effdt|pos_eff_status|posn_status|budgeted_posn|confidential_posn|pos_std_hrs_dflt|pos_reg_temp|pos_fte|iu_norm_work_months|iu_pay_months|pos_descr|setid_dept|pos_deptid|rc_cd|pos_union_cd|pos_sal_plan_dflt|pos_grade_dflt|setid_jobcode|jobcode|jbcd_descr|setid_salary|iu_dflt_obj_cd|iu_position_type|pos_lock_usr_id|
00000144|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00000255|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00000258|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00000259|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00000363|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00000945|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00001001|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-RUAD|64||AC1|FTX|||||2000|AC||
00001002|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00001003|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00001004|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00001005|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00001006|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00001007|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00001010|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00001011|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00001012|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00001013|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00001014|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00001109|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00004136|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00004239|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00004464|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00004674|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00004682|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005047|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005149|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005207|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005350|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||SS|0D|||||2500|SB||
00005489|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005490|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00005491|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
