acct_icr_typ_cd|obj_id|ver_nbr|acct_icr_typ_desc|acct_icr_typ_actv_ind|
10|0C4EE51FDFEA2018E043814FD8812018|1.0|NO INDIRECT COST|Y|
11|0C4EE51FDFEB2018E043814FD8812018|1.0|INDIRECT COST ON ALL EXPENSES|Y|
12|0C4EE51FDFEC2018E043814FD8812018|1.0|INDIRECT COST ON SALARIES & WAGES ONLY|Y|
13|0C4EE51FDFED2018E043814FD8812018|1.0|EXCLUDE FEES|Y|
14|0C4EE51FDFEE2018E043814FD8812018|1.0|EXCLUDE FEES, SUBCONTRACTS|Y|
15|0C4EE51FDFEF2018E043814FD8812018|1.0|EXCLUDE EQUIPMENT|Y|
16|0C4EE51FDFF02018E043814FD8812018|1.0|EXCLUDE STIPENDS|Y|
17|0C4EE51FDFF12018E043814FD8812018|1.0|EXCLUDE STIPENDS, SUBCONTRACTS|Y|
18|0C4EE51FDFF22018E043814FD8812018|1.0|EXCLUDE FEES, EQUIPMENT, STIPENDS|Y|
19|0C4EE51FDFF32018E043814FD8812018|1.0|EXCLUDE EQPT, STIPENDS, SUBCONTRACTS|Y|
20|0C4EE51FDFF42018E043814FD8812018|1.0|EXCLUDE EQUIPMENT, SUBCONTRACTS|Y|
21|0C4EE51FDFF52018E043814FD8812018|1.0|EXCLUDE FEES,EQPT,STIP,SUB,PAT CARE, HSP|Y|
22|0C4EE51FDFF62018E043814FD8812018|1.0|EXCLUDE FEE, EQPT, STIP, SUB, RENT, HSP|Y|
23|0C4EE51FDFF72018E043814FD8812018|1.0|EXCLUDE FEES, EQPT, STIP, SUBS, SOFTWARE|Y|
24|0C4EE51FDFF82018E043814FD8812018|1.0|EXCLUDE EQUIPMENT, SUBCONTRACTS, SOFTWAR|Y|
25|0C4EE51FDFF92018E043814FD8812018|1.0|EXCLUDE FEES,EQPT,PERSONAL SERV,SUBCTRS|Y|
26|0C4EE51FDFFA2018E043814FD8812018|1.0|EXCLUDE EQPT,NON-EMPLOYEE,TRANSPORTATION|Y|
27|0C4EE51FDFFB2018E043814FD8812018|1.0|EXCLUDE EQUIPMENT, FEES|Y|
28|0C4EE51FDFFC2018E043814FD8812018|1.0|EXCLUDE IRB|Y|
29|0C4EE51FDFFD2018E043814FD8812018|1.0|EXCLUDE SALARIES, FRINGES|Y|
30|0C4EE51FDFFE2018E043814FD8812018|1.0|EXCLUDE STUDENT FEES,HEALTH INS,EQPT|Y|
31|0C4EE51FDFFF2018E043814FD8812018|1.0|EXCLUDE PARTICIPANT|Y|
32|0C4EE51FE0002018E043814FD8812018|1.0|EXCLUDE FEES,EQPT,STIP,SUBCTRS,CONT SER|Y|
33|0C4EE51FE0012018E043814FD8812018|1.0|EXCLUDE PAT CARE,IRB,HOSPITAL,& SUBCTRS|Y|
34|0C4EE51FE0022018E043814FD8812018|1.0|EXCLUDE FEES,EQPT,STIP,SUBCTRS|Y|
35|0C4EE51FE0032018E043814FD8812018|1.0|EXCLUDE FEE,EQ,STIP,SUB,PATCARE,HSP,PHAR|Y|
36|455C71367B9AD7CEE0404F8189D80F60|1.0|INDIRECT ON SAL,WAGE,FEL,PRIZE,AWDS ONLY|Y|
