fin_coa_cd|account_nbr|obj_id|ver_nbr|account_nm|acct_fsc_ofc_uid|acct_spvsr_unvl_id|acct_mgr_unvl_id|org_cd|acct_typ_cd|acct_phys_cmp_cd|sub_fund_grp_cd|acct_frng_bnft_cd|fin_hgh_ed_func_cd|acct_rstrc_stat_cd|acct_rstrc_stat_dt|acct_city_nm|acct_state_cd|acct_street_addr|acct_zip_cd|rpts_to_fin_coa_cd|rpts_to_acct_nbr|acct_create_dt|acct_effect_dt|acct_expiration_dt|cont_fin_coa_cd|cont_account_nbr|endow_fin_coa_cd|endow_account_nbr|contr_ctrl_fcoa_cd|contr_ctrlacct_nbr|income_fin_coa_cd|income_account_nbr|acct_icr_typ_cd|ac_cstm_icrexcl_cd|fin_series_id|icr_fin_coa_cd|icr_account_nbr|acct_in_fp_cd|bdgt_rec_lvl_cd|acct_sf_cd|acct_pnd_sf_cd|fin_ext_enc_sf_cd|fin_int_enc_sf_cd|fin_pre_enc_sf_cd|fin_obj_prsctrl_cd|cg_cfda_nbr|acct_off_cmp_ind|acct_closed_ind|
BA|6044900|014C92B069D1A16EE043814FD881A16E|1.0|PARKING OPERATION|3771403079|4219606069|3771403079|PARK|RA|BL|AUXENT|Y|AUX|U||BLOOMINGTON|IN|Franklin Hall 006|47405|BL||19760701000000|19760701000000||||||||BA|6044900||||||N|O|N|N|N|N|N|N||N|N|
BA|6044901|014C92B069D2A16EE043814FD881A16E|1.0|PARKING OPERATION SUB|3771403079|4219606069|3771403079|PARK|RA|BL|AUXENT|Y|AUX|U||BLOOMINGTON|IN|FRANKLIN HALL 006|47405|BA|6044900|19760701000000|19760701000000|19990301000000|BA|6044900|||||BA|6044901||||||N|O|N|N|N|N|N|N||N|Y|
BA|6044906|014C92B069D3A16EE043814FD881A16E|1.0|PARKING OPERATION ENFORCE|3771403079|4219606069|3771403079|PARK|RA|BL|AUXENT|Y|AUX|U||BLOOMINGTON|IN|Franklin Hall 006|47405|BL||19780915000000|19780915000000||||||||BA|6044906||||||N|O|N|N|N|N|N|N||N|N|
BA|6044909|014C92B069D4A16EE043814FD881A16E|1.0|PARKING-CAR POOL PROGRAM|3771403079|4219606069|3771403079|PARK|RA|BL|AUXENT|Y|AUX|U||BLOOMINGTON|IN|FRANKLIN HALL 006|47405|BL||19931217000000|19931117000000|20040607000000|BA|6044900|||||BA|6044909||||||N|O|N|N|N|N|N|N||N|Y|
BA|6044913|014C92B069D5A16EE043814FD881A16E|1.0|PARKING-4TH AND DUNN|3771403079|4219606069|3771403079|PARK|RA|BL|AUXENT|Y|AUX|U||BLOOMINGTON|IN|FRANKLIN HALL 006|47405|BL||19910723000000|19910723000000||||||||BA|6044913||||||N|O|N|N|N|N|N|N||N|N|
BA|9012025|014C92B06C07A16EE043814FD881A16E|1.0|BAND PRACTICE PARKING LOT IMPROVE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20030516000000|20030516000000||||||||BA|9012025||||||N|O|N|N|N|N|N|N||N|N|
BA|9019993|014C92B06C41A16EE043814FD881A16E|1.0|EIGENMAN HALL PARKING GARAGE|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|N||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20050128000000|20050128000000||||||||BA|9019993||||||N|O|N|N|N|N|N|N||N|N|
BA|9019995|014C92B06C22A16EE043814FD881A16E|1.0|ASSEMBLY HALL SOUTH PARKING LOT|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20040212000000|20040212000000||||||||BA|9019995||||||N|O|N|N|N|N|N|N||N|N|
BA|9019996|014C92B06C08A16EE043814FD881A16E|1.0|ALUMNI PARKING AREA IMPROVEMENTS|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20030612000000|20030612000000||||||||BA|9019996||||||N|O|N|N|N|N|N|N||N|N|
BA|9020174|014C92B06BF6A16EE043814FD881A16E|1.0|CAMPUS PARKING LOTS RESTORATION|6090605470|3895100501|6090605470|PARK|NA|BL|PFCMR|Y|NA|U||BLOOMINGTON|IN|CARMICHAEL CENTER|47408|||20021216000000|20021216000000||||||||BA|9020174||||||N|O|N|N|N|N|N|N||N|N|
