postal_cntry_cd|postal_cd|tax_region_cd|obj_id|ver_nbr|actv_ind|
US|85034|14|5ACF22CFC6214AB0E0404F8189D87AB9|1.0|Y|
US|85224|13|5ACF22CFC6204AB0E0404F8189D87AB9|1.0|Y|
US|85546|11|5ACF22CFC61F4AB0E0404F8189D87AB9|1.0|Y|
US|85613|8|5ACF22CFC61D4AB0E0404F8189D87AB9|1.0|Y|
US|85721|7|5ACF22CFC61C4AB0E0404F8189D87AB9|1.0|Y|
US|85721-4567|7|CC6E3F4348638716E040540A891E6701|1.0|Y|
US|86004|10|5ACF22CFC61E4AB0E0404F8189D87AB9|1.0|Y|
US|90704|1|5ACF22CFC61B4AB0E0404F8189D87AB9|1.0|Y|
US|91710|15|6B64AB2CF60A9938E0404F8189D824B6|1.0|Y|
US|92627|1|6B64AB2CF6089938E0404F8189D824B6|1.0|Y|
US|92697|1|6B777BA5EEC4DB84E0404F8189D80749|1.0|Y|
US|93033|1|6B64AB2CF6099938E0404F8189D824B6|1.0|Y|
US|95616|1|5ACF22CFC6194AB0E0404F8189D87AB9|1.0|Y|
US|95618|1|5ACF22CFC6184AB0E0404F8189D87AB9|1.0|Y|
US|95776|3|5ACF22CFC61A4AB0E0404F8189D87AB9|1.0|Y|
