doc_typ_id|ver_nbr|obj_id|doc_typ_nm|actv_ind|
1.0|1.0|B9FCFDCDD127E704E040540A5EFD3B6D|AA|Y|
2.0|1.0|B9FCFDCDD128E704E040540A5EFD3B6D|MPAY|Y|
3.0|1.0|B9FCFDCDD129E704E040540A5EFD3B6D|AD|Y|
4.0|1.0|B9FCFDCDD12AE704E040540A5EFD3B6D|CR|Y|
5.0|1.0|B9FCFDCDD12BE704E040540A5EFD3B6D|CCR|Y|
6.0|1.0|B9FCFDCDD12CE704E040540A5EFD3B6D|DI|Y|
7.0|1.0|B9FCFDCDD12DE704E040540A5EFD3B6D|DV|Y|
8.0|1.0|B9FCFDCDD12EE704E040540A5EFD3B6D|GEC|Y|
9.0|1.0|B9FCFDCDD12FE704E040540A5EFD3B6D|IB|Y|
10.0|1.0|B9FCFDCDD130E704E040540A5EFD3B6D|JV|Y|
11.0|1.0|B9FCFDCDD131E704E040540A5EFD3B6D|SB|Y|
12.0|1.0|B9FCFDCDD132E704E040540A5EFD3B6D|YEDI|Y|
13.0|1.0|B9FCFDCDD133E704E040540A5EFD3B6D|YEGE|Y|
14.0|1.0|B9FCFDCDD134E704E040540A5EFD3B6D|PCDO|Y|
15.0|1.0|B9FCFDCDD135E704E040540A5EFD3B6D|PREQ|Y|
16.0|1.0|B9FCFDCDD136E704E040540A5EFD3B6D|CM|Y|
17.0|1.0|B9FCFDCDD137E704E040540A5EFD3B6D|ND|Y|
