rte_brch_proto_id|brch_nm|ver_nbr|
2422|ApprovalBranch|130.0|
2990|True|4.0|
2994|False|2.0|
3016|True|8.0|
3022|False|2.0|
3078|True|2.0|
3081|False|2.0|
3086|True|4.0|
3089|False|4.0|
3093|True|8.0|
3096|False|8.0|
3101|True|16.0|
3104|False|16.0|
3123|True|2.0|
3126|False|2.0|
3131|True|2.0|
3134|False|2.0|
3143|True|4.0|
3147|False|2.0|
3152|True|2.0|
3155|False|2.0|
3158|True|4.0|
3161|False|8.0|
3167|True|2.0|
3170|False|2.0|
3204|True|2.0|
3207|False|2.0|
3211|True|4.0|
3214|False|4.0|
3219|True|4.0|
3223|False|2.0|
3242|True|2.0|
3245|False|2.0|
3248|True|4.0|
3251|False|4.0|
3254|True|8.0|
3257|False|8.0|
3271|True|2.0|
3274|False|2.0|
3293|True|2.0|
3296|False|2.0|
3303|True|4.0|
3306|False|4.0|
3311|True|18.0|
3314|False|18.0|
3318|True|36.0|
3321|False|36.0|
3324|True|72.0|
3327|False|72.0|
3330|True|144.0|
3333|False|144.0|
3338|True|2.0|
3341|False|2.0|
3362|True|2.0|
3365|False|2.0|
3371|True|2.0|
3374|False|2.0|
3377|True|4.0|
3380|False|4.0|
3386|True|8.0|
3389|False|8.0|
3394|True|2.0|
3397|False|2.0|
3402|True|16.0|
3405|False|16.0|
3414|True|2.0|
3417|False|2.0|
3422|True|4.0|
3425|False|4.0|
3430|True|8.0|
3433|False|8.0|
3436|True|16.0|
3439|False|16.0|
3445|True|2.0|
3448|False|2.0|
3451|True|4.0|
3454|False|4.0|
3458|True|8.0|
3461|False|8.0|
3464|True|16.0|
3467|False|16.0|
3470|True|32.0|
3473|False|32.0|
3476|True|64.0|
3479|False|64.0|
3484|True|128.0|
3487|False|128.0|
3490|True|256.0|
3493|False|256.0|
3498|True|2.0|
3501|False|2.0|
3508|True|2.0|
3511|False|2.0|
3514|True|4.0|
3517|False|4.0|
3520|True|8.0|
3523|False|8.0|
3526|True|16.0|
3529|False|16.0|
3532|True|32.0|
3535|False|32.0|
3538|True|64.0|
3541|False|64.0|
3544|True|128.0|
3547|False|128.0|
3550|True|256.0|
3553|False|256.0|
3556|True|512.0|
3559|False|512.0|
3562|True|1024.0|
3565|False|1024.0|
3568|True|2048.0|
3571|False|2048.0|
3580|True|2.0|
3583|False|2.0|
3590|True|2.0|
3593|False|2.0|
3596|True|4.0|
3599|False|4.0|
3603|True|8.0|
3606|False|8.0|
3612|True|16.0|
3615|False|16.0|
3618|True|32.0|
3621|False|32.0|
