kemid|sec_id|regis_cd|hldg_lot_nbr|hldg_ip_ind|hldg_units|hldg_cost|hldg_acqd_dt|hldg_prior_acrd_inc|hldg_acrd_inc_due|last_tran_dt|obj_id|ver_nbr|
032A017014|094420981|0NI|1.0|I|20.0|10000.0|20051101000000|0.0|0.0|20020627000000|84114A077E09D38EE0404F8189D83D5B|1.0|
032A017014|99MMKT013|0AI|1.0|I|282586.0|282586.0|20091123000000|0.0|0.0|20091123000000|84114A077E0AD38EE0404F8189D83D5B|1.0|
032A017014|99PSTF018|0AI|1.0|I|23123.0|23123.0|20091210000000|1.2|0.0|20091210000000|84114A077E0BD38EE0404F8189D83D5B|1.0|
032A017014|REHUNT017|REI|1.0|I|10000.0|10000.0|20080930000000|0.0|0.0|20080930000000|84114A077E0CD38EE0404F8189D83D5B|1.0|
032AS06149|99PLTF013|0CI|1.0|I|2012.0|1963.85|20051101000000|0.0|0.0|20040226000000|84114A077E0DD38EE0404F8189D83D5B|1.0|
032AS06149|99PSTF018|0AI|1.0|I|488.0|488.0|20091201000000|0.09|0.0|20091201000000|84114A077E0ED38EE0404F8189D83D5B|1.0|
032AS08053|99PLTF013|0CI|1.0|I|8163.0|8850.73|20051101000000|0.0|0.0|20000228000000|84114A077E0FD38EE0404F8189D83D5B|1.0|
032AS08053|99PSTF018|0AI|1.0|I|33997.0|33997.0|20091209000000|6.8|0.0|20091209000000|84114A077E10D38EE0404F8189D83D5B|1.0|
032AS11040|99PLTF013|0CI|1.0|I|4111.0|4404.53|20051101000000|0.0|0.0|20071025000000|84114A077E11D38EE0404F8189D83D5B|1.0|
032AS11040|99PSTF018|0AI|1.0|I|15714.0|15714.0|20091201000000|3.39|0.0|20091201000000|84114A077E12D38EE0404F8189D83D5B|1.0|
032B011354|99PSTF018|0AI|1.0|I|26279.0|26279.0|20091001000000|5.38|0.0|20091001000000|84114A077E13D38EE0404F8189D83D5B|1.0|
032D008242|99PSTF018|0AI|1.0|I|3949.0|3949.0|20091001000000|0.81|0.0|20091001000000|84114A077E14D38EE0404F8189D83D5B|1.0|
032L006015|99PLTF013|0CI|1.0|I|264110.0|297207.27|20070425000000|0.0|0.0|20070425000000|84114A077E15D38EE0404F8189D83D5B|1.0|
032L006015|99PSTF018|0AI|1.0|I|112930.0|112930.0|20091210000000|21.87|0.0|20091210000000|84114A077E16D38EE0404F8189D83D5B|1.0|
032L006098|99PSTF018|0AI|1.0|I|22461.0|22461.0|20091130000000|4.21|0.0|20091130000000|84114A077E17D38EE0404F8189D83D5B|1.0|
032P002085|99PSTF018|0AI|1.0|I|4109.0|4109.0|20091120000000|0.84|0.0|20091120000000|84114A077E18D38EE0404F8189D83D5B|1.0|
032P002101|99PSTF018|0AI|1.0|I|227.0|227.0|20091120000000|0.03|0.0|20091120000000|84114A077E19D38EE0404F8189D83D5B|1.0|
032P011045|99PLTF013|0CI|1.0|I|2651.0|2773.24|20091125000000|0.0|0.0|20091125000000|84114A077E1AD38EE0404F8189D83D5B|1.0|
032P011045|99PSTF018|0AI|1.0|I|11.0|11.0|20091201000000|0.06|0.0|20091201000000|84114A077E1BD38EE0404F8189D83D5B|1.0|
037A014184|99PLTF021|0CP|1.0|P|25914.0|25973.99|20090325000000|0.0|0.0|20090325000000|84114A077E1CD38EE0404F8189D83D5B|1.0|
037A017013|99PLTF013|0CI|1.0|I|74918.0|88391.25|20051101000000|0.0|0.0|20001127000000|84114A077E1DD38EE0404F8189D83D5B|1.0|
037A017013|99PLTF021|0CP|1.0|P|2.0578908E7|2.10864529E7|20091225000000|0.0|0.0|20091225000000|84114A077E1ED38EE0404F8189D83D5B|1.0|
037A017013|99PSTF018|0AI|1.0|I|2578445.0|2578445.0|20091205000000|440.45|0.0|20091206000000|84114A077E1FD38EE0404F8189D83D5B|1.0|
037AS12302|99PLTF021|0CP|1.0|P|253822.0|301006.95|20090925000000|0.0|0.0|20090925000000|84114A077E20D38EE0404F8189D83D5B|1.0|
037AS12302|99PSTF018|0AI|1.0|I|32464.0|32464.0|20091201000000|5.92|0.0|20091201000000|84114A077E21D38EE0404F8189D83D5B|1.0|
037AS34082|99PLTF021|0CP|1.0|P|113013.0|140388.55|20081025000000|0.0|0.0|20081025000000|84114A077E22D38EE0404F8189D83D5B|1.0|
037AS34082|99PSTF018|0AI|1.0|I|19352.0|19352.0|20091201000000|3.64|0.0|20091201000000|84114A077E23D38EE0404F8189D83D5B|1.0|
037AS35022|99PLTF021|0CP|1.0|P|6147.0|6147.0|20051101000000|0.0|0.0|19980128000000|84114A077E24D38EE0404F8189D83D5B|1.0|
037AS35022|99PSTF018|0AI|1.0|I|633.0|633.0|20091201000000|0.11|0.0|20091201000000|84114A077E25D38EE0404F8189D83D5B|1.0|
037AS36012|99PLTF021|0CP|1.0|P|3927.0|3949.18|20081125000000|0.0|0.0|20081125000000|84114A077E26D38EE0404F8189D83D5B|1.0|
037AS36012|99PSTF018|0AI|1.0|I|987.0|987.0|20091201000000|0.19|0.0|20091201000000|84114A077E27D38EE0404F8189D83D5B|1.0|
037AS38026|99PLTF013|0CI|1.0|I|4479.0|4479.0|20051101000000|0.0|0.0|20030919000000|84114A077E28D38EE0404F8189D83D5B|1.0|
037AS38026|99PLTF021|0CP|1.0|P|1023447.0|1046592.08|20051101000000|0.0|0.0|20030919000000|84114A077E29D38EE0404F8189D83D5B|1.0|
037AS38026|99PSTF018|0AI|1.0|I|128155.0|128155.0|20091201000000|23.3|0.0|20091201000000|84114A077E2AD38EE0404F8189D83D5B|1.0|
037AS54239|99PLTF021|0CP|1.0|P|40049.0|52541.76|20090825000000|0.0|0.0|20090825000000|84114A077E2BD38EE0404F8189D83D5B|1.0|
037AS54239|99PSTF018|0AI|1.0|I|4743.0|4743.0|20091201000000|0.86|0.0|20091201000000|84114A077E2CD38EE0404F8189D83D5B|1.0|
037B011AG1|99PLTF021|0CP|1.0|P|9337.0|9579.73|20091225000000|0.0|0.0|20091225000000|84114A077E2DD38EE0404F8189D83D5B|1.0|
037B012161|99PLTF021|0CP|1.0|P|692005.0|599999.5|20051101000000|0.0|0.0|20030528000000|84114A077E2ED38EE0404F8189D83D5B|1.0|
037B012161|99PSTF018|0AI|1.0|I|261487.0|261487.0|20091201000000|51.58|0.0|20091201000000|84114A077E2FD38EE0404F8189D83D5B|1.0|
037E009701|99PLTF021|0CP|1.0|P|16506.0|21004.07|20091125000000|0.0|0.0|20091125000000|84114A077E30D38EE0404F8189D83D5B|1.0|
037E009701|99PSTF018|0AI|1.0|I|11562.0|11562.0|20091201000000|2.32|0.0|20091201000000|84114A077E31D38EE0404F8189D83D5B|1.0|
037E009727|99PLTF021|0CP|1.0|P|128280.0|107956.85|20091225000000|0.0|0.0|20091225000000|84114A077E32D38EE0404F8189D83D5B|1.0|
037E009727|99PSTF018|0AI|1.0|I|18854.0|18854.0|20091201000000|3.88|0.0|20091206000000|84114A077E33D38EE0404F8189D83D5B|1.0|
037F002010|99PLTF021|0CP|1.0|P|19149.0|19149.0|20051101000000|0.0|0.0|20030424000000|84114A077E34D38EE0404F8189D83D5B|1.0|
037F002010|99PSTF018|0AI|1.0|I|20417.0|20417.0|20091201000000|4.17|0.0|20091208000000|84114A077E35D38EE0404F8189D83D5B|1.0|
037G003785|99PLTF021|0CP|1.0|P|538900.0|574655.72|20051101000000|0.0|0.0|20011226000000|84114A077E36D38EE0404F8189D83D5B|1.0|
037G030812|99PLTF021|0CP|1.0|P|29294.0|27359.31|20091125000000|0.0|0.0|20091125000000|84114A077E37D38EE0404F8189D83D5B|1.0|
037G030812|99PSTF018|0AI|1.0|I|9251.0|9251.0|20091201000000|1.82|0.0|20091201000000|84114A077E38D38EE0404F8189D83D5B|1.0|
037H004261|99PLTF021|0CP|1.0|P|24760.0|26898.5|20090925000000|0.0|0.0|20090925000000|84114A077E39D38EE0404F8189D83D5B|1.0|
037H004261|99PSTF018|0AI|1.0|I|2928.0|2928.0|20091201000000|0.42|0.0|20091201000000|84114A077E3AD38EE0404F8189D83D5B|1.0|
037I002512|99PLTF021|0CP|1.0|P|55650.0|57724.64|20091225000000|0.0|0.0|20091225000000|84114A077E3BD38EE0404F8189D83D5B|1.0|
037I002512|99PSTF018|0AI|1.0|I|4634.0|4634.0|20091201000000|0.79|0.0|20091201000000|84114A077E3CD38EE0404F8189D83D5B|1.0|
037K008284|99PLTF013|0CI|1.0|I|2050.0|2050.0|20051101000000|0.0|0.0|20040726000000|84114A077E3DD38EE0404F8189D83D5B|1.0|
037K008284|99PLTF021|0CP|1.0|P|310135.0|318280.87|20091125000000|0.0|0.0|20091125000000|84114A077E3ED38EE0404F8189D83D5B|1.0|
037K008284|99PSTF018|0AI|1.0|I|14665.0|14665.0|20091201000000|2.11|0.0|20091201000000|84114A077E3FD38EE0404F8189D83D5B|1.0|
037L006493|99OTHER14|MAP|1.0|P|13500.0|13500.0|20080930000000|0.0|0.0|20080930000000|84114A077E40D38EE0404F8189D83D5B|1.0|
037L006493|99PLTF013|0CI|1.0|I|53330.0|55986.89|20051101000000|0.0|0.0|20080425000000|84114A077E41D38EE0404F8189D83D5B|1.0|
037L006493|99PLTF021|0CP|1.0|P|221721.0|221721.0|20051101000000|0.0|0.0|19980224000000|84114A077E42D38EE0404F8189D83D5B|1.0|
037L006493|99PSTF018|0AI|1.0|I|27230.0|27230.0|20091201000000|4.79|0.0|20091201000000|84114A077E43D38EE0404F8189D83D5B|1.0|
037L006709|99PLTF021|0CP|1.0|P|105147.0|121954.51|20091225000000|0.0|0.0|20091225000000|84114A077E44D38EE0404F8189D83D5B|1.0|
037MDER022|99PLTF013|0CI|1.0|I|37652.0|46192.32|20080325000000|0.0|0.0|20080325000000|84114A077E45D38EE0404F8189D83D5B|1.0|
037MDER022|99PLTF021|0CP|1.0|P|404406.0|427205.56|20091125000000|0.0|0.0|20091125000000|84114A077E46D38EE0404F8189D83D5B|1.0|
037MDER022|99PSTF018|0AI|1.0|I|26225.0|26225.0|20091201000000|4.25|0.0|20091201000000|84114A077E47D38EE0404F8189D83D5B|1.0|
037MDSL103|99PLTF013|0CI|1.0|I|1697.0|1862.39|20060825000000|0.0|0.0|20060825000000|84114A077E48D38EE0404F8189D83D5B|1.0|
037MDSL103|99PLTF021|0CP|1.0|P|143821.0|146260.1|20091125000000|0.0|0.0|20091125000000|84114A077E49D38EE0404F8189D83D5B|1.0|
037MDSL103|99PSTF018|0AI|1.0|I|9902.0|9902.0|20091201000000|2.41|0.0|20091202000000|84114A077E4AD38EE0404F8189D83D5B|1.0|
037MMED197|99PLTF013|0CI|1.0|I|34623.0|36172.59|20051101000000|0.0|0.0|20040628000000|84114A077E4BD38EE0404F8189D83D5B|1.0|
037MMED197|99PLTF021|0CP|1.0|P|118959.0|130998.13|20091125000000|0.0|0.0|20091125000000|84114A077E4CD38EE0404F8189D83D5B|1.0|
037MMED197|99PSTF018|0AI|1.0|I|26184.0|26184.0|20091201000000|4.93|0.0|20091201000000|84114A077E4DD38EE0404F8189D83D5B|1.0|
037MPHC132|99PLTF021|0CP|1.0|P|87955.0|99124.57|20091125000000|0.0|0.0|20091125000000|84114A077E4ED38EE0404F8189D83D5B|1.0|
037MPHC132|99PSTF018|0AI|1.0|I|11016.0|11016.0|20091201000000|2.13|0.0|20091204000000|84114A077E4FD38EE0404F8189D83D5B|1.0|
037O009148|99PLTF013|0CI|1.0|I|19.0|19.78|20051101000000|0.0|0.0|20020128000000|84114A077E50D38EE0404F8189D83D5B|1.0|
037O009148|99PLTF021|0CP|1.0|P|11660.0|12032.68|20090925000000|0.0|0.0|20090925000000|84114A077E51D38EE0404F8189D83D5B|1.0|
037O009148|99PSTF018|0AI|1.0|I|1591.0|1591.0|20091201000000|0.4|0.0|20091201000000|84114A077E52D38EE0404F8189D83D5B|1.0|
037P003108|99PLTF021|0CP|1.0|P|19347.0|23651.98|20081125000000|0.0|0.0|20081125000000|84114A077E53D38EE0404F8189D83D5B|1.0|
037P003108|99PSTF018|0AI|1.0|I|1553.0|1553.0|20091201000000|0.26|0.0|20091201000000|84114A077E54D38EE0404F8189D83D5B|1.0|
037P004148|99PLTF021|0CP|1.0|P|412307.0|434271.91|20091225000000|0.0|0.0|20091225000000|84114A077E55D38EE0404F8189D83D5B|1.0|
037P004148|99PSTF018|0AI|1.0|I|43603.0|43603.0|20091201000000|8.13|0.0|20091201000000|84114A077E56D38EE0404F8189D83D5B|1.0|
037P011291|99PLTF013|0CI|1.0|I|209.0|238.74|20061127000000|0.0|0.0|20061127000000|84114A077E57D38EE0404F8189D83D5B|1.0|
037P011291|99PLTF021|0CP|1.0|P|18937.0|20084.02|20091125000000|0.0|0.0|20091125000000|84114A077E58D38EE0404F8189D83D5B|1.0|
037P011291|99PSTF018|0AI|1.0|I|1360.0|1360.0|20091201000000|0.22|0.0|20091201000000|84114A077E59D38EE0404F8189D83D5B|1.0|
037P011291|99PSTF034|0AP|1.0|P|0.0|0.0|20091116000000|0.01|0.0|20091125000000|84114A077E5AD38EE0404F8189D83D5B|1.0|
037RQ04222|99PLTF021|0CP|1.0|P|12647.0|12927.67|20081125000000|0.0|0.0|20081125000000|84114A077E5BD38EE0404F8189D83D5B|1.0|
037RQ04222|99PSTF018|0AI|1.0|I|1202.0|1202.0|20091201000000|0.21|0.0|20091201000000|84114A077E5CD38EE0404F8189D83D5B|1.0|
037RQ04222|99PSTF034|0AP|1.0|P|0.0|0.0|20070329000000|0.41|0.0|20070501000000|84114A077E5DD38EE0404F8189D83D5B|1.0|
037RT04333|99PLTF021|0CP|1.0|P|9266.0|9777.2|20091225000000|0.0|0.0|20091225000000|84114A077E5ED38EE0404F8189D83D5B|1.0|
037RT04333|99PSTF018|0AI|1.0|I|1922.0|1922.0|20091201000000|0.37|0.0|20091201000000|84114A077E5FD38EE0404F8189D83D5B|1.0|
037RT04333|99PSTF034|0AP|1.0|P|0.0|0.0|20091209000000|0.05|0.0|20091225000000|84114A077E60D38EE0404F8189D83D5B|1.0|
037S012056|99PLTF021|0CP|1.0|P|42285.0|40968.99|20090425000000|0.0|0.0|20090425000000|84114A077E61D38EE0404F8189D83D5B|1.0|
037S012056|99PSTF018|0AI|1.0|I|6813.0|6813.0|20091201000000|1.27|0.0|20091201000000|84114A077E62D38EE0404F8189D83D5B|1.0|
037S012056|99PSTF034|0AP|1.0|P|0.0|0.0|20090330000000|0.12|0.0|20090501000000|84114A077E63D38EE0404F8189D83D5B|1.0|
037SC00501|99PLTF021|0CP|1.0|P|125014.0|121292.51|20090725000000|0.0|0.0|20090725000000|84114A077E64D38EE0404F8189D83D5B|1.0|
037SC00501|99PSTF018|0AI|1.0|I|10472.0|10472.0|20091201000000|1.79|0.0|20091201000000|84114A077E65D38EE0404F8189D83D5B|1.0|
037SC00501|99PSTF034|0AP|1.0|P|0.0|0.0|20090720000000|0.23|0.0|20090801000000|84114A077E66D38EE0404F8189D83D5B|1.0|
037V009140|99PLTF013|0CI|1.0|I|312.0|350.66|20051101000000|0.0|0.0|20010626000000|84114A077E67D38EE0404F8189D83D5B|1.0|
037V009140|99PLTF021|0CP|1.0|P|10484.0|11269.78|20081225000000|0.0|0.0|20081225000000|84114A077E68D38EE0404F8189D83D5B|1.0|
037V009140|99PSTF018|0AI|1.0|I|3342.0|3342.0|20091201000000|0.65|0.0|20091201000000|84114A077E69D38EE0404F8189D83D5B|1.0|
037V009140|99PSTF034|0AP|1.0|P|0.0|0.0|20081222000000|0.02|0.0|20090101000000|84114A077E6AD38EE0404F8189D83D5B|1.0|
037V010080|99PLTF013|0CI|1.0|I|7422.0|8166.89|20071025000000|0.0|0.0|20071025000000|84114A077E6BD38EE0404F8189D83D5B|1.0|
037V010080|99PLTF021|0CP|1.0|P|86528.0|100320.0|20051101000000|0.0|0.0|20010926000000|84114A077E6CD38EE0404F8189D83D5B|1.0|
037V010080|99PSTF018|0AI|1.0|I|3512.0|3512.0|20091201000000|1.27|0.0|20091201000000|84114A077E6DD38EE0404F8189D83D5B|1.0|
037WHMM024|99PLTF021|0CP|1.0|P|269322.0|320334.58|20060225000000|0.0|0.0|20060226000000|84114A077E6ED38EE0404F8189D83D5B|1.0|
037WHMM024|99PSTF018|0AI|1.0|I|27447.0|27447.0|20091201000000|4.85|0.0|20091201000000|84114A077E6FD38EE0404F8189D83D5B|1.0|
037X002044|99PLTF013|0CI|1.0|I|239.0|283.19|20051101000000|0.0|0.0|20070625000000|84114A077E70D38EE0404F8189D83D5B|1.0|
037X002044|99PLTF021|0CP|1.0|P|586760.0|586760.0|20051101000000|0.0|0.0|19980128000000|84114A077E71D38EE0404F8189D83D5B|1.0|
037X002044|99PSTF018|0AI|1.0|I|17964.0|17964.0|20091201000000|1.99|0.0|20091201000000|84114A077E72D38EE0404F8189D83D5B|1.0|
038A017011|99MMKT013|0AI|1.0|I|401512.0|401512.0|20091123000000|0.0|0.0|20091123000000|84114A077E73D38EE0404F8189D83D5B|1.0|
038A017011|99PLTF021|0CP|1.0|P|4717403.0|5820548.38|20080825000000|0.0|0.0|20080825000000|84114A077E74D38EE0404F8189D83D5B|1.0|
038A017011|99PSTF018|0AI|1.0|I|53943.0|53943.0|20091205000000|5.43|0.0|20091207000000|84114A077E75D38EE0404F8189D83D5B|1.0|
038AS00057|99PLTF021|0CP|1.0|P|321504.0|359216.53|20091125000000|0.0|0.0|20091125000000|84114A077E76D38EE0404F8189D83D5B|1.0|
038AS00057|99PSTF018|0AI|1.0|I|175299.0|175299.0|20091201000000|38.18|0.0|20091201000000|84114A077E77D38EE0404F8189D83D5B|1.0|
038AS06237|99PLTF021|0CP|1.0|P|23960.0|25099.62|20090125000000|0.0|0.0|20090125000000|84114A077E78D38EE0404F8189D83D5B|1.0|
038AS06237|99PSTF018|0AI|1.0|I|2388.0|2388.0|20091201000000|0.42|0.0|20091201000000|84114A077E79D38EE0404F8189D83D5B|1.0|
038AS17028|99PETTY12|MAI|1.0|I|250.0|250.0|20080930000000|0.0|0.0|20080930000000|84114A077E7AD38EE0404F8189D83D5B|1.0|
038AS17028|99PLTF021|0CP|1.0|P|191365.0|222020.21|20091225000000|0.0|0.0|20091225000000|84114A077E7BD38EE0404F8189D83D5B|1.0|
038AS17028|99PSTF018|0AI|1.0|I|7034.0|7034.0|20091201000000|0.28|0.0|20091210000000|84114A077E7CD38EE0404F8189D83D5B|1.0|
038AS53023|99PLTF021|0CP|1.0|P|7.0|7.0|20051101000000|0.0|0.0|20030826000000|84114A077E7DD38EE0404F8189D83D5B|1.0|
038AS53023|REBROWN17|REP|1.0|P|122000.0|122000.0|20080930000000|0.0|0.0|20080930000000|84114A077E7ED38EE0404F8189D83D5B|1.0|
038B011179|99PLTF013|0CI|1.0|I|3114.0|3298.44|20051101000000|0.0|0.0|20050826000000|84114A077E7FD38EE0404F8189D83D5B|1.0|
038B011179|99PLTF021|0CP|1.0|P|384528.0|483812.05|20080225000000|0.0|0.0|20091025000000|84114A077E80D38EE0404F8189D83D5B|1.0|
038B011179|99PSTF018|0AI|1.0|I|54713.0|54713.0|20091201000000|10.09|0.0|20091201000000|84114A077E81D38EE0404F8189D83D5B|1.0|
038CC00118|99PLTF021|0CP|1.0|P|10894.0|12898.52|20070525000000|0.0|0.0|20070525000000|84114A077E82D38EE0404F8189D83D5B|1.0|
038CC00118|99PSTF018|0AI|1.0|I|5426.0|5426.0|20091201000000|1.08|0.0|20091201000000|84114A077E83D38EE0404F8189D83D5B|1.0|
038CC00118|99STULN13|MAI|1.0|I|2000.0|2000.0|20080930000000|0.0|0.0|20080930000000|84114A077E84D38EE0404F8189D83D5B|1.0|
038D008041|99PLTF021|0CP|1.0|P|8479.0|9308.07|20091225000000|0.0|0.0|20091225000000|84114A077E85D38EE0404F8189D83D5B|1.0|
038D008041|99PSTF018|0AI|1.0|I|7321.0|7321.0|20091201000000|1.47|0.0|20091201000000|84114A077E86D38EE0404F8189D83D5B|1.0|
038D008041|99STULN13|MAI|1.0|I|15500.0|15500.0|20080930000000|0.0|0.0|20090618000000|84114A077E87D38EE0404F8189D83D5B|1.0|
038E009022|99PLTF013|0CI|1.0|I|1053807.0|1245630.56|20080925000000|0.0|0.0|20080925000000|84114A077E88D38EE0404F8189D83D5B|1.0|
038E009022|99PLTF021|0CP|1.0|P|3585772.0|3597865.72|20080725000000|0.0|0.0|20080725000000|84114A077E89D38EE0404F8189D83D5B|1.0|
038E009022|99PSTF018|0AI|1.0|I|554077.0|554077.0|20091211000000|90.29|0.0|20091211000000|84114A077E8AD38EE0404F8189D83D5B|1.0|
038E009022|REBURREL4|REP|1.0|P|7600.0|7600.0|20080930000000|0.0|0.0|20080930000000|84114A077E8BD38EE0404F8189D83D5B|1.0|
038F002075|99PLTF021|0CP|1.0|P|328809.0|349823.58|20051101000000|0.0|0.0|20030826000000|84114A077E8CD38EE0404F8189D83D5B|1.0|
038F002075|99PSTF018|0AI|1.0|I|10670.0|10670.0|20091201000000|7.06|0.0|20091201000000|84114A077E8DD38EE0404F8189D83D5B|1.0|
038G003452|99ITRCIF3|MAI|1.0|I|5244.59|5244.59|20091123000000|0.0|0.0|20091123000000|84114A077E8ED38EE0404F8189D83D5B|1.0|
038G003452|99NTRCIF7|MAI|1.0|I|14000.0|14000.0|20090731000000|0.0|0.0|20090731000000|84114A077E8FD38EE0404F8189D83D5B|1.0|
038G003452|99PLTF021|0CP|1.0|P|267707.0|289597.4|20081025000000|0.0|0.0|20081025000000|84114A077E90D38EE0404F8189D83D5B|1.0|
038G003452|99PSTF018|0AI|1.0|I|444652.0|444652.0|20091201000000|78.23|0.0|20091201000000|84114A077E91D38EE0404F8189D83D5B|1.0|
038IU09022|99CSVLIF6|MAP|1.0|P|4865.42|4865.42|20080930000000|0.0|0.0|20080930000000|84114A077E92D38EE0404F8189D83D5B|1.0|
038IU09022|99PLTF013|0CI|1.0|I|743007.0|815964.16|20051101000000|0.0|0.0|20050726000000|84114A077E93D38EE0404F8189D83D5B|1.0|
038IU09022|99PLTF021|0CP|1.0|P|1.4210896E7|1.423562833E7|20091225000000|0.0|0.0|20091225000000|84114A077E94D38EE0404F8189D83D5B|1.0|
038IU09022|99PSTF018|0AI|1.0|I|627285.0|627285.0|20091204000000|86.85|0.0|20091204000000|84114A077E95D38EE0404F8189D83D5B|1.0|
038K008027|99PETTY12|MAI|1.0|I|2414.0|2414.0|20080930000000|0.0|0.0|20080930000000|84114A077E96D38EE0404F8189D83D5B|1.0|
038K008027|99PLTF021|0CP|1.0|P|255129.0|291218.33|20091125000000|0.0|0.0|20091125000000|84114A077E97D38EE0404F8189D83D5B|1.0|
038K008027|99PSTF018|0AI|1.0|I|879748.0|879748.0|20091210000000|170.61|0.0|20091210000000|84114A077E98D38EE0404F8189D83D5B|1.0|
038L006228|99PLTF021|0CP|1.0|P|19564.0|21724.53|20060225000000|0.0|0.0|20060226000000|84114A077E99D38EE0404F8189D83D5B|1.0|
038L006228|99PSTF018|0AI|1.0|I|11819.0|11819.0|20091201000000|2.37|0.0|20091201000000|84114A077E9AD38EE0404F8189D83D5B|1.0|
038MCCC134|99PLTF013|0CI|1.0|I|873.0|1029.15|20061017000000|0.0|0.0|20090625000000|84114A077E9BD38EE0404F8189D83D5B|1.0|
038MCCC134|99PLTF021|0CP|1.0|P|4656.0|4189.99|20091225000000|0.0|0.0|20091225000000|84114A077E9CD38EE0404F8189D83D5B|1.0|
038MCCC134|99PSTF018|0AI|1.0|I|16569.0|16569.0|20091201000000|10.17|0.0|20091201000000|84114A077E9DD38EE0404F8189D83D5B|1.0|
038MDSL325|99PLTF021|0CP|1.0|P|537.0|682.89|20070225000000|0.0|0.0|20090625000000|84114A077E9ED38EE0404F8189D83D5B|1.0|
038MDSL325|99PSTF018|0AI|1.0|I|558062.0|558062.0|20091209000000|103.26|0.0|20091209000000|84114A077E9FD38EE0404F8189D83D5B|1.0|
038MPHC072|99PLTF021|0CP|1.0|P|11281.0|14709.98|20080125000000|0.0|0.0|20091025000000|84114A077EA0D38EE0404F8189D83D5B|1.0|
038MPHC072|99PSTF018|0AI|1.0|I|1238.0|1238.0|20091201000000|0.22|0.0|20091201000000|84114A077EA1D38EE0404F8189D83D5B|1.0|
038MSCI011|99PLTF013|0CI|1.0|I|2112.0|2288.49|20091125000000|0.0|0.0|20091125000000|84114A077EA2D38EE0404F8189D83D5B|1.0|
038MSCI011|99PLTF021|0CP|1.0|P|8967.0|9031.22|20081125000000|0.0|0.0|20091025000000|84114A077EA3D38EE0404F8189D83D5B|1.0|
038MSCI011|99PSTF018|0AI|1.0|I|302.0|302.0|20091201000000|0.06|0.0|20091201000000|84114A077EA4D38EE0404F8189D83D5B|1.0|
038N008222|99PLTF013|0CI|1.0|I|217.0|249.02|20051101000000|0.0|0.0|20070725000000|84114A077EA5D38EE0404F8189D83D5B|1.0|
038N008222|99PLTF021|0CP|1.0|P|17558.0|20049.9|20051101000000|0.0|0.0|20010126000000|84114A077EA6D38EE0404F8189D83D5B|1.0|
038N008222|99PSTF018|0AI|1.0|I|567.0|567.0|20091201000000|0.07|0.0|20091201000000|84114A077EA7D38EE0404F8189D83D5B|1.0|
