fin_coa_cd|org_cd|cgprpsl_nbr|obj_id|ver_nbr|cgawd_prm_org_ind|row_actv_ind|
BL|ARSD|80066.0|c38602b1-333d-4df8-be70-6f114f11c6da|2.0|Y|Y|
BL|ARSD|80072.0|f8c284b6-1bee-46ab-ab1e-7fdb5e2e0c4e|1.0|Y|Y|
BL|ARSD|80081.0|4d1c79e0-968e-4182-9fd7-cf0d502d4e5a|2.0|Y|Y|
BL|ARSD|80086.0|5a8b5555-96d4-4723-b8a3-5840b54abecb|1.0|Y|Y|
BL|BI|53673.0|12E3D852EC0A9D14E043814FD8819D14|1.0|N|Y|
BL|CHEM|80067.0|c241ed65-56b4-4c0d-a38b-e6f5bc18adb0|2.0|Y|Y|
BL|CHEM|80073.0|6e519757-fc32-47a0-a6ad-49ea8879188f|1.0|Y|Y|
BL|CHEM|80082.0|8b444c3d-aab2-4a4b-aec0-743ec42607d4|4.0|Y|Y|
BL|OPT|43750.0|12E3D852EC0B9D14E043814FD8819D14|1.0|N|Y|
BL|PL|51208.0|12E3D852F11D9D14E043814FD8819D14|1.0|N|Y|
BL|PSY|11.0|12E3D852EC0C9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|37.0|12E3D852EC0D9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|50.0|12E3D852EC0E9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|67.0|12E3D852EC0F9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|73.0|12E3D852EC109D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|92.0|12E3D852EC119D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|264.0|12E3D852EC129D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|271.0|12E3D852EC139D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|332.0|12E3D852EC149D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|378.0|12E3D852EC159D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|458.0|12E3D852EC169D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|468.0|12E3D852EC179D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|510.0|12E3D852EC189D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|550.0|12E3D852EC199D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|569.0|12E3D852EC1A9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|591.0|12E3D852EC1B9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|607.0|12E3D852EC1C9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|667.0|12E3D852EC1D9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|702.0|12E3D852EC1E9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|817.0|12E3D852EC1F9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|822.0|12E3D852EC209D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|914.0|12E3D852EC219D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|927.0|12E3D852EC229D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|941.0|12E3D852EC239D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|980.0|12E3D852EC249D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|985.0|12E3D852EC259D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1043.0|12E3D852EC269D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1046.0|12E3D852EC279D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1072.0|12E3D852EC289D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1134.0|12E3D852EC299D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1140.0|12E3D852EC2A9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1172.0|12E3D852EC2B9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1247.0|12E3D852EC2C9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1277.0|12E3D852EC2D9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1290.0|12E3D852EC2E9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1326.0|12E3D852EC2F9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1356.0|12E3D852EC309D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1404.0|12E3D852EC319D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1412.0|12E3D852EC329D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1455.0|12E3D852EC339D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1475.0|12E3D852EC349D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1510.0|12E3D852EC359D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1523.0|12E3D852EC369D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1641.0|12E3D852EC379D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1671.0|12E3D852EC389D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1701.0|12E3D852EC399D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1717.0|12E3D852EC3A9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1947.0|12E3D852EC3B9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|1999.0|12E3D852EC3C9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|2096.0|12E3D852EC3D9D14E043814FD8819D14|1.0|Y|Y|
BL|PSY|2109.0|12E3D852EC3E9D14E043814FD8819D14|1.0|Y|Y|
